Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C15 Neopl malig do esofago
Período:2020
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;1;1
"Alto de Pinheiros";-;-;1;-;-;-;1
"Anhanguera";-;-;1;1;-;-;2
"Aricanduva";-;-;-;1;-;1;2
"Artur Alvim";-;-;-;1;-;-;1
"Barra Funda";-;-;-;-;-;1;1
"Bela Vista";-;-;-;1;1;1;3
"Belém";-;-;-;-;1;1;2
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;3;3;1;3;10
"Butantã";-;-;-;-;1;-;1
"Cachoeirinha";-;-;1;2;2;-;5
"Cambuci";-;-;-;-;-;-;-
"Campo Belo";-;-;1;1;-;2;4
"Campo Grande";-;1;-;2;1;2;6
"Campo Limpo";-;-;-;-;1;1;2
"Cangaíba";-;-;1;1;2;2;6
"Capão Redondo";-;-;1;6;2;1;10
"Carrão";-;-;-;-;-;3;3
"Casa Verde";-;-;1;2;1;1;5
"Cidade Ademar";-;-;1;3;2;-;6
"Cidade Dutra";-;-;1;-;1;2;4
"Cidade Líder";-;-;2;2;4;-;8
"Cidade Tiradentes";-;1;1;2;1;-;5
"Consolação";-;-;-;1;-;-;1
"Cursino";-;-;1;-;1;-;2
"Ermelino Matarazzo";-;-;1;2;-;-;3
"Freguesia do Ó";-;1;-;4;2;-;7
"Grajaú";-;-;2;5;2;1;10
"Guaianases";-;-;1;2;1;-;4
"Iguatemi";-;-;1;1;3;2;7
"Ipiranga";-;-;-;-;1;-;1
"Itaim Bibi";-;-;-;-;-;-;-
"Itaim Paulista";-;-;1;-;5;-;6
"Itaquera";1;-;1;2;-;-;4
"Jabaquara";1;-;1;1;4;2;9
"Jaçanã";-;-;-;-;2;-;2
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;1;-;-;1;2
"Jaraguá";-;-;2;5;1;1;9
"Jardim Ângela";-;-;4;3;5;3;15
"Jardim Helena";-;-;-;4;1;2;7
"Jardim Paulista";-;-;-;-;-;1;1
"Jardim São Luís";-;-;3;3;6;1;13
"José Bonifácio";-;-;-;-;3;3;6
"Lajeado";-;1;1;4;1;-;7
"Lapa";-;-;-;1;-;1;2
"Liberdade";-;-;-;-;1;1;2
"Limão";-;-;-;2;-;-;2
"Mandaqui";-;-;1;2;-;-;3
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;1;1;2
"Moóca";-;1;-;2;1;-;4
"Morumbi";-;-;-;-;-;1;1
"Parelheiros";-;-;-;-;1;-;1
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;3;-;-;3
"Pedreira";-;-;2;4;2;1;9
"Penha";-;-;1;1;3;4;9
"Perdizes";-;-;-;-;2;-;2
"Perus";-;-;-;-;1;-;1
"Pinheiros";-;-;1;-;-;-;1
"Pirituba";-;-;-;2;1;1;4
"Ponte Rasa";-;-;-;-;-;-;-
"Raposo Tavares";-;3;-;1;1;-;5
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;1;-;2;2;2;7
"Sacomã";-;-;1;1;1;1;4
"Santa Cecília";-;-;1;2;-;-;3
"Santana";-;-;-;2;6;-;8
"Santo Amaro";-;-;-;-;1;-;1
"São Domingos";-;-;-;2;1;-;3
"São Lucas";-;-;1;-;1;2;4
"São Mateus";-;-;1;2;1;2;6
"São Miguel";-;-;1;-;2;1;4
"São Rafael";-;-;-;1;3;-;4
"Sapopemba";-;-;1;2;5;3;11
"Saúde";-;-;-;1;-;2;3
"Sé";-;-;-;-;-;1;1
"Socorro";-;-;-;1;1;-;2
"Tatuapé";-;-;-;1;1;1;3
"Tremembé";1;-;-;-;1;1;3
"Tucuruvi";-;-;-;-;1;-;1
"Vila Andrade";-;-;1;1;-;1;3
"Vila Curuçá";-;-;1;-;1;5;7
"Vila Formosa";-;1;-;1;1;1;4
"Vila Guilherme";-;-;1;-;1;-;2
"Vila Jacuí";-;-;2;3;5;2;12
"Vila Leopoldina";-;-;-;1;-;-;1
"Vila Maria";-;-;-;-;2;-;2
"Vila Mariana";-;-;-;1;2;1;4
"Vila Matilde";-;-;-;6;-;-;6
"Vila Medeiros";-;-;-;-;-;-;-
"Vila Prudente";-;-;-;-;-;2;2
"Vila Sônia";-;1;-;2;-;-;3
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;1;1;-;-;2
"Total";3;11;52;116;112;77;371
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
