Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C15 Neopl malig do esofago
Período:2022
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;1;1;2
"Alto de Pinheiros";-;2;-;-;-;-;2
"Anhanguera";-;-;1;1;-;-;2
"Aricanduva";-;-;-;-;1;-;1
"Artur Alvim";-;-;-;1;1;2;4
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;1;-;-;2;3
"Belém";-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;1;-;1
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;1;5;4;2;12
"Butantã";-;-;-;-;-;2;2
"Cachoeirinha";-;-;-;3;1;1;5
"Cambuci";-;-;-;1;-;-;1
"Campo Belo";-;-;-;-;1;1;2
"Campo Grande";-;-;-;1;1;1;3
"Campo Limpo";-;-;-;2;-;1;3
"Cangaíba";-;-;-;3;2;1;6
"Capão Redondo";-;-;1;3;1;1;6
"Carrão";-;-;-;-;2;-;2
"Casa Verde";-;-;-;-;1;1;2
"Cidade Ademar";-;-;1;3;-;6;10
"Cidade Dutra";-;1;3;1;4;1;10
"Cidade Líder";-;-;-;3;1;1;5
"Cidade Tiradentes";-;-;-;1;1;1;3
"Consolação";-;-;-;-;-;1;1
"Cursino";-;-;-;1;2;3;6
"Ermelino Matarazzo";-;-;-;3;1;-;4
"Freguesia do Ó";-;-;1;1;2;3;7
"Grajaú";-;1;-;4;1;2;8
"Guaianases";-;-;-;1;-;1;2
"Iguatemi";-;-;1;1;3;2;7
"Ipiranga";-;-;-;2;-;-;2
"Itaim Bibi";-;-;-;-;-;1;1
"Itaim Paulista";-;-;2;3;1;2;8
"Itaquera";-;-;1;3;2;1;7
"Jabaquara";-;-;-;4;1;2;7
"Jaçanã";-;-;-;1;-;-;1
"Jaguara";-;-;-;-;-;1;1
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;-;2;1;-;1;4
"Jardim Ângela";-;-;3;2;3;-;8
"Jardim Helena";-;-;1;2;-;-;3
"Jardim Paulista";-;-;-;-;1;-;1
"Jardim São Luís";-;-;1;2;5;1;9
"José Bonifácio";-;-;-;-;1;2;3
"Lajeado";-;-;-;3;2;1;6
"Lapa";-;-;-;-;1;-;1
"Liberdade";-;-;-;-;1;-;1
"Limão";-;-;-;1;-;-;1
"Mandaqui";-;-;-;1;4;-;5
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;1;-;1;2;4
"Moóca";-;-;1;1;1;1;4
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;-;2;3;3;2;10
"Pari";-;-;1;-;1;-;2
"Parque do Carmo";-;-;1;1;1;-;3
"Pedreira";-;-;-;2;1;-;3
"Penha";-;-;1;1;2;-;4
"Perdizes";-;-;-;-;1;3;4
"Perus";-;-;1;1;-;-;2
"Pinheiros";-;-;-;-;-;1;1
"Pirituba";-;-;1;2;3;-;6
"Ponte Rasa";-;-;1;-;3;-;4
"Raposo Tavares";-;-;-;3;2;4;9
"República";-;-;-;-;1;1;2
"Rio Pequeno";-;-;1;2;-;1;4
"Sacomã";-;-;-;2;3;1;6
"Santa Cecília";-;-;-;-;-;-;-
"Santana";-;-;-;-;1;2;3
"Santo Amaro";-;-;-;-;2;-;2
"São Domingos";-;-;-;-;-;-;-
"São Lucas";-;-;-;2;1;-;3
"São Mateus";-;2;-;1;3;-;6
"São Miguel";-;-;1;-;1;1;3
"São Rafael";-;-;-;1;1;-;2
"Sapopemba";-;-;1;1;2;3;7
"Saúde";-;-;-;-;-;4;4
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;1;1;2;4
"Tatuapé";-;-;-;-;1;1;2
"Tremembé";-;1;2;4;4;-;11
"Tucuruvi";-;-;-;1;1;3;5
"Vila Andrade";-;-;-;1;-;-;1
"Vila Curuçá";-;-;-;1;3;3;7
"Vila Formosa";-;-;-;1;2;1;4
"Vila Guilherme";-;-;-;1;-;-;1
"Vila Jacuí";-;-;-;1;-;-;1
"Vila Leopoldina";-;-;-;1;-;-;1
"Vila Maria";-;-;-;3;2;-;5
"Vila Mariana";-;-;-;-;1;1;2
"Vila Matilde";-;-;-;3;2;2;7
"Vila Medeiros";1;-;2;1;3;3;10
"Vila Prudente";-;-;1;2;-;2;5
"Vila Sônia";-;-;1;1;2;-;4
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-
"Total";1;7;39;109;110;93;359
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
