Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C15 Neopl malig do esofago
Período:2023
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;2;1;3
"Alto de Pinheiros";-;-;-;-;-;1;1
"Anhanguera";-;-;-;-;-;1;1
"Aricanduva";-;-;1;1;2;2;6
"Artur Alvim";-;-;-;1;2;-;3
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;1;1;2;4
"Belém";-;-;-;-;-;1;1
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;1;1;3;1;1;7
"Butantã";-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;-;1;1;2
"Cambuci";-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;1;2;3
"Campo Grande";-;1;-;-;4;1;6
"Campo Limpo";-;-;1;2;1;1;5
"Cangaíba";-;-;3;2;3;1;9
"Capão Redondo";-;-;-;3;3;2;8
"Carrão";-;-;-;1;-;3;4
"Casa Verde";-;-;-;-;-;-;-
"Cidade Ademar";1;-;1;4;4;2;12
"Cidade Dutra";-;-;-;-;1;-;1
"Cidade Líder";-;1;-;1;1;1;4
"Cidade Tiradentes";-;-;1;2;2;-;5
"Consolação";-;-;-;-;-;-;-
"Cursino";-;-;-;2;-;1;3
"Ermelino Matarazzo";-;-;1;2;1;1;5
"Freguesia do Ó";-;1;-;2;2;1;6
"Grajaú";-;-;5;5;4;2;16
"Guaianases";-;-;-;-;-;-;-
"Iguatemi";-;-;1;2;1;-;4
"Ipiranga";-;1;-;2;3;3;9
"Itaim Bibi";-;-;-;1;1;1;3
"Itaim Paulista";-;-;1;1;3;2;7
"Itaquera";-;-;-;2;2;2;6
"Jabaquara";-;1;1;3;1;2;8
"Jaçanã";-;-;-;1;1;3;5
"Jaguara";-;-;-;1;-;-;1
"Jaguaré";-;-;1;-;-;-;1
"Jaraguá";-;-;-;2;3;1;6
"Jardim Ângela";-;-;-;3;10;1;14
"Jardim Helena";1;-;1;2;1;-;5
"Jardim Paulista";-;-;-;-;-;1;1
"Jardim São Luís";1;-;-;7;3;4;15
"José Bonifácio";-;-;1;1;1;-;3
"Lajeado";-;-;-;1;2;-;3
"Lapa";-;-;-;-;1;2;3
"Liberdade";-;-;-;-;1;1;2
"Limão";-;-;-;2;3;2;7
"Mandaqui";-;-;-;2;2;2;6
"Marsilac";-;-;-;1;-;-;1
"Moema";-;-;-;-;1;-;1
"Moóca";-;-;2;-;1;-;3
"Morumbi";-;-;-;1;1;1;3
"Parelheiros";-;-;-;1;3;-;4
"Pari";-;-;-;-;1;1;2
"Parque do Carmo";-;-;-;-;-;-;-
"Pedreira";-;-;1;1;3;1;6
"Penha";-;-;1;2;-;1;4
"Perdizes";-;-;-;2;2;1;5
"Perus";-;-;1;2;-;-;3
"Pinheiros";-;-;-;-;1;1;2
"Pirituba";-;-;2;-;3;1;6
"Ponte Rasa";-;-;-;-;-;1;1
"Raposo Tavares";-;-;1;1;1;-;3
"República";-;-;-;-;1;-;1
"Rio Pequeno";-;-;-;4;1;2;7
"Sacomã";-;1;1;4;4;-;10
"Santa Cecília";-;-;-;-;-;1;1
"Santana";-;-;-;1;1;1;3
"Santo Amaro";-;-;-;-;1;1;2
"São Domingos";-;-;-;-;1;1;2
"São Lucas";-;1;-;-;3;4;8
"São Mateus";-;-;1;1;-;1;3
"São Miguel";-;-;-;-;2;-;2
"São Rafael";-;-;-;3;2;1;6
"Sapopemba";-;-;-;1;4;4;9
"Saúde";-;-;-;2;1;5;8
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;1;-;-;1
"Tatuapé";-;-;1;-;-;-;1
"Tremembé";-;-;2;-;1;-;3
"Tucuruvi";-;-;-;-;1;1;2
"Vila Andrade";-;-;-;2;2;-;4
"Vila Curuçá";-;-;2;2;1;2;7
"Vila Formosa";-;1;-;1;4;2;8
"Vila Guilherme";-;-;-;-;1;-;1
"Vila Jacuí";-;-;-;1;3;1;5
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;2;-;-;2
"Vila Mariana";-;-;-;2;-;1;3
"Vila Matilde";-;-;-;-;3;1;4
"Vila Medeiros";-;-;-;2;1;-;3
"Vila Prudente";-;-;-;1;1;1;3
"Vila Sônia";-;-;-;1;2;1;4
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;1;1;2
"Total";3;9;35;107;134;95;383
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
