Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C15 Neopl malig do esofago
Período:2019
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;1;-;-;1
"Alto de Pinheiros";-;-;-;1;2;-;3
"Anhanguera";-;-;1;1;1;-;3
"Aricanduva";-;1;-;3;5;1;10
"Artur Alvim";-;-;1;-;1;2;4
"Barra Funda";-;-;-;-;-;1;1
"Bela Vista";-;-;-;-;1;1;2
"Belém";-;1;-;-;1;-;2
"Bom Retiro";-;-;-;1;-;-;1
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;4;3;-;1;8
"Butantã";-;-;1;-;-;1;2
"Cachoeirinha";-;-;2;-;4;1;7
"Cambuci";-;-;-;-;-;2;2
"Campo Belo";-;-;-;1;-;-;1
"Campo Grande";-;-;-;2;5;-;7
"Campo Limpo";-;-;1;4;2;-;7
"Cangaíba";1;-;-;3;1;1;6
"Capão Redondo";-;-;2;3;2;-;7
"Carrão";-;-;-;1;1;1;3
"Casa Verde";-;-;1;1;-;-;2
"Cidade Ademar";-;-;1;6;9;5;21
"Cidade Dutra";-;1;-;3;-;1;5
"Cidade Líder";-;1;-;3;2;-;6
"Cidade Tiradentes";-;-;-;-;3;2;5
"Consolação";-;-;-;-;2;-;2
"Cursino";-;-;-;2;-;3;5
"Ermelino Matarazzo";-;-;1;2;2;1;6
"Freguesia do Ó";-;-;-;3;1;-;4
"Grajaú";-;-;1;3;1;2;7
"Guaianases";-;-;-;-;1;-;1
"Iguatemi";-;-;2;1;1;-;4
"Ipiranga";-;-;-;2;1;-;3
"Itaim Bibi";-;-;-;1;1;1;3
"Itaim Paulista";-;-;-;1;2;1;4
"Itaquera";-;-;1;2;2;3;8
"Jabaquara";-;-;1;2;3;2;8
"Jaçanã";-;-;-;2;1;-;3
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;-;2;4;1;-;7
"Jardim Ângela";-;-;2;-;3;4;9
"Jardim Helena";-;-;-;4;-;1;5
"Jardim Paulista";-;-;-;-;-;1;1
"Jardim São Luís";-;-;-;2;2;1;5
"José Bonifácio";-;-;-;1;-;-;1
"Lajeado";-;-;-;2;3;-;5
"Lapa";-;-;-;1;-;3;4
"Liberdade";-;-;-;-;-;1;1
"Limão";-;-;1;3;3;-;7
"Mandaqui";-;-;2;1;3;1;7
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;1;2;1;4
"Moóca";-;-;-;-;-;1;1
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;-;2;1;1;1;5
"Pari";-;-;-;-;1;-;1
"Parque do Carmo";-;-;-;-;1;-;1
"Pedreira";-;-;1;2;2;-;5
"Penha";-;-;2;1;-;-;3
"Perdizes";-;-;-;2;4;-;6
"Perus";-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;-;-
"Pirituba";-;-;1;1;4;1;7
"Ponte Rasa";-;1;-;-;1;1;3
"Raposo Tavares";-;-;-;3;3;1;7
"República";-;-;-;-;-;-;-
"Rio Pequeno";1;-;1;2;2;-;6
"Sacomã";-;1;1;1;3;1;7
"Santa Cecília";-;-;-;1;1;1;3
"Santana";-;-;-;1;1;2;4
"Santo Amaro";-;-;-;1;1;2;4
"São Domingos";-;-;-;-;1;-;1
"São Lucas";-;-;1;2;-;1;4
"São Mateus";-;1;1;1;2;-;5
"São Miguel";-;-;-;1;-;-;1
"São Rafael";-;-;-;-;-;2;2
"Sapopemba";-;-;-;5;2;1;8
"Saúde";-;-;-;-;1;1;2
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-
"Tatuapé";-;-;-;2;-;1;3
"Tremembé";-;-;2;5;1;2;10
"Tucuruvi";-;-;1;1;-;1;3
"Vila Andrade";-;-;-;-;-;1;1
"Vila Curuçá";-;-;2;2;3;1;8
"Vila Formosa";-;-;-;2;1;2;5
"Vila Guilherme";-;-;-;-;2;-;2
"Vila Jacuí";-;-;-;1;2;-;3
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;2;2;2;1;7
"Vila Mariana";-;-;-;1;1;3;5
"Vila Matilde";-;-;-;-;2;1;3
"Vila Medeiros";-;1;-;3;-;4;8
"Vila Prudente";-;-;-;2;2;2;6
"Vila Sônia";-;-;-;-;-;1;1
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;1;1;2
"Total";2;8;44;123;123;83;383
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
