Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C15 Neopl malig do esofago
Período:2018
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;2;-;3;5
"Alto de Pinheiros";-;-;-;-;1;1;2
"Anhanguera";-;-;-;-;-;-;-
"Aricanduva";1;-;-;1;-;-;2
"Artur Alvim";-;-;-;1;1;1;3
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;3;-;3
"Belém";-;-;1;-;2;-;3
"Bom Retiro";-;-;-;-;1;-;1
"Brás";-;-;-;-;-;1;1
"Brasilândia";-;-;2;7;1;1;11
"Butantã";-;-;-;1;-;2;3
"Cachoeirinha";-;-;2;2;-;2;6
"Cambuci";-;-;-;1;-;-;1
"Campo Belo";-;-;-;-;2;-;2
"Campo Grande";-;-;-;2;-;1;3
"Campo Limpo";-;1;-;3;3;1;8
"Cangaíba";-;-;1;2;3;1;7
"Capão Redondo";-;-;-;4;4;2;10
"Carrão";-;-;-;1;2;-;3
"Casa Verde";-;-;1;1;1;3;6
"Cidade Ademar";-;-;6;4;6;2;18
"Cidade Dutra";-;-;3;1;1;2;7
"Cidade Líder";-;-;1;-;1;1;3
"Cidade Tiradentes";-;-;2;3;1;-;6
"Consolação";-;-;-;-;-;-;-
"Cursino";1;-;2;1;1;2;7
"Ermelino Matarazzo";-;-;-;1;1;1;3
"Freguesia do Ó";-;-;-;3;2;3;8
"Grajaú";-;-;3;7;3;1;14
"Guaianases";-;-;-;2;-;-;2
"Iguatemi";-;-;1;1;-;-;2
"Ipiranga";-;-;2;3;2;1;8
"Itaim Bibi";-;-;-;2;2;3;7
"Itaim Paulista";-;-;-;7;2;2;11
"Itaquera";-;-;-;1;3;2;6
"Jabaquara";-;-;-;5;4;-;9
"Jaçanã";-;-;-;3;2;-;5
"Jaguara";-;-;-;1;1;1;3
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;1;-;4;1;1;7
"Jardim Ângela";-;-;3;4;1;1;9
"Jardim Helena";-;1;2;2;1;1;7
"Jardim Paulista";-;-;1;1;1;1;4
"Jardim São Luís";-;-;2;5;3;4;14
"José Bonifácio";-;-;1;2;-;-;3
"Lajeado";-;-;-;1;1;3;5
"Lapa";-;-;-;-;-;-;-
"Liberdade";-;-;-;1;-;2;3
"Limão";-;-;2;-;-;1;3
"Mandaqui";-;-;2;2;2;1;7
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;1;-;1;-;2
"Moóca";-;-;-;1;3;2;6
"Morumbi";-;-;-;-;-;1;1
"Parelheiros";-;1;2;1;3;-;7
"Pari";-;-;-;1;-;1;2
"Parque do Carmo";-;-;1;1;-;1;3
"Pedreira";-;1;4;1;-;-;6
"Penha";-;-;-;2;3;2;7
"Perdizes";-;-;-;1;-;1;2
"Perus";-;-;-;3;3;1;7
"Pinheiros";-;-;-;-;-;1;1
"Pirituba";-;-;1;2;1;3;7
"Ponte Rasa";-;-;1;2;1;1;5
"Raposo Tavares";-;1;2;1;1;-;5
"República";-;-;-;1;-;-;1
"Rio Pequeno";-;-;-;2;1;-;3
"Sacomã";-;-;3;5;2;2;12
"Santa Cecília";1;-;-;-;-;-;1
"Santana";1;-;-;1;-;1;3
"Santo Amaro";-;-;-;-;-;2;2
"São Domingos";-;-;-;3;1;-;4
"São Lucas";-;-;-;2;4;-;6
"São Mateus";-;-;-;1;1;1;3
"São Miguel";-;-;-;2;1;1;4
"São Rafael";-;-;1;-;1;2;4
"Sapopemba";-;-;-;3;5;3;11
"Saúde";-;-;-;-;-;-;-
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-
"Tatuapé";-;-;-;1;2;-;3
"Tremembé";-;-;1;5;2;2;10
"Tucuruvi";-;-;-;2;2;-;4
"Vila Andrade";-;-;-;1;1;1;3
"Vila Curuçá";-;-;-;4;2;-;6
"Vila Formosa";-;-;-;2;2;2;6
"Vila Guilherme";-;-;-;1;1;-;2
"Vila Jacuí";-;-;3;2;2;-;7
"Vila Leopoldina";-;-;-;-;-;1;1
"Vila Maria";-;-;-;2;1;1;4
"Vila Mariana";-;1;1;-;2;1;5
"Vila Matilde";-;-;-;1;1;-;2
"Vila Medeiros";-;-;1;1;5;2;9
"Vila Prudente";-;-;-;1;2;1;4
"Vila Sônia";-;-;-;1;-;1;2
"Desconhecido";-;-;1;-;-;-;1
"Ignorado";-;-;1;-;-;-;1
"Total";4;7;64;155;123;93;446
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
