Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2022
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;1;9;7;-;17
"Alto de Pinheiros";-;-;-;-;-;-;1;4;-;5
"Anhanguera";-;1;-;-;-;-;-;2;-;3
"Aricanduva";-;-;-;-;1;1;5;6;-;13
"Artur Alvim";-;-;1;1;1;-;2;8;-;13
"Barra Funda";-;-;-;-;-;-;-;1;-;1
"Bela Vista";-;-;-;-;3;1;1;3;-;8
"Belém";-;-;-;1;1;1;2;6;-;11
"Bom Retiro";-;-;-;-;-;-;1;-;-;1
"Brás";-;-;-;-;-;1;2;1;-;4
"Brasilândia";-;-;1;4;3;3;5;10;-;26
"Butantã";-;-;-;-;1;3;-;5;-;9
"Cachoeirinha";-;-;2;2;1;2;3;8;-;18
"Cambuci";-;-;-;-;1;-;1;3;-;5
"Campo Belo";-;-;-;-;-;-;2;5;-;7
"Campo Grande";-;-;-;-;-;2;4;5;-;11
"Campo Limpo";-;-;1;1;1;1;6;4;-;14
"Cangaíba";-;-;-;1;3;3;3;8;-;18
"Capão Redondo";-;-;1;4;4;3;4;5;-;21
"Carrão";-;-;-;-;1;2;2;5;-;10
"Casa Verde";-;-;-;-;1;2;4;10;-;17
"Cidade Ademar";-;-;-;4;5;2;7;13;-;31
"Cidade Dutra";1;1;-;1;2;3;4;13;-;25
"Cidade Líder";-;-;-;-;3;2;5;9;-;19
"Cidade Tiradentes";-;-;1;1;1;2;3;5;-;13
"Consolação";-;-;-;-;-;1;1;4;-;6
"Cursino";-;-;1;2;-;3;1;14;-;21
"Ermelino Matarazzo";-;-;-;-;-;-;2;9;-;11
"Freguesia do Ó";-;1;1;-;1;3;4;10;-;20
"Grajaú";-;-;1;3;3;7;8;12;-;34
"Guaianases";-;-;-;2;1;-;2;2;-;7
"Iguatemi";-;-;1;-;4;1;-;7;-;13
"Ipiranga";-;-;-;-;-;-;1;9;-;10
"Itaim Bibi";-;-;-;-;-;2;1;8;-;11
"Itaim Paulista";-;-;1;2;1;2;2;8;-;16
"Itaquera";1;-;-;1;3;4;7;12;-;28
"Jabaquara";-;-;1;1;2;2;4;12;-;22
"Jaçanã";-;-;-;-;-;2;1;10;-;13
"Jaguara";-;-;-;-;-;-;-;1;-;1
"Jaguaré";-;-;-;-;-;-;2;1;-;3
"Jaraguá";-;-;-;4;1;1;10;5;-;21
"Jardim Ângela";-;-;2;1;2;6;2;11;-;24
"Jardim Helena";-;-;3;1;2;3;5;4;-;18
"Jardim Paulista";-;-;-;-;-;-;-;4;-;4
"Jardim São Luís";-;-;-;2;1;-;4;8;-;15
"José Bonifácio";-;1;1;1;2;2;2;2;-;11
"Lajeado";-;3;-;2;-;1;2;8;-;16
"Lapa";-;-;-;-;1;-;-;10;-;11
"Liberdade";-;-;-;-;-;2;-;5;-;7
"Limão";-;-;-;-;3;-;1;8;-;12
"Mandaqui";-;-;-;-;1;2;3;9;-;15
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;4;9;-;13
"Moóca";-;-;-;1;2;2;2;10;-;17
"Morumbi";-;-;-;-;1;1;-;3;-;5
"Parelheiros";-;-;-;-;3;5;2;3;-;13
"Pari";-;-;-;-;-;-;-;1;-;1
"Parque do Carmo";-;-;-;1;2;-;3;2;-;8
"Pedreira";-;-;-;-;3;3;1;6;-;13
"Penha";-;-;-;-;-;2;3;11;-;16
"Perdizes";-;-;-;-;-;4;2;10;-;16
"Perus";-;-;-;1;1;1;2;3;-;8
"Pinheiros";-;-;-;-;-;-;2;6;-;8
