Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2019
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;1;2;3;2;-;8
"Alto de Pinheiros";-;-;-;-;-;1;-;4;2;-;7
"Anhanguera";-;-;-;-;1;-;2;1;2;-;6
"Aricanduva";-;-;-;-;-;1;-;4;3;-;8
"Artur Alvim";-;-;-;-;-;1;2;1;5;-;9
"Barra Funda";-;-;-;-;-;-;1;-;-;-;1
"Bela Vista";-;-;-;1;-;1;1;2;5;-;10
"Belém";-;-;-;-;1;-;1;1;6;-;9
"Bom Retiro";-;-;-;-;-;-;-;-;1;-;1
"Brás";-;-;-;-;-;-;-;2;1;-;3
"Brasilândia";-;1;1;1;3;4;5;6;9;-;30
"Butantã";-;-;-;1;-;-;-;-;1;-;2
"Cachoeirinha";-;-;-;1;1;2;-;5;8;-;17
"Cambuci";-;-;-;-;1;-;-;-;3;-;4
"Campo Belo";-;-;-;-;1;-;-;2;5;-;8
"Campo Grande";-;-;1;-;-;-;-;-;2;-;3
"Campo Limpo";-;-;1;2;1;1;1;6;8;-;20
"Cangaíba";-;-;-;3;2;3;2;3;15;-;28
"Capão Redondo";-;-;-;-;3;3;2;4;6;-;18
"Carrão";-;-;-;-;-;-;1;-;6;-;7
"Casa Verde";-;-;2;-;1;-;2;1;8;-;14
"Cidade Ademar";-;-;-;-;1;2;3;4;12;-;22
"Cidade Dutra";-;-;1;-;2;3;1;2;10;-;19
"Cidade Líder";-;-;-;1;1;4;-;3;3;-;12
"Cidade Tiradentes";-;-;-;1;-;2;1;5;2;-;11
"Consolação";-;-;-;-;-;-;1;1;5;-;7
"Cursino";-;-;-;-;-;2;1;6;5;-;14
"Ermelino Matarazzo";-;-;-;1;-;1;2;-;2;-;6
"Freguesia do Ó";-;-;-;-;1;-;4;7;13;-;25
"Grajaú";-;-;-;3;4;2;2;5;5;-;21
"Guaianases";-;-;-;-;-;1;2;-;4;-;7
"Iguatemi";-;-;-;-;2;-;-;-;1;-;3
"Ipiranga";-;-;-;-;-;1;-;1;4;-;6
"Itaim Bibi";-;-;-;1;-;-;1;-;6;-;8
"Itaim Paulista";-;-;1;1;1;2;-;2;7;-;14
"Itaquera";-;-;-;-;2;1;1;3;7;-;14
"Jabaquara";-;-;-;-;2;2;4;1;9;-;18
"Jaçanã";-;-;-;-;-;1;1;3;4;-;9
"Jaguara";-;-;-;-;1;-;3;-;2;-;6
"Jaguaré";-;-;-;-;-;-;-;-;-;-;-
"Jaraguá";-;-;-;-;1;1;4;3;8;-;17
"Jardim Ângela";-;-;1;1;2;6;5;2;6;-;23
"Jardim Helena";-;-;-;-;2;2;4;4;2;-;14
"Jardim Paulista";-;-;-;1;-;-;1;1;5;-;8
"Jardim São Luís";-;-;1;-;1;2;4;3;11;-;22
"José Bonifácio";-;-;-;-;1;2;-;1;8;-;12
"Lajeado";-;-;-;-;2;2;3;3;5;-;15
"Lapa";-;-;-;-;-;-;1;2;4;-;7
"Liberdade";-;-;-;-;1;-;-;-;5;-;6
"Limão";-;-;-;-;1;1;-;-;7;-;9
"Mandaqui";-;-;-;-;-;1;3;3;7;-;14
"Marsilac";-;-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;-;2;2;11;-;15
"Morumbi";-;-;-;-;-;1;-;1;2;-;4
"Parelheiros";-;-;1;-;-;1;-;1;4;-;7
"Pari";-;-;-;-;-;-;-;-;1;-;1
"Parque do Carmo";-;-;-;-;-;2;1;1;2;-;6
"Pedreira";-;-;-;1;-;-;1;2;5;-;9
"Penha";-;-;1;-;-;1;-;5;7;-;14
"Perdizes";-;-;-;-;1;-;1;3;9;-;14
"Perus";-;-;-;-;-;1;4;1;1;-;7
"Pinheiros";-;-;-;-;1;-;-;1;3;-;5
"Pirituba";-;-;-;-;2;1;-;8;13;-;24
"Ponte Rasa";-;-;-;-;1;2;1;-;3;-;7
"Raposo Tavares";-;-;-;-;1;1;1;2;5;-;10
"República";-;-;-;-;-;1;1;1;4;-;7
"Rio Pequeno";-;-;-;-;1;2;-;4;5;-;12
"Sacomã";-;-;-;2;1;5;4;6;13;-;31
"Santa Cecília";-;-;-;1;-;-;-;2;7;-;10
"Santana";-;-;-;1;-;-;1;-;4;-;6
"Santo Amaro";-;-;-;1;-;-;-;-;1;-;2
"São Domingos";-;-;-;1;-;3;-;1;4;-;9
"São Lucas";-;-;-;-;-;1;2;3;6;-;12
"São Mateus";-;-;-;3;-;3;2;5;3;-;16
"São Miguel";-;-;-;-;2;2;-;1;10;-;15
"São Rafael";1;-;-;1;2;-;3;3;4;-;14
"Sapopemba";-;-;-;1;1;4;3;5;15;-;29
"Saúde";-;-;-;-;-;1;2;-;7;-;10
"Sé";-;-;-;-;-;1;1;-;-;-;2
"Socorro";-;-;-;-;-;-;1;1;-;-;2
"Tatuapé";-;-;-;1;-;-;2;3;11;-;17
"Tremembé";-;-;-;-;3;5;3;1;8;-;20
"Tucuruvi";-;-;-;-;-;3;2;3;7;-;15
