Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2020
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;-;-;1;8;-;9
"Alto de Pinheiros";-;-;-;-;-;-;-;-;4;-;4
"Anhanguera";-;-;-;-;-;1;-;1;1;-;3
"Aricanduva";-;-;-;-;-;-;2;1;1;-;4
"Artur Alvim";-;-;-;2;1;-;1;2;4;-;10
"Barra Funda";-;-;1;-;-;-;-;1;-;-;2
"Bela Vista";-;-;-;-;-;-;-;-;4;-;4
"Belém";-;-;-;-;-;1;-;-;1;-;2
"Bom Retiro";-;-;-;-;-;-;-;-;1;-;1
"Brás";-;-;-;-;-;-;1;-;4;-;5
"Brasilândia";-;-;-;3;1;2;3;1;12;-;22
"Butantã";-;-;-;-;-;-;-;-;7;-;7
"Cachoeirinha";-;-;1;-;1;-;4;1;-;-;7
"Cambuci";-;-;-;-;1;-;1;-;1;-;3
"Campo Belo";-;-;-;-;1;-;-;1;1;-;3
"Campo Grande";-;-;-;1;-;2;-;3;5;-;11
"Campo Limpo";-;-;-;1;-;-;-;3;3;-;7
"Cangaíba";-;-;-;-;-;4;1;1;2;-;8
"Capão Redondo";-;-;-;-;2;-;-;2;7;-;11
"Carrão";-;-;-;-;-;-;1;1;7;-;9
"Casa Verde";-;-;-;-;1;1;1;1;1;1;6
"Cidade Ademar";-;-;-;-;3;-;1;5;6;-;15
"Cidade Dutra";-;-;-;-;-;1;-;3;5;-;9
"Cidade Líder";-;-;-;-;1;1;1;-;3;-;6
"Cidade Tiradentes";-;-;-;3;3;1;2;1;-;-;10
"Consolação";-;-;-;1;-;-;1;1;1;-;4
"Cursino";-;-;-;-;-;-;2;1;3;-;6
"Ermelino Matarazzo";-;-;1;-;-;-;-;1;4;-;6
"Freguesia do Ó";-;-;-;-;1;2;1;-;5;-;9
"Grajaú";-;-;-;2;2;6;-;3;3;-;16
"Guaianases";-;-;-;-;-;1;2;1;1;-;5
"Iguatemi";-;-;-;-;1;1;1;2;1;-;6
"Ipiranga";-;-;-;-;-;1;1;1;13;-;16
"Itaim Bibi";-;-;-;-;-;1;-;2;5;-;8
"Itaim Paulista";-;-;-;-;1;1;1;2;3;-;8
"Itaquera";-;-;-;-;-;2;4;4;5;-;15
"Jabaquara";-;-;-;-;-;3;5;2;7;-;17
"Jaçanã";-;-;-;1;1;2;3;1;2;-;10
"Jaguara";-;-;-;-;-;-;1;-;2;-;3
"Jaguaré";-;-;-;-;-;-;-;-;1;-;1
"Jaraguá";-;1;1;1;1;3;1;4;4;-;16
"Jardim Ângela";-;-;-;-;2;3;2;8;4;-;19
"Jardim Helena";-;-;-;-;1;-;2;-;2;-;5
"Jardim Paulista";-;-;-;-;-;-;-;-;6;-;6
"Jardim São Luís";-;-;-;-;-;1;1;3;4;-;9
"José Bonifácio";-;-;-;1;-;2;-;2;1;-;6
"Lajeado";-;-;-;1;-;-;1;4;3;-;9
"Lapa";-;-;-;-;-;1;-;3;5;-;9
"Liberdade";-;-;-;-;-;-;-;1;4;-;5
"Limão";-;-;-;2;-;-;1;2;4;-;9
"Mandaqui";-;-;1;-;-;-;1;2;7;-;11
"Marsilac";-;-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;1;-;-;1;1;-;3
"Moóca";-;-;-;-;-;1;-;2;6;-;9
"Morumbi";-;-;-;-;-;-;1;-;1;-;2
"Parelheiros";-;-;-;1;2;2;1;1;2;-;9
"Pari";-;-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-;1;1;-;2
"Pedreira";-;-;-;1;-;2;1;2;4;-;10
"Penha";-;-;-;-;-;1;1;-;7;-;9
"Perdizes";-;1;-;-;-;-;1;2;6;-;10
"Perus";-;-;-;1;1;-;-;-;2;-;4
"Pinheiros";-;-;-;-;1;-;-;1;5;-;7
"Pirituba";-;-;-;-;1;1;2;2;4;-;10
"Ponte Rasa";-;-;-;-;-;-;1;-;5;-;6
"Raposo Tavares";-;-;-;1;-;-;1;2;2;-;6
"República";-;-;-;-;-;1;-;1;4;-;6
"Rio Pequeno";-;-;-;-;1;-;2;1;5;-;9
"Sacomã";-;-;-;-;1;2;1;2;8;-;14
"Santa Cecília";-;-;-;-;1;-;2;6;9;-;18
"Santana";-;-;-;-;-;1;-;3;4;-;8
"Santo Amaro";-;-;-;-;-;1;-;1;2;-;4
"São Domingos";-;-;-;-;-;-;1;1;6;-;8
"São Lucas";-;-;-;1;-;-;-;4;5;-;10
"São Mateus";1;-;-;-;1;-;4;-;4;-;10
"São Miguel";-;-;1;-;1;-;1;2;1;-;6
"São Rafael";-;-;-;1;-;-;1;-;2;-;4
"Sapopemba";-;-;1;-;-;2;3;1;6;-;13
"Saúde";-;-;-;-;1;-;1;1;6;-;9
"Sé";1;-;-;-;-;-;-;-;-;-;1
"Socorro";-;-;-;-;-;-;-;1;1;-;2
"Tatuapé";-;-;-;-;-;-;-;1;4;-;5
"Tremembé";-;-;-;-;-;1;1;3;6;-;11
"Tucuruvi";-;-;-;-;-;-;-;1;4;-;5
"Vila Andrade";-;-;-;-;-;1;-;1;5;-;7
"Vila Curuçá";-;-;-;-;1;-;1;2;4;-;8
"Vila Formosa";-;-;-;-;1;-;-;1;6;-;8
"Vila Guilherme";-;-;-;1;-;-;-;-;5;-;6
"Vila Jacuí";-;-;-;1;-;1;-;3;5;-;10
"Vila Leopoldina";-;-;-;-;-;-;-;-;2;-;2
"Vila Maria";-;-;-;-;-;-;-;1;8;-;9
"Vila Mariana";-;-;1;-;-;1;1;-;6;-;9
"Vila Matilde";-;-;-;-;1;-;-;1;6;-;8
"Vila Medeiros";-;-;1;-;-;1;-;2;2;-;6
"Vila Prudente";-;-;-;-;3;-;-;3;7;-;13
