Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2023
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;-;3;2;16;-;21
"Alto de Pinheiros";-;-;-;-;-;-;1;-;2;-;3
"Anhanguera";-;-;-;1;1;-;1;3;1;-;7
"Aricanduva";-;-;-;-;-;-;5;3;12;-;20
"Artur Alvim";-;-;-;-;1;3;2;5;5;-;16
"Barra Funda";-;-;-;2;-;-;-;1;2;-;5
"Bela Vista";-;-;-;1;1;-;1;3;8;-;14
"Belém";-;-;-;-;1;1;3;4;2;-;11
"Bom Retiro";-;-;-;-;-;1;-;1;4;-;6
"Brás";-;-;-;-;1;1;-;1;6;-;9
"Brasilândia";-;-;1;2;1;5;11;9;15;-;44
"Butantã";-;-;-;-;-;-;-;1;5;-;6
"Cachoeirinha";-;-;-;-;1;2;3;5;13;-;24
"Cambuci";-;-;-;-;-;1;-;-;3;-;4
"Campo Belo";-;-;-;-;-;-;-;1;6;-;7
"Campo Grande";-;-;-;-;1;-;2;5;11;-;19
"Campo Limpo";-;-;-;-;2;2;5;3;15;-;27
"Cangaíba";-;-;-;-;3;2;5;3;12;-;25
"Capão Redondo";-;-;-;3;2;4;3;5;16;-;33
"Carrão";-;-;-;1;1;-;1;1;8;-;12
"Casa Verde";-;-;-;-;-;2;-;4;9;-;15
"Cidade Ademar";-;1;1;1;1;2;10;8;17;-;41
"Cidade Dutra";-;-;-;1;1;4;2;8;11;-;27
"Cidade Líder";-;-;1;2;3;2;4;3;14;-;29
"Cidade Tiradentes";-;-;-;1;1;4;4;6;4;-;20
"Consolação";-;-;-;-;-;-;-;-;6;-;6
"Cursino";-;-;-;-;1;3;1;6;8;-;19
"Ermelino Matarazzo";-;-;-;2;-;3;3;3;8;-;19
