Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2018
"Distrito Admin residência";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;2;1;8;-;11
"Alto de Pinheiros";-;-;-;-;1;-;1;1;-;3
"Anhanguera";-;-;-;-;1;-;-;2;-;3
"Aricanduva";-;-;-;-;-;1;1;5;-;7
"Artur Alvim";-;1;-;1;-;2;1;4;-;9
"Barra Funda";-;-;-;1;-;-;-;2;-;3
"Bela Vista";-;-;1;-;1;-;1;4;-;7
"Belém";-;-;-;-;1;-;-;6;-;7
"Bom Retiro";-;-;-;-;-;1;-;1;-;2
"Brás";-;-;-;-;1;-;-;-;-;1
"Brasilândia";-;-;2;1;4;3;2;6;-;18
"Butantã";-;-;-;-;-;-;2;3;-;5
"Cachoeirinha";-;1;-;-;1;3;1;2;-;8
"Cambuci";-;-;-;-;1;3;1;-;-;5
"Campo Belo";-;-;-;-;-;-;2;5;-;7
"Campo Grande";-;-;-;-;-;2;1;1;-;4
"Campo Limpo";-;-;-;1;1;-;4;2;-;8
"Cangaíba";-;-;-;-;1;3;1;3;-;8
"Capão Redondo";-;-;1;1;4;1;3;6;-;16
"Carrão";-;-;-;1;-;-;1;9;-;11
"Casa Verde";-;-;-;2;-;1;-;7;-;10
"Cidade Ademar";-;1;2;2;-;4;2;10;-;21
"Cidade Dutra";-;-;-;1;3;3;4;6;-;17
"Cidade Líder";-;-;-;2;1;1;3;3;-;10
"Cidade Tiradentes";-;-;2;1;1;1;3;5;-;13
"Consolação";-;-;-;-;-;1;-;3;-;4
"Cursino";-;-;-;-;-;5;-;5;-;10
"Ermelino Matarazzo";-;-;1;1;-;-;4;4;-;10
"Freguesia do Ó";-;-;1;-;3;-;4;9;-;17
"Grajaú";-;-;-;1;3;5;3;8;-;20
"Guaianases";-;-;-;1;-;1;1;6;-;9
"Iguatemi";-;1;-;1;1;-;1;2;-;6
"Ipiranga";-;1;-;1;1;1;-;6;-;10
"Itaim Bibi";-;-;-;-;1;-;1;5;-;7
"Itaim Paulista";-;-;-;1;1;2;1;5;-;10
"Itaquera";-;-;1;2;3;-;4;6;-;16
"Jabaquara";-;-;-;1;2;-;1;12;-;16
"Jaçanã";-;-;-;-;1;1;1;1;-;4
"Jaguara";-;-;-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;1;2;-;-;1;-;4
"Jaraguá";-;-;-;-;4;6;2;6;-;18
"Jardim Ângela";-;-;-;-;2;4;1;6;-;13
