Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2023
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;2;2;12;19;27;-;62
"Alto de Pinheiros";-;-;-;-;-;2;2;2;19;-;25
"Anhanguera";-;-;-;-;2;6;5;7;7;-;27
"Aricanduva";-;-;1;-;6;6;15;17;22;-;67
"Artur Alvim";-;-;-;2;-;6;15;24;15;-;62
"Barra Funda";-;-;-;-;1;-;3;1;9;-;14
"Bela Vista";-;-;1;-;-;2;6;9;21;-;39
"Belém";-;-;-;-;2;6;4;5;13;-;30
"Bom Retiro";-;-;-;-;-;-;3;3;5;-;11
"Brás";-;-;-;-;-;2;4;5;7;-;18
"Brasilândia";1;-;1;2;5;27;38;54;40;-;168
"Butantã";-;-;-;1;-;3;-;12;19;-;35
"Cachoeirinha";-;-;-;-;5;3;18;19;17;-;62
"Cambuci";-;-;-;-;-;1;3;10;16;-;30
"Campo Belo";-;-;-;1;1;3;6;7;35;-;53
"Campo Grande";-;-;-;-;1;5;4;12;17;-;39
"Campo Limpo";-;1;-;1;2;12;30;31;30;-;107
"Cangaíba";-;-;1;4;7;7;19;17;21;-;76
"Capão Redondo";-;-;1;3;9;19;24;27;33;-;116
"Carrão";-;-;1;1;1;5;12;16;51;-;87
"Casa Verde";-;-;1;-;2;-;9;19;27;-;58
"Cidade Ademar";-;-;-;2;10;20;22;39;36;-;129
"Cidade Dutra";-;-;-;1;4;15;18;27;33;-;98
"Cidade Líder";-;-;1;1;4;19;23;18;27;-;93
"Cidade Tiradentes";-;-;1;4;5;22;20;23;20;-;95
"Consolação";-;-;-;-;1;5;2;7;21;-;36
"Cursino";-;-;-;-;3;5;10;11;25;-;54
"Ermelino Matarazzo";-;-;-;1;3;11;17;20;24;-;76
"Freguesia do Ó";-;-;-;-;3;6;14;20;25;-;68
"Grajaú";-;-;2;8;15;28;53;36;61;-;203
"Guaianases";-;-;-;3;9;11;16;12;14;-;65
"Iguatemi";-;-;-;3;4;11;10;14;22;-;64
"Ipiranga";-;-;-;2;2;1;14;16;38;-;73
"Itaim Bibi";-;-;-;1;-;1;4;7;23;-;36
"Itaim Paulista";-;-;2;2;6;22;25;36;38;-;131
"Itaquera";-;-;2;4;3;16;24;39;44;-;132
"Jabaquara";-;1;-;2;7;13;24;31;59;-;137
"Jaçanã";-;-;-;1;-;4;13;21;25;-;64
"Jaguara";-;-;-;-;-;-;5;2;7;-;14
"Jaguaré";-;-;-;-;-;1;2;3;13;-;19
"Jaraguá";-;-;1;3;4;10;30;38;34;-;120
"Jardim Ângela";-;-;2;1;17;14;28;42;24;-;128
"Jardim Helena";-;-;1;1;2;12;24;18;24;-;82
"Jardim Paulista";-;-;-;-;1;1;1;7;28;-;38
"Jardim São Luís";-;-;1;3;10;16;24;29;34;-;117
"José Bonifácio";-;-;1;4;6;8;7;24;23;-;73
"Lajeado";-;-;1;3;10;8;10;29;22;-;83
"Lapa";-;-;-;-;1;-;6;9;23;-;39
"Liberdade";-;-;-;1;-;4;6;11;15;-;37
"Limão";-;-;-;-;1;5;11;10;23;-;50
"Mandaqui";-;-;-;1;3;6;9;26;35;-;80
"Marsilac";-;-;-;-;-;-;-;1;2;-;3
"Moema";-;-;-;1;-;2;4;7;36;-;50
"Moóca";-;-;-;-;1;2;11;12;27;-;53
"Morumbi";-;-;-;-;-;2;3;2;14;-;21
"Parelheiros";-;-;2;-;6;12;23;20;25;-;88
"Pari";-;-;-;-;-;-;3;3;6;-;12
"Parque do Carmo";-;-;-;1;1;5;7;12;17;-;43
"Pedreira";-;-;1;-;4;6;14;15;18;-;58
"Penha";-;-;1;-;1;2;13;28;54;-;99
"Perdizes";-;-;-;-;-;4;3;7;31;-;45
"Perus";-;-;-;-;2;7;13;10;8;-;40
"Pinheiros";-;-;-;-;-;3;1;4;14;-;22
"Pirituba";-;-;-;-;2;17;23;27;32;-;101
"Ponte Rasa";-;-;-;-;7;7;21;14;35;-;84
"Raposo Tavares";-;-;1;1;-;4;9;9;16;-;40
"República";-;-;-;-;-;4;7;10;12;-;33
"Rio Pequeno";-;-;-;-;6;4;11;12;21;-;54
"Sacomã";-;-;3;3;3;16;28;38;58;-;149
"Santa Cecília";-;-;-;-;-;4;10;5;19;-;38
"Santana";-;-;-;-;1;4;15;14;61;-;95
"Santo Amaro";-;-;-;-;-;6;7;6;28;-;47
"São Domingos";-;-;-;1;1;2;8;9;17;-;38
"São Lucas";-;-;-;1;3;5;21;32;47;-;109
"São Mateus";-;-;-;1;2;11;25;27;27;-;93
"São Miguel";-;-;2;-;6;3;19;17;23;-;70
"São Rafael";-;-;3;-;6;10;15;20;17;-;71
"Sapopemba";-;-;2;5;10;15;35;47;67;-;181
"Saúde";-;-;-;-;2;2;4;10;44;-;62
"Sé";-;-;-;-;1;2;2;3;5;-;13
"Socorro";-;-;-;1;-;5;3;10;12;-;31
"Tatuapé";-;-;-;-;1;4;5;13;30;-;53
"Tremembé";-;-;-;3;6;8;23;23;40;-;103
"Tucuruvi";-;-;-;1;1;6;8;27;41;-;84
"Vila Andrade";-;-;-;-;2;1;6;12;17;-;38
"Vila Curuçá";-;-;-;2;7;7;20;25;31;-;92
"Vila Formosa";-;-;1;2;2;6;12;14;29;-;66
"Vila Guilherme";-;-;-;-;2;1;3;12;18;-;36
"Vila Jacuí";-;-;1;2;7;10;12;25;23;-;80
"Vila Leopoldina";-;-;-;-;1;3;1;4;7;-;16
"Vila Maria";-;-;-;1;5;5;15;12;32;-;70
"Vila Mariana";-;-;-;-;2;3;2;14;28;-;49
"Vila Matilde";-;-;1;2;2;8;17;23;35;-;88
"Vila Medeiros";-;-;-;-;3;11;16;11;40;-;81
"Vila Prudente";-;-;-;-;-;6;19;26;32;-;83
"Vila Sônia";-;-;-;1;2;5;4;13;18;-;43
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;3;10;14;27;26;26;3;109
"Total";1;2;40;99;298;676;1252;1652;2531;3;6554
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
