Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2024
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;1;5;10;16;31;-;63
"Alto de Pinheiros";-;-;-;-;4;4;6;15;-;29
"Anhanguera";-;-;-;-;5;2;10;6;-;23
"Aricanduva";-;-;2;-;4;12;14;30;-;62
"Artur Alvim";-;-;1;1;6;11;17;23;-;59
"Barra Funda";-;-;-;-;-;1;3;7;-;11
"Bela Vista";-;-;-;2;4;5;8;12;-;31
"Belém";-;-;-;3;3;2;3;9;-;20
"Bom Retiro";-;-;-;2;1;1;2;4;-;10
"Brás";-;-;-;-;1;3;3;8;-;15
"Brasilândia";-;2;2;9;20;43;40;44;-;160
"Butantã";-;-;-;-;2;2;4;22;-;30
"Cachoeirinha";-;-;1;3;7;19;18;24;1;73
"Cambuci";-;-;-;-;2;2;5;14;-;23
"Campo Belo";-;-;-;1;1;5;5;29;-;41
"Campo Grande";-;-;-;2;4;10;9;26;-;51
"Campo Limpo";-;1;1;6;8;27;31;38;-;112
"Cangaíba";-;1;1;5;7;9;17;32;-;72
"Capão Redondo";1;1;6;5;14;24;31;23;-;105
"Carrão";-;-;1;4;4;11;20;41;-;81
"Casa Verde";-;-;-;1;3;14;16;29;-;63
"Cidade Ademar";-;-;-;8;16;18;36;58;-;136
"Cidade Dutra";-;2;-;7;18;24;28;21;-;100
"Cidade Líder";-;1;5;3;8;17;24;24;-;82
"Cidade Tiradentes";-;2;6;16;15;19;23;25;-;106
"Consolação";-;-;-;-;1;3;3;10;-;17
"Cursino";-;-;-;2;7;11;17;36;-;73
"Ermelino Matarazzo";-;2;3;5;9;11;18;24;-;72
"Freguesia do Ó";-;1;-;3;3;15;30;38;-;90
"Grajaú";-;2;6;9;25;35;44;61;-;182
"Guaianases";-;-;1;4;5;13;16;17;-;56
"Iguatemi";-;-;6;3;7;14;15;33;-;78
"Ipiranga";-;1;-;3;5;10;7;31;-;57
"Itaim Bibi";-;-;-;-;3;9;10;25;-;47
"Itaim Paulista";-;-;1;10;20;29;25;36;-;121
"Itaquera";-;3;2;7;11;30;36;44;-;133
"Jabaquara";-;-;1;4;10;24;28;53;-;120
"Jaçanã";-;2;1;2;8;15;14;24;-;66
"Jaguara";-;-;-;-;-;3;7;7;-;17
"Jaguaré";-;-;-;2;2;2;3;11;-;20
"Jaraguá";-;1;4;10;14;24;32;43;-;128
"Jardim Ângela";-;5;1;9;17;27;29;24;-;112
"Jardim Helena";-;-;2;5;14;25;24;29;-;99
"Jardim Paulista";-;-;-;1;2;4;6;35;-;48
"Jardim São Luís";-;2;5;9;12;22;36;35;-;121
"José Bonifácio";-;1;3;8;12;9;20;13;-;66
