Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2021
"Distrito Admin residência";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;2;3;8;15;35;-;63
"Alto de Pinheiros";-;-;-;-;1;2;6;20;-;29
"Anhanguera";-;-;-;1;4;4;2;2;-;13
"Aricanduva";-;-;1;3;8;17;14;31;-;74
"Artur Alvim";-;1;1;2;6;14;19;33;-;76
"Barra Funda";-;-;-;1;-;2;-;8;-;11
"Bela Vista";-;-;-;-;3;2;10;17;-;32
"Belém";-;-;-;1;3;6;8;14;-;32
"Bom Retiro";-;-;1;1;1;2;3;8;-;16
"Brás";-;-;-;-;3;1;3;7;1;15
"Brasilândia";-;-;-;7;14;29;31;35;-;116
"Butantã";-;-;-;-;1;1;3;15;-;20
"Cachoeirinha";-;-;1;1;7;10;12;14;-;45
"Cambuci";-;-;-;-;-;3;4;11;-;18
"Campo Belo";-;-;-;1;2;5;11;32;-;51
"Campo Grande";-;-;-;4;4;9;14;24;-;55
"Campo Limpo";-;2;2;7;15;18;19;27;-;90
"Cangaíba";-;-;4;3;13;18;21;28;-;87
"Capão Redondo";-;2;3;6;7;30;35;39;-;122
"Carrão";-;-;-;-;4;10;17;51;-;82
"Casa Verde";-;-;-;-;4;7;14;17;-;42
"Cidade Ademar";-;2;4;9;9;34;38;49;-;145
"Cidade Dutra";-;1;2;7;11;17;24;24;-;86
"Cidade Líder";-;1;2;7;7;10;13;29;-;69
"Cidade Tiradentes";-;4;12;11;16;24;39;35;-;141
"Consolação";-;1;-;-;-;3;12;22;-;38
"Cursino";-;-;2;-;5;3;16;28;-;54
"Ermelino Matarazzo";-;1;1;4;9;8;18;29;-;70
"Freguesia do Ó";-;-;1;3;5;11;20;26;-;66
"Grajaú";-;6;9;12;34;51;42;35;-;189
"Guaianases";-;-;1;7;10;19;20;16;-;73
"Iguatemi";-;6;4;6;7;24;17;17;-;81
"Ipiranga";-;-;2;1;3;8;22;42;-;78
"Itaim Bibi";-;-;-;2;2;7;5;36;-;52
"Itaim Paulista";-;1;4;8;17;36;45;55;-;166
"Itaquera";-;4;4;12;11;35;43;53;-;162
"Jabaquara";-;1;1;6;10;25;20;58;-;121
"Jaçanã";-;-;1;4;3;10;20;16;-;54
"Jaguara";-;-;-;1;1;2;4;3;-;11
"Jaguaré";-;-;-;1;1;3;8;11;-;24
"Jaraguá";-;1;-;6;20;21;32;30;-;110
"Jardim Ângela";-;6;4;8;28;30;21;29;-;126
"Jardim Helena";-;-;2;5;11;17;30;22;-;87
"Jardim Paulista";-;-;-;1;1;-;4;43;-;49
"Jardim São Luís";-;1;6;1;15;14;25;23;-;85
"José Bonifácio";-;-;7;6;8;19;19;23;-;82
"Lajeado";-;2;5;5;13;22;34;35;-;116
"Lapa";-;-;-;-;1;4;8;25;-;38
"Liberdade";-;-;-;1;-;5;6;19;-;31
"Limão";-;-;-;2;5;8;11;13;-;39
"Mandaqui";-;-;-;1;1;10;13;23;-;48
"Marsilac";-;-;-;1;1;1;1;1;-;5
"Moema";-;-;-;1;2;1;6;22;-;32
"Moóca";-;-;1;2;5;5;11;38;-;62
"Morumbi";-;-;-;-;-;5;4;12;-;21
"Parelheiros";-;2;1;7;16;17;22;17;-;82
"Pari";-;-;-;-;2;-;-;2;-;4
"Parque do Carmo";-;1;1;-;9;7;11;16;-;45
"Pedreira";-;2;2;6;10;15;12;18;-;65
"Penha";1;-;-;5;5;12;31;58;-;112
"Perdizes";-;-;-;1;3;8;9;25;-;46
"Perus";-;-;-;2;4;4;13;11;-;34
"Pinheiros";-;-;-;3;-;-;5;16;-;24
"Pirituba";-;1;-;1;5;16;23;39;-;85
"Ponte Rasa";-;-;2;2;10;15;25;38;-;92
"Raposo Tavares";-;-;1;1;3;5;8;9;-;27
"República";-;-;-;-;-;4;5;14;-;23
"Rio Pequeno";-;-;1;-;4;8;11;16;-;40
"Sacomã";-;2;5;10;6;29;27;52;-;131
"Santa Cecília";-;-;1;-;1;5;9;28;-;44
"Santana";-;-;1;-;3;10;18;52;-;84
"Santo Amaro";-;-;1;1;2;6;11;18;-;39
"São Domingos";-;-;2;1;10;8;7;12;-;40
"São Lucas";-;-;-;1;10;20;25;59;-;115
"São Mateus";-;7;3;5;5;29;34;35;-;118
"São Miguel";-;1;1;7;5;15;20;29;-;78
"São Rafael";-;4;3;5;14;19;20;21;1;87
"Sapopemba";-;5;5;22;23;44;52;70;-;221
"Saúde";-;-;1;1;2;5;17;39;-;65
"Sé";-;-;-;-;3;1;2;3;-;9
"Socorro";-;-;-;-;2;5;2;10;-;19
"Tatuapé";-;-;-;-;2;10;19;38;-;69
"Tremembé";-;-;-;5;5;19;24;40;-;93
"Tucuruvi";-;-;-;1;2;7;18;39;-;67
"Vila Andrade";-;2;-;1;6;4;8;15;-;36
"Vila Curuçá";-;1;5;8;12;29;26;36;-;117
"Vila Formosa";-;-;-;2;6;18;20;38;-;84
"Vila Guilherme";-;-;-;-;3;4;11;13;-;31
"Vila Jacuí";-;-;3;6;13;17;26;17;-;82
"Vila Leopoldina";-;-;-;-;3;2;2;14;-;21
"Vila Maria";-;-;1;1;4;12;14;26;-;58
"Vila Mariana";-;-;-;1;5;2;17;42;-;67
"Vila Matilde";-;-;2;1;7;17;26;49;-;102
"Vila Medeiros";-;-;-;8;6;10;27;29;-;80
"Vila Prudente";-;1;-;-;4;13;23;55;-;96
"Vila Sônia";-;-;1;1;4;10;10;23;-;49
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;9;3;8;13;9;9;10;61
"Total";1;72;140;300;622;1184;1611;2600;12;6542
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
