Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2020
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;1;1;-;2;7;17;37;-;65
"Alto de Pinheiros";-;-;-;-;1;2;4;18;-;25
"Anhanguera";-;-;1;1;1;6;6;8;-;23
"Aricanduva";-;1;-;2;7;13;17;32;-;72
"Artur Alvim";-;1;3;4;10;13;20;30;-;81
"Barra Funda";-;-;-;-;1;4;1;1;-;7
"Bela Vista";-;-;-;-;4;3;2;18;-;27
"Belém";-;-;1;1;1;5;4;19;-;31
"Bom Retiro";-;-;1;-;2;2;1;8;-;14
"Brás";-;-;1;-;1;2;2;8;-;14
"Brasilândia";-;1;2;6;13;29;30;35;-;116
"Butantã";-;-;-;1;-;2;6;15;-;24
"Cachoeirinha";-;-;1;1;12;9;21;15;-;59
"Cambuci";-;-;1;-;1;2;1;9;-;14
"Campo Belo";-;1;1;1;2;3;9;44;-;61
"Campo Grande";-;1;-;3;3;6;17;26;-;56
"Campo Limpo";-;2;2;3;9;20;16;21;-;73
"Cangaíba";-;-;1;3;8;19;19;29;-;79
"Capão Redondo";-;4;5;5;10;23;15;18;-;80
"Carrão";-;-;-;1;4;9;11;49;1;75
"Casa Verde";-;-;1;2;8;6;19;24;-;60
"Cidade Ademar";-;-;5;9;15;41;40;33;-;143
"Cidade Dutra";-;1;1;-;3;18;16;24;-;63
"Cidade Líder";-;3;2;1;8;13;23;21;-;71
"Cidade Tiradentes";1;4;8;10;15;22;35;25;-;120
"Consolação";-;-;1;-;2;1;3;21;-;28
"Cursino";-;-;-;1;8;9;17;31;-;66
"Ermelino Matarazzo";-;1;1;6;10;12;12;20;-;62
"Freguesia do Ó";-;-;1;-;5;14;15;35;-;70
"Grajaú";-;8;5;7;18;26;30;26;-;120
"Guaianases";-;-;5;2;8;9;20;15;-;59
"Iguatemi";-;3;3;4;11;20;22;11;-;74
"Ipiranga";-;-;-;1;7;13;12;43;-;76
"Itaim Bibi";-;-;1;-;3;1;4;30;-;39
"Itaim Paulista";-;1;4;3;15;20;21;38;-;102
"Itaquera";-;6;4;7;16;22;30;31;-;116
"Jabaquara";-;-;2;8;6;30;38;42;-;126
"Jaçanã";-;-;-;2;6;12;7;27;-;54
"Jaguara";-;-;-;-;1;4;5;9;-;19
"Jaguaré";-;-;-;-;1;3;4;6;-;14
"Jaraguá";-;1;-;2;10;25;24;22;-;84
"Jardim Ângela";-;5;9;13;14;19;24;22;-;106
"Jardim Helena";-;-;1;3;7;13;20;23;-;67
"Jardim Paulista";-;-;-;-;1;2;7;25;-;35
"Jardim São Luís";-;4;3;5;16;18;29;28;-;103
"José Bonifácio";-;-;4;4;9;14;16;16;-;63
"Lajeado";-;7;8;6;13;25;18;16;-;93
"Lapa";-;-;-;1;1;3;5;32;-;42
"Liberdade";-;-;-;1;2;7;8;19;-;37
"Limão";-;-;-;-;6;12;11;15;-;44
"Mandaqui";-;1;-;2;2;7;8;37;-;57
"Marsilac";-;-;-;-;1;-;2;1;-;4
"Moema";-;-;-;-;1;2;6;26;-;35
"Moóca";-;-;1;-;1;12;14;46;-;74
"Morumbi";-;-;-;-;1;-;5;10;-;16
"Parelheiros";-;6;2;2;8;15;11;18;-;62
"Pari";-;-;-;-;1;3;4;3;-;11
"Parque do Carmo";1;1;1;1;1;4;9;20;-;38
"Pedreira";-;1;2;3;7;9;14;15;-;51
"Penha";-;1;1;-;4;15;25;66;-;112
"Perdizes";-;-;-;-;3;1;3;31;-;38
"Perus";-;-;-;3;2;8;7;12;-;32
"Pinheiros";-;-;-;-;1;1;5;24;-;31
"Pirituba";-;-;2;3;12;18;21;35;-;91
"Ponte Rasa";-;-;-;2;8;13;17;29;-;69
"Raposo Tavares";-;1;-;1;4;8;6;19;-;39
"República";-;-;-;-;3;1;6;12;-;22
"Rio Pequeno";-;-;-;-;1;9;5;28;-;43
"Sacomã";-;-;2;5;10;19;18;34;-;88
"Santa Cecília";-;-;1;2;3;7;6;21;-;40
"Santana";-;-;-;-;1;9;17;47;-;74
"Santo Amaro";-;-;-;-;2;4;8;28;-;42
"São Domingos";-;-;-;5;4;7;9;15;-;40
"São Lucas";-;-;2;-;10;20;17;53;-;102
"São Mateus";-;4;1;6;12;13;25;24;-;85
"São Miguel";-;1;1;-;8;15;12;27;-;64
"São Rafael";-;5;2;3;9;15;14;17;-;65
"Sapopemba";-;2;2;10;22;39;40;58;-;173
"Saúde";-;-;-;-;4;8;17;45;-;74
"Sé";-;-;-;-;-;2;4;2;-;8
"Socorro";-;-;-;1;1;1;5;10;-;18
"Tatuapé";-;1;1;-;-;8;10;48;-;68
"Tremembé";-;-;1;4;4;18;16;21;-;64
"Tucuruvi";-;-;-;-;6;12;13;33;-;64
"Vila Andrade";-;-;-;-;6;5;4;15;-;30
"Vila Curuçá";-;3;-;5;11;18;13;29;-;79
"Vila Formosa";-;-;-;4;4;12;16;41;-;77
"Vila Guilherme";-;-;-;-;1;7;3;28;-;39
"Vila Jacuí";-;-;-;7;14;17;16;24;-;78
"Vila Leopoldina";-;-;-;-;2;4;6;7;-;19
"Vila Maria";-;-;-;1;5;17;13;37;-;73
"Vila Mariana";-;-;1;2;1;2;12;48;-;66
"Vila Matilde";-;2;-;2;6;10;17;35;-;72
"Vila Medeiros";-;-;-;4;7;9;13;32;-;65
"Vila Prudente";-;-;1;-;2;15;17;43;-;78
"Vila Sônia";-;1;1;1;3;4;3;16;-;29
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;5;7;11;16;13;21;7;80
"Total";2;86;120;216;567;1072;1299;2461;8;5831
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
