Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2022
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;1;2;10;11;21;51;-;96
"Alto de Pinheiros";-;-;-;-;-;-;1;5;19;-;25
"Anhanguera";-;-;-;1;3;4;8;9;3;-;28
"Aricanduva";-;1;3;-;-;3;11;14;36;-;68
"Artur Alvim";-;-;2;1;6;6;10;14;38;-;77
"Barra Funda";-;-;-;-;-;1;1;1;3;-;6
"Bela Vista";-;-;-;-;-;1;5;5;20;-;31
"Belém";-;-;-;-;-;5;2;4;18;-;29
"Bom Retiro";-;-;-;-;-;1;6;6;10;-;23
"Brás";-;-;-;1;-;1;3;4;4;-;13
"Brasilândia";-;-;2;2;6;19;31;47;41;-;148
"Butantã";-;-;-;-;-;2;1;6;18;-;27
"Cachoeirinha";-;-;-;1;4;7;7;21;20;-;60
"Cambuci";-;-;-;-;-;2;2;6;13;-;23
"Campo Belo";-;-;-;-;1;3;5;4;36;-;49
"Campo Grande";-;-;-;1;2;5;8;17;27;-;60
"Campo Limpo";-;-;2;-;3;12;21;22;45;-;105
"Cangaíba";-;-;1;2;9;5;16;32;32;-;97
"Capão Redondo";-;-;3;5;6;17;30;27;35;-;123
"Carrão";-;-;1;-;3;5;12;20;47;-;88
"Casa Verde";-;-;1;1;2;9;10;11;30;-;64
"Cidade Ademar";-;-;3;2;10;16;43;32;52;-;158
"Cidade Dutra";-;-;-;3;8;10;18;37;50;-;126
"Cidade Líder";-;-;2;5;8;10;15;24;18;-;82
"Cidade Tiradentes";-;-;2;7;8;20;24;33;18;-;112
"Consolação";-;-;-;-;-;-;4;2;29;-;35
"Cursino";-;-;-;3;2;2;10;20;34;-;71
"Ermelino Matarazzo";-;-;-;-;5;10;20;21;23;-;79
"Freguesia do Ó";-;-;-;1;2;6;15;23;46;-;93
"Grajaú";-;-;9;6;16;41;45;56;42;-;215
"Guaianases";-;-;1;2;3;7;15;20;14;1;63
"Iguatemi";-;-;2;6;4;15;17;27;22;-;93
"Ipiranga";-;-;-;2;2;5;12;24;33;-;78
"Itaim Bibi";-;-;-;-;1;2;6;6;33;-;48
"Itaim Paulista";-;-;2;5;6;13;36;34;35;-;131
"Itaquera";1;1;2;5;7;17;28;23;43;-;127
"Jabaquara";-;-;1;-;4;14;19;32;43;-;113
"Jaçanã";-;-;-;-;2;5;17;20;20;-;64
"Jaguara";-;-;-;-;-;2;4;8;8;-;22
"Jaguaré";-;-;-;-;2;4;1;8;5;-;20
"Jaraguá";-;-;1;2;5;10;30;32;36;-;116
"Jardim Ângela";-;-;2;3;12;20;35;29;29;-;130
"Jardim Helena";-;-;-;2;6;14;23;21;27;-;93
"Jardim Paulista";-;-;-;-;-;2;7;2;27;-;38
"Jardim São Luís";-;-;3;3;5;19;28;26;28;-;112
"José Bonifácio";-;-;-;3;3;10;17;28;20;-;81
"Lajeado";-;-;1;7;11;19;21;27;32;-;118
"Lapa";-;-;-;-;-;2;5;9;29;-;45
"Liberdade";-;-;-;-;1;2;5;6;17;-;31
"Limão";-;-;-;-;-;-;11;19;18;-;48
"Mandaqui";-;-;-;-;-;6;14;19;49;-;88
"Marsilac";-;-;-;-;-;3;-;3;2;-;8
"Moema";-;-;-;-;-;2;2;7;30;-;41
"Moóca";-;-;-;-;-;1;9;10;42;-;62
"Morumbi";-;-;-;1;1;2;2;3;5;-;14
"Parelheiros";-;-;2;1;9;8;27;21;27;-;95
"Pari";-;-;-;-;-;2;3;1;5;-;11
"Parque do Carmo";-;-;2;1;1;5;3;15;15;-;42
"Pedreira";-;-;-;4;3;6;13;19;17;-;62
"Penha";-;-;3;3;4;5;15;29;48;-;107
"Perdizes";-;-;-;-;1;1;5;12;29;-;48
"Perus";-;-;-;-;3;6;8;15;15;-;47
"Pinheiros";-;-;-;-;1;1;2;5;21;-;30
"Pirituba";-;-;-;1;5;12;16;22;39;-;95
"Ponte Rasa";-;-;1;2;3;4;10;15;25;-;60
"Raposo Tavares";-;-;-;-;1;7;11;12;9;-;40
"República";-;-;-;-;1;-;4;9;14;-;28
"Rio Pequeno";-;-;1;-;1;5;11;14;22;-;54
"Sacomã";-;-;-;1;6;13;30;36;55;-;141
"Santa Cecília";-;-;1;-;1;2;5;13;16;1;39
"Santana";-;-;-;-;1;6;14;14;46;-;81
"Santo Amaro";-;-;-;1;3;2;3;15;30;-;54
"São Domingos";-;-;-;-;-;-;12;17;26;-;55
"São Lucas";-;-;-;-;4;11;18;31;56;-;120
"São Mateus";-;-;5;3;9;14;16;28;21;-;96
"São Miguel";-;-;2;1;2;12;24;19;29;-;89
"São Rafael";-;-;5;4;10;15;14;25;18;-;91
"Sapopemba";-;-;2;9;11;27;35;50;57;-;191
"Saúde";-;-;1;1;3;3;8;13;46;-;75
"Sé";-;-;-;-;-;1;1;4;3;-;9
"Socorro";-;-;-;-;-;1;2;5;18;-;26
"Tatuapé";-;-;-;1;3;4;10;19;50;-;87
"Tremembé";-;-;-;2;3;6;31;31;41;-;114
"Tucuruvi";-;-;-;-;-;2;12;15;44;-;73
"Vila Andrade";-;-;2;3;3;5;11;8;20;-;52
"Vila Curuçá";-;-;2;1;5;17;23;28;41;-;117
"Vila Formosa";-;-;-;1;1;9;16;18;38;-;83
"Vila Guilherme";-;-;-;2;-;-;2;15;20;-;39
"Vila Jacuí";-;-;1;3;6;10;17;18;21;-;76
"Vila Leopoldina";-;-;-;-;-;-;4;2;8;-;14
"Vila Maria";-;-;-;-;1;5;12;12;24;-;54
"Vila Mariana";-;-;-;1;1;4;15;16;47;-;84
"Vila Matilde";-;-;-;-;2;7;8;28;38;-;83
"Vila Medeiros";-;-;-;1;6;5;16;19;39;-;86
"Vila Prudente";-;-;-;1;4;5;10;24;30;-;74
"Vila Sônia";-;-;-;-;1;4;8;8;19;-;40
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;4;9;19;19;23;22;8;104
"Total";1;2;76;136;309;700;1283;1730;2714;10;6961
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
