Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C54 Neopl malig do corpo do utero
Período:2025
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;1;-;-;1
"Alto de Pinheiros";-;-;-;-;-;1;1
"Anhanguera";-;-;-;-;1;-;1
"Aricanduva";-;-;-;-;1;-;1
"Artur Alvim";-;-;-;-;-;1;1
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;1;-;1;2
"Belém";-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;1;-;3;-;4
"Butantã";-;-;-;-;-;1;1
"Cachoeirinha";-;-;-;-;-;-;-
"Cambuci";-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;1;-;1
"Campo Grande";-;-;-;-;1;2;3
"Campo Limpo";-;1;-;-;-;-;1
"Cangaíba";-;1;1;1;4;1;8
"Capão Redondo";-;-;1;1;2;1;5
"Carrão";-;-;-;-;1;-;1
"Casa Verde";-;1;-;1;1;-;3
"Cidade Ademar";-;-;-;-;2;1;3
"Cidade Dutra";-;-;-;1;2;2;5
"Cidade Líder";-;-;-;-;2;-;2
"Cidade Tiradentes";-;-;-;1;3;-;4
"Consolação";-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;-;-
"Ermelino Matarazzo";-;-;-;1;-;-;1
"Freguesia do Ó";-;-;-;-;-;3;3
"Grajaú";1;-;-;1;6;-;8
"Guaianases";-;-;-;-;1;-;1
"Iguatemi";-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;-;-
"Itaim Bibi";-;-;-;-;-;-;-
"Itaim Paulista";-;-;1;-;1;-;2
"Itaquera";-;-;-;2;1;-;3
"Jabaquara";-;-;-;1;1;-;2
"Jaçanã";-;-;1;-;-;-;1
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;1;-;-;1
"Jaraguá";-;-;1;-;-;-;1
"Jardim Ângela";-;-;-;1;1;-;2
"Jardim Helena";-;-;-;-;1;-;1
"Jardim Paulista";-;-;-;-;-;-;-
"Jardim São Luís";-;-;-;2;-;2;4
"José Bonifácio";-;-;-;-;2;2;4
"Lajeado";-;-;1;1;1;-;3
"Lapa";-;-;-;-;-;2;2
"Liberdade";-;-;-;1;1;1;3
"Limão";-;-;-;-;-;-;-
"Mandaqui";-;-;-;1;-;2;3
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;1;-;1;2
"Moóca";-;-;-;-;-;1;1
"Morumbi";-;-;-;-;1;-;1
"Parelheiros";-;-;-;-;-;-;-
"Pari";-;-;-;1;-;-;1
"Parque do Carmo";-;-;1;-;-;-;1
"Pedreira";-;-;-;1;1;4;6
"Penha";-;-;-;1;2;-;3
"Perdizes";-;-;-;1;-;2;3
"Perus";-;-;-;-;-;1;1
"Pinheiros";-;-;1;1;-;-;2
"Pirituba";-;-;-;-;2;1;3
"Ponte Rasa";-;-;-;-;-;3;3
"Raposo Tavares";-;-;-;-;-;1;1
"República";-;-;-;1;-;2;3
"Rio Pequeno";-;-;-;-;-;1;1
"Sacomã";-;-;1;1;-;2;4
"Santa Cecília";-;-;-;-;2;2;4
"Santana";-;-;-;1;-;3;4
"Santo Amaro";-;-;-;-;-;1;1
"São Domingos";-;-;-;-;-;1;1
"São Lucas";-;-;-;-;2;-;2
"São Mateus";-;-;-;2;1;-;3
"São Miguel";-;-;-;1;-;-;1
"São Rafael";-;-;-;-;-;1;1
"Sapopemba";-;-;-;-;1;1;2
"Saúde";-;-;-;1;1;-;2
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;2;-;2
"Tatuapé";-;-;-;-;1;-;1
"Tremembé";-;-;1;1;1;1;4
"Tucuruvi";-;-;-;-;1;1;2
"Vila Andrade";-;-;-;1;1;1;3
"Vila Curuçá";-;-;-;-;-;1;1
"Vila Formosa";-;-;-;-;-;-;-
"Vila Guilherme";-;-;-;-;-;-;-
"Vila Jacuí";-;-;-;2;1;-;3
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;-
"Vila Mariana";-;-;-;-;-;1;1
"Vila Matilde";-;-;1;-;2;1;4
"Vila Medeiros";-;-;1;-;-;-;1
"Vila Prudente";-;-;-;2;-;-;2
"Vila Sônia";-;-;-;-;2;-;2
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;2;1;2;5
"Total";1;3;13;40;65;59;181
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
