Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C54 Neopl malig do corpo do utero
Período:2020
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;1;1;2
"Alto de Pinheiros";-;-;-;-;-;-;-
"Anhanguera";-;-;-;2;-;-;2
"Aricanduva";-;-;-;-;1;-;1
"Artur Alvim";-;1;2;-;2;-;5
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;1;-;-;-;1
"Belém";-;-;-;-;-;1;1
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;1;-;1
"Brasilândia";-;-;-;-;3;1;4
"Butantã";-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;1;-;1;2
"Cambuci";-;-;-;-;-;1;1
"Campo Belo";-;-;-;-;1;-;1
"Campo Grande";-;-;-;-;-;1;1
"Campo Limpo";-;-;-;1;1;1;3
"Cangaíba";-;-;-;-;1;1;2
"Capão Redondo";-;-;1;2;2;-;5
"Carrão";-;-;-;-;-;-;-
"Casa Verde";-;-;-;1;-;-;1
"Cidade Ademar";-;-;-;-;-;2;2
"Cidade Dutra";-;-;1;-;-;2;3
"Cidade Líder";-;-;2;-;1;-;3
"Cidade Tiradentes";-;-;-;-;2;1;3
"Consolação";-;-;-;1;-;-;1
"Cursino";-;-;-;2;-;1;3
"Ermelino Matarazzo";-;-;2;-;-;-;2
"Freguesia do Ó";-;-;-;-;1;2;3
"Grajaú";-;-;-;1;2;-;3
"Guaianases";-;-;-;1;-;-;1
"Iguatemi";-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;1;-;1
"Itaim Bibi";-;-;-;-;-;-;-
"Itaim Paulista";-;-;-;1;2;2;5
"Itaquera";1;-;-;2;1;3;7
"Jabaquara";-;-;-;4;1;1;6
"Jaçanã";-;-;-;-;-;1;1
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;1;-;1;-;2
"Jaraguá";-;-;-;1;-;1;2
"Jardim Ângela";-;-;1;3;1;-;5
"Jardim Helena";-;-;-;1;1;-;2
"Jardim Paulista";-;-;-;-;-;-;-
"Jardim São Luís";-;-;1;1;2;1;5
"José Bonifácio";-;-;-;-;1;-;1
"Lajeado";-;-;-;3;1;1;5
"Lapa";-;-;-;1;1;1;3
"Liberdade";-;-;-;-;2;-;2
"Limão";-;-;-;-;1;-;1
"Mandaqui";-;-;-;2;3;2;7
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;1;2;3
"Moóca";-;-;-;-;-;1;1
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;2;1;-;-;-;3
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;1;1
"Pedreira";-;-;-;1;2;1;4
"Penha";-;-;1;2;1;-;4
"Perdizes";-;-;-;1;-;1;2
"Perus";-;-;-;1;1;-;2
"Pinheiros";-;-;-;-;-;-;-
"Pirituba";-;2;1;2;2;1;8
"Ponte Rasa";-;-;-;-;-;2;2
"Raposo Tavares";-;-;-;-;-;-;-
"República";-;-;-;-;1;-;1
"Rio Pequeno";-;-;-;-;1;-;1
"Sacomã";-;-;-;1;1;1;3
"Santa Cecília";-;-;-;-;1;-;1
"Santana";-;1;-;-;-;-;1
"Santo Amaro";-;-;-;-;1;-;1
"São Domingos";-;-;-;-;-;1;1
"São Lucas";-;-;-;-;-;-;-
"São Mateus";-;-;-;2;-;-;2
"São Miguel";-;-;-;-;-;1;1
"São Rafael";-;-;-;-;-;-;-
"Sapopemba";-;-;-;1;-;2;3
"Saúde";-;-;-;-;-;-;-
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-
"Tatuapé";-;-;1;-;-;-;1
"Tremembé";-;-;-;-;3;1;4
"Tucuruvi";-;-;-;-;-;-;-
"Vila Andrade";-;-;-;-;-;2;2
"Vila Curuçá";-;-;-;-;-;1;1
"Vila Formosa";-;-;-;1;1;2;4
"Vila Guilherme";-;-;-;-;-;1;1
"Vila Jacuí";-;-;-;-;-;1;1
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;1;-;2;1;4
"Vila Mariana";-;-;-;-;1;1;2
"Vila Matilde";-;1;-;-;-;-;1
"Vila Medeiros";-;-;-;1;1;1;3
"Vila Prudente";-;-;-;1;-;-;1
"Vila Sônia";-;-;-;1;-;1;2
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-
"Total";1;7;17;46;58;55;184
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
