Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C54 Neopl malig do corpo do utero
Período:2022
"Distrito Admin residência";"15-24";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;-;1;-;2
"Alto de Pinheiros";-;-;-;1;2;1;4
"Anhanguera";-;-;-;-;-;-;-
"Aricanduva";-;-;-;1;1;-;2
"Artur Alvim";-;-;-;-;-;1;1
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;1;1
"Belém";-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;-;1;1;-;2
"Butantã";-;-;-;-;2;1;3
"Cachoeirinha";-;-;1;1;-;-;2
"Cambuci";-;-;-;1;1;-;2
"Campo Belo";-;-;-;-;1;-;1
"Campo Grande";-;-;-;-;-;-;-
"Campo Limpo";-;-;-;-;-;1;1
"Cangaíba";-;-;-;1;1;-;2
"Capão Redondo";-;-;-;1;1;-;2
"Carrão";-;-;-;1;1;-;2
"Casa Verde";-;-;-;-;2;1;3
"Cidade Ademar";-;-;1;2;1;-;4
"Cidade Dutra";-;-;-;1;-;-;1
"Cidade Líder";1;-;-;1;1;2;5
"Cidade Tiradentes";-;-;-;2;5;1;8
"Consolação";-;-;-;-;-;1;1
"Cursino";-;-;-;-;1;1;2
"Ermelino Matarazzo";-;-;-;-;3;1;4
"Freguesia do Ó";-;-;-;-;-;3;3
"Grajaú";-;1;1;1;1;-;4
"Guaianases";-;-;-;-;1;-;1
"Iguatemi";-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;1;1;2
"Itaim Bibi";-;-;-;-;-;-;-
"Itaim Paulista";-;-;-;-;2;-;2
"Itaquera";-;-;-;1;5;2;8
"Jabaquara";-;-;1;-;2;-;3
"Jaçanã";-;-;-;-;-;-;-
"Jaguara";-;-;-;1;-;-;1
"Jaguaré";-;-;-;2;-;-;2
"Jaraguá";-;-;-;1;2;2;5
"Jardim Ângela";-;-;-;3;2;1;6
"Jardim Helena";-;-;-;-;-;-;-
"Jardim Paulista";-;-;-;-;-;2;2
"Jardim São Luís";-;-;-;-;2;1;3
"José Bonifácio";-;-;-;-;1;-;1
"Lajeado";-;-;-;-;-;1;1
"Lapa";-;-;-;1;1;1;3
"Liberdade";-;-;-;1;-;-;1
"Limão";-;-;-;-;1;-;1
"Mandaqui";-;-;-;3;2;-;5
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;1;-;-;1
"Moóca";-;-;-;-;1;2;3
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;1;1
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;1;1;2
"Pedreira";-;-;-;-;1;-;1
"Penha";-;-;-;1;-;2;3
"Perdizes";-;-;-;1;-;-;1
"Perus";-;-;-;-;2;-;2
"Pinheiros";-;-;-;-;-;1;1
"Pirituba";-;-;-;-;-;2;2
"Ponte Rasa";-;-;-;1;-;1;2
"Raposo Tavares";-;-;-;-;-;1;1
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;-
"Sacomã";-;-;-;2;3;2;7
"Santa Cecília";-;-;-;2;-;2;4
"Santana";-;-;1;-;1;3;5
"Santo Amaro";-;-;-;-;-;1;1
"São Domingos";-;-;-;-;-;-;-
"São Lucas";-;-;-;-;-;1;1
"São Mateus";-;-;1;-;-;-;1
"São Miguel";-;-;-;-;1;-;1
"São Rafael";-;-;-;1;1;-;2
"Sapopemba";-;-;-;3;-;2;5
"Saúde";-;-;-;-;1;2;3
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;1;1
"Tatuapé";-;-;-;-;-;1;1
"Tremembé";-;-;-;-;-;-;-
"Tucuruvi";-;-;1;2;-;1;4
"Vila Andrade";-;-;-;-;-;-;-
"Vila Curuçá";-;-;-;-;-;1;1
"Vila Formosa";-;-;-;2;-;-;2
"Vila Guilherme";-;-;-;-;-;1;1
"Vila Jacuí";-;-;-;-;1;-;1
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;2;-;-;2
"Vila Mariana";-;-;1;-;1;2;4
"Vila Matilde";-;-;-;1;-;1;2
"Vila Medeiros";-;-;-;1;-;-;1
"Vila Prudente";-;-;-;-;1;1;2
"Vila Sônia";-;-;-;-;-;2;2
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-
"Total";1;1;9;48;63;61;183
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
