Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C54 Neopl malig do corpo do utero
Período:2018
"Distrito Admin residência";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;1;1;2
"Alto de Pinheiros";-;-;-;1;-;1
"Anhanguera";-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;-
"Artur Alvim";-;-;-;1;1;2
"Barra Funda";-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-
"Belém";-;-;-;-;1;1
"Bom Retiro";-;-;-;-;-;-
"Brás";-;-;-;-;-;-
"Brasilândia";-;-;1;-;-;1
"Butantã";-;-;2;2;1;5
"Cachoeirinha";-;-;4;1;-;5
"Cambuci";-;-;-;-;-;-
"Campo Belo";-;-;-;1;-;1
"Campo Grande";-;-;-;1;-;1
"Campo Limpo";-;-;1;2;-;3
"Cangaíba";-;-;-;-;-;-
"Capão Redondo";-;-;1;2;2;5
"Carrão";-;-;-;-;-;-
"Casa Verde";-;-;-;1;1;2
"Cidade Ademar";-;-;-;2;1;3
"Cidade Dutra";-;-;-;2;1;3
"Cidade Líder";-;-;-;-;-;-
"Cidade Tiradentes";-;-;1;-;1;2
"Consolação";-;-;1;-;-;1
"Cursino";-;-;-;-;-;-
"Ermelino Matarazzo";-;-;-;-;-;-
"Freguesia do Ó";-;-;1;1;2;4
"Grajaú";-;-;3;2;-;5
"Guaianases";-;1;-;-;-;1
"Iguatemi";-;-;-;-;-;-
"Ipiranga";-;-;1;-;2;3
"Itaim Bibi";-;-;1;4;-;5
"Itaim Paulista";-;-;1;-;-;1
"Itaquera";-;-;-;1;1;2
"Jabaquara";-;-;1;-;-;1
"Jaçanã";-;-;1;-;-;1
"Jaguara";-;-;-;-;-;-
"Jaguaré";-;1;-;-;-;1
"Jaraguá";-;-;1;-;-;1
"Jardim Ângela";-;1;-;1;1;3
"Jardim Helena";-;1;-;1;-;2
"Jardim Paulista";-;-;-;-;1;1
"Jardim São Luís";-;-;2;1;1;4
"José Bonifácio";-;-;1;-;-;1
"Lajeado";-;-;1;1;-;2
"Lapa";-;-;-;1;2;3
"Liberdade";-;-;1;3;1;5
"Limão";1;-;-;-;-;1
"Mandaqui";-;-;-;-;1;1
"Marsilac";-;-;-;-;-;-
"Moema";-;-;-;1;-;1
"Moóca";-;-;2;-;2;4
"Morumbi";-;-;-;-;-;-
"Parelheiros";-;-;1;-;-;1
"Pari";-;-;1;1;-;2
"Parque do Carmo";-;-;-;-;-;-
"Pedreira";-;-;1;-;-;1
"Penha";-;1;1;-;-;2
"Perdizes";-;-;1;1;-;2
"Perus";-;-;-;-;1;1
"Pinheiros";-;-;-;1;3;4
"Pirituba";-;-;-;1;1;2
"Ponte Rasa";-;-;-;2;1;3
"Raposo Tavares";-;-;1;2;-;3
"República";-;-;1;-;-;1
"Rio Pequeno";-;-;-;-;-;-
"Sacomã";-;-;-;1;-;1
"Santa Cecília";-;-;-;-;2;2
"Santana";-;-;1;1;-;2
"Santo Amaro";-;-;-;-;3;3
"São Domingos";-;-;-;-;-;-
"São Lucas";-;-;-;1;1;2
"São Mateus";-;-;-;-;-;-
"São Miguel";-;-;-;1;-;1
"São Rafael";-;-;-;-;-;-
"Sapopemba";-;1;-;1;1;3
"Saúde";-;-;1;-;1;2
"Sé";-;-;-;-;-;-
"Socorro";-;-;-;-;-;-
"Tatuapé";-;-;-;-;2;2
"Tremembé";-;-;-;1;2;3
"Tucuruvi";-;-;-;1;-;1
"Vila Andrade";-;1;1;-;-;2
"Vila Curuçá";1;-;-;1;-;2
"Vila Formosa";-;-;-;-;-;-
"Vila Guilherme";-;-;-;1;1;2
"Vila Jacuí";-;1;1;-;1;3
"Vila Leopoldina";-;-;1;-;-;1
"Vila Maria";-;-;1;-;1;2
"Vila Mariana";-;-;1;2;1;4
"Vila Matilde";-;-;1;1;-;2
"Vila Medeiros";-;-;-;1;-;1
"Vila Prudente";-;-;1;1;-;2
"Vila Sônia";-;-;-;-;1;1
"Desconhecido";-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-
"Total";2;8;44;56;47;157
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
