Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C54 Neopl malig do corpo do utero
Período:2023
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;2;1;3
"Alto de Pinheiros";-;-;-;1;1;2;4
"Anhanguera";-;-;-;-;-;-;-
"Aricanduva";-;-;-;2;-;1;3
"Artur Alvim";-;-;-;-;-;-;-
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;1;1
"Belém";-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;1;-;1
"Brasilândia";-;-;1;3;1;1;6
"Butantã";-;-;-;1;1;-;2
"Cachoeirinha";-;-;-;-;-;1;1
"Cambuci";-;-;-;-;-;1;1
"Campo Belo";-;-;1;-;1;1;3
"Campo Grande";-;-;-;2;-;-;2
"Campo Limpo";-;-;-;1;-;1;2
"Cangaíba";-;-;-;1;-;-;1
"Capão Redondo";-;-;-;-;-;1;1
"Carrão";-;1;-;-;1;-;2
"Casa Verde";-;-;-;1;-;-;1
"Cidade Ademar";-;-;-;5;1;3;9
"Cidade Dutra";-;-;-;1;2;2;5
"Cidade Líder";-;-;-;-;-;1;1
"Cidade Tiradentes";-;-;-;-;1;2;3
"Consolação";-;-;-;-;-;-;-
"Cursino";-;-;-;-;2;1;3
"Ermelino Matarazzo";-;-;-;-;-;-;-
"Freguesia do Ó";-;-;-;1;-;-;1
"Grajaú";1;-;-;-;1;-;2
"Guaianases";-;-;-;-;1;-;1
"Iguatemi";-;-;-;-;1;-;1
"Ipiranga";-;1;-;-;1;1;3
"Itaim Bibi";-;-;-;-;-;1;1
"Itaim Paulista";-;-;-;2;1;-;3
"Itaquera";-;-;-;2;1;1;4
"Jabaquara";-;-;-;1;-;-;1
"Jaçanã";-;-;-;1;-;1;2
"Jaguara";-;-;-;1;-;-;1
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;-;-;1;-;-;1
"Jardim Ângela";-;-;-;-;2;1;3
"Jardim Helena";-;-;1;1;-;1;3
"Jardim Paulista";-;-;-;-;3;1;4
"Jardim São Luís";-;-;-;-;3;-;3
"José Bonifácio";1;-;-;1;2;-;4
"Lajeado";-;-;-;1;-;2;3
"Lapa";-;-;-;-;1;1;2
"Liberdade";-;-;-;1;1;3;5
"Limão";-;-;-;-;-;1;1
"Mandaqui";-;-;-;-;-;1;1
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;1;1;1;3
"Moóca";-;-;-;1;-;2;3
"Morumbi";-;-;-;-;-;1;1
"Parelheiros";-;-;-;-;-;-;-
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;1;-;1
"Pedreira";-;-;-;1;-;-;1
"Penha";-;-;1;-;1;3;5
"Perdizes";-;-;-;-;1;3;4
"Perus";-;-;-;1;-;1;2
"Pinheiros";-;-;-;-;-;-;-
"Pirituba";-;-;1;2;-;2;5
"Ponte Rasa";-;-;-;-;1;1;2
"Raposo Tavares";-;-;-;1;1;2;4
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;-
"Sacomã";-;-;1;-;-;2;3
"Santa Cecília";-;-;-;1;1;-;2
"Santana";-;-;1;3;-;1;5
"Santo Amaro";-;-;2;-;-;-;2
"São Domingos";-;-;-;1;-;-;1
"São Lucas";-;-;-;1;1;-;2
"São Mateus";-;-;-;-;2;-;2
"São Miguel";-;-;-;-;1;-;1
"São Rafael";-;-;-;-;2;-;2
"Sapopemba";-;-;1;-;1;2;4
"Saúde";-;-;-;1;1;1;3
"Sé";-;-;-;-;-;1;1
"Socorro";-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;3;3
"Tremembé";-;-;-;4;1;2;7
"Tucuruvi";-;-;-;2;1;2;5
"Vila Andrade";-;-;1;-;-;-;1
"Vila Curuçá";-;-;-;-;1;-;1
"Vila Formosa";-;-;1;-;1;1;3
"Vila Guilherme";-;-;-;1;-;-;1
"Vila Jacuí";-;-;-;-;1;-;1
"Vila Leopoldina";-;-;-;1;-;-;1
"Vila Maria";-;-;-;-;-;-;-
"Vila Mariana";-;-;-;-;1;-;1
"Vila Matilde";-;-;-;3;1;-;4
"Vila Medeiros";-;-;-;2;1;1;4
"Vila Prudente";-;-;-;-;-;1;1
"Vila Sônia";-;-;1;-;1;-;2
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;1;-;1
"Total";2;2;13;58;57;68;200
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
