Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2022
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;1;3;1;4;9
"Alto de Pinheiros";-;-;-;-;-;1;1;2
"Anhanguera";-;-;-;-;1;-;1;2
"Aricanduva";-;-;-;-;5;3;3;11
"Artur Alvim";-;-;-;2;1;2;2;7
"Barra Funda";-;-;-;-;1;-;-;1
"Bela Vista";-;-;-;-;1;3;1;5
"Belém";-;-;-;-;-;2;-;2
"Bom Retiro";-;-;-;1;1;-;-;2
"Brás";-;-;-;-;2;-;-;2
"Brasilândia";-;-;-;1;3;4;2;10
"Butantã";-;-;-;1;-;1;1;3
"Cachoeirinha";-;-;-;1;1;4;4;10
"Cambuci";-;-;-;-;1;3;-;4
"Campo Belo";-;-;-;-;-;2;2;4
"Campo Grande";-;-;-;-;2;1;3;6
"Campo Limpo";-;-;1;-;2;3;-;6
"Cangaíba";-;-;-;1;2;2;2;7
"Capão Redondo";-;-;-;-;3;6;3;12
"Carrão";-;-;-;-;-;1;2;3
"Casa Verde";-;-;-;-;-;1;3;4
"Cidade Ademar";-;-;-;-;1;1;4;6
"Cidade Dutra";-;-;-;2;2;5;6;15
"Cidade Líder";-;-;-;1;2;-;1;4
"Cidade Tiradentes";-;-;1;2;3;2;2;10
"Consolação";-;-;-;-;1;3;-;4
"Cursino";-;-;-;-;1;2;4;7
"Ermelino Matarazzo";-;-;-;-;2;1;3;6
"Freguesia do Ó";-;-;-;-;4;5;3;12
"Grajaú";-;1;-;2;4;4;6;17
"Guaianases";-;-;-;-;1;1;-;2
"Iguatemi";-;-;1;1;1;1;1;5
"Ipiranga";-;-;-;1;1;2;2;6
"Itaim Bibi";-;-;-;-;2;1;1;4
"Itaim Paulista";-;-;1;2;3;1;4;11
"Itaquera";-;-;-;-;2;5;2;9
"Jabaquara";-;-;-;1;1;5;11;18
"Jaçanã";-;-;-;1;2;4;2;9
"Jaguara";-;-;-;-;1;1;1;3
"Jaguaré";-;-;1;1;1;1;2;6
"Jaraguá";-;-;1;-;4;4;5;14
"Jardim Ângela";-;-;1;-;2;3;2;8
"Jardim Helena";-;-;-;1;5;4;2;12
"Jardim Paulista";-;-;-;-;-;1;2;3
"Jardim São Luís";-;1;2;2;4;7;6;22
"José Bonifácio";-;-;-;-;2;3;-;5
"Lajeado";-;-;-;2;3;5;-;10
"Lapa";-;-;1;1;4;-;3;9
"Liberdade";-;-;1;1;-;-;1;3
"Limão";-;-;-;-;-;3;2;5
"Mandaqui";-;-;-;-;-;2;7;9
"Marsilac";-;-;-;-;-;1;-;1
"Moema";-;-;-;-;1;2;1;4
"Moóca";-;-;1;-;-;2;-;3
"Morumbi";-;-;1;-;-;-;1;2
"Parelheiros";-;-;1;-;-;2;2;5
"Pari";-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;1;-;1;1;-;3
"Pedreira";-;-;1;-;3;1;-;5
"Penha";-;-;-;-;2;2;2;6
"Perdizes";-;-;-;-;2;1;3;6
"Perus";-;-;-;1;1;2;1;5
"Pinheiros";-;-;-;-;1;2;1;4
"Pirituba";-;-;-;2;2;2;2;8
"Ponte Rasa";-;-;-;2;2;1;2;7
"Raposo Tavares";-;-;-;-;1;1;1;3
"República";-;-;1;-;-;2;-;3
"Rio Pequeno";-;-;-;-;1;4;1;6
"Sacomã";-;-;-;2;1;3;1;7
"Santa Cecília";-;-;-;-;1;4;2;7
"Santana";-;-;-;-;1;1;3;5
"Santo Amaro";-;-;-;-;3;1;1;5
"São Domingos";-;-;-;-;-;-;2;2
"São Lucas";-;1;1;1;5;-;5;13
"São Mateus";-;-;1;2;-;3;3;9
"São Miguel";-;-;-;2;1;2;1;6
"São Rafael";-;-;2;-;-;1;1;4
"Sapopemba";-;1;2;1;5;8;6;23
"Saúde";-;-;-;-;2;4;1;7
"Sé";-;-;-;-;-;-;1;1
"Socorro";-;-;-;-;1;-;2;3
"Tatuapé";-;-;-;1;3;3;5;12
"Tremembé";1;-;-;-;1;3;1;6
"Tucuruvi";-;-;-;-;2;3;5;10
"Vila Andrade";-;-;-;-;1;4;1;6
"Vila Curuçá";-;-;-;-;2;2;1;5
"Vila Formosa";-;-;-;-;-;1;6;7
"Vila Guilherme";-;-;1;-;1;1;1;4
"Vila Jacuí";-;1;-;2;-;-;-;3
"Vila Leopoldina";-;-;-;-;1;-;1;2
"Vila Maria";-;-;-;-;1;2;2;5
"Vila Mariana";-;-;-;-;-;2;4;6
"Vila Matilde";-;-;-;2;2;1;2;7
"Vila Medeiros";-;1;-;1;1;2;2;7
"Vila Prudente";-;-;-;1;3;-;4;8
"Vila Sônia";-;-;-;1;-;1;2;4
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;1;1;1;3
"Total";1;6;24;50;144;196;203;624
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
