Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2019
"Distrito Admin residência";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;1;4;5
"Alto de Pinheiros";-;-;-;-;1;2;1;2;6
"Anhanguera";-;-;-;-;-;-;-;1;1
"Aricanduva";-;-;-;-;-;3;2;2;7
"Artur Alvim";-;-;1;-;3;5;1;2;12
"Barra Funda";-;-;-;-;-;-;-;1;1
"Bela Vista";-;-;-;-;2;1;2;1;6
"Belém";-;-;-;1;-;-;3;1;5
"Bom Retiro";-;-;-;-;-;1;1;1;3
"Brás";-;-;-;-;-;2;-;1;3
"Brasilândia";-;1;-;-;1;4;2;2;10
"Butantã";-;-;1;1;-;-;-;1;3
"Cachoeirinha";-;-;-;-;1;2;1;2;6
"Cambuci";-;-;-;-;-;-;2;-;2
"Campo Belo";-;-;-;-;-;2;2;2;6
"Campo Grande";-;-;-;-;-;2;2;4;8
"Campo Limpo";-;-;-;-;1;3;5;1;10
"Cangaíba";-;-;-;-;-;2;2;2;6
"Capão Redondo";-;-;-;1;1;6;2;1;11
"Carrão";-;-;-;-;-;4;-;3;7
"Casa Verde";-;-;-;-;-;1;3;3;7
"Cidade Ademar";-;-;1;-;-;2;2;3;8
"Cidade Dutra";-;-;1;-;-;2;9;4;16
"Cidade Líder";1;-;-;-;2;-;1;2;6
"Cidade Tiradentes";-;-;-;-;1;2;2;1;6
"Consolação";-;-;-;-;-;-;-;1;1
"Cursino";-;-;-;-;-;1;-;3;4
"Ermelino Matarazzo";-;-;-;-;1;1;4;1;7
"Freguesia do Ó";-;-;-;-;-;1;2;7;10
"Grajaú";-;-;-;-;1;4;10;-;15
"Guaianases";-;-;-;-;-;1;2;-;3
"Iguatemi";-;-;-;-;1;-;5;4;10
"Ipiranga";-;-;-;-;1;6;2;2;11
"Itaim Bibi";-;-;-;-;-;-;2;2;4
"Itaim Paulista";-;-;-;-;1;6;2;3;12
"Itaquera";-;-;1;1;3;3;2;2;12
"Jabaquara";-;-;-;-;1;1;4;6;12
"Jaçanã";-;-;-;1;-;1;1;1;4
"Jaguara";-;-;-;-;1;-;-;2;3
"Jaguaré";-;-;-;-;-;3;1;-;4
"Jaraguá";-;-;-;-;2;4;3;1;10
"Jardim Ângela";-;-;-;1;-;7;3;5;16
"Jardim Helena";-;-;-;2;-;2;1;2;7
"Jardim Paulista";-;-;-;-;-;-;2;4;6
"Jardim São Luís";-;-;-;-;3;3;7;-;13
"José Bonifácio";-;-;-;-;-;1;3;1;5
"Lajeado";-;-;-;-;1;1;3;-;5
"Lapa";-;-;-;-;-;-;2;4;6
"Liberdade";-;-;-;1;1;1;2;2;7
"Limão";-;-;-;-;-;2;2;1;5
"Mandaqui";-;-;-;-;-;2;3;-;5
"Marsilac";-;-;-;-;-;1;-;-;1
"Moema";-;-;-;-;-;-;1;3;4
"Moóca";-;-;-;-;-;2;3;2;7
"Morumbi";-;-;-;1;-;-;1;-;2
"Parelheiros";1;-;-;-;1;2;2;2;8
"Pari";-;-;-;1;-;1;-;1;3
"Parque do Carmo";-;-;-;-;1;1;2;1;5
"Pedreira";-;-;-;-;-;-;3;-;3
"Penha";-;-;-;1;1;1;1;4;8
"Perdizes";-;-;-;-;-;-;2;1;3
"Perus";-;-;-;-;1;-;2;-;3
"Pinheiros";-;-;-;-;1;1;-;3;5
"Pirituba";-;-;-;-;1;3;6;6;16
"Ponte Rasa";-;-;-;-;2;-;2;3;7
"Raposo Tavares";-;-;1;-;1;3;1;2;8
"República";-;-;-;1;-;-;-;-;1
"Rio Pequeno";-;-;-;1;1;3;1;2;8
"Sacomã";-;-;1;-;1;3;5;4;14
"Santa Cecília";-;-;-;-;-;-;-;-;-
"Santana";-;-;-;-;-;4;6;8;18
"Santo Amaro";-;-;-;-;-;1;2;1;4
"São Domingos";-;-;-;-;-;-;-;3;3
"São Lucas";-;-;-;-;1;2;5;1;9
"São Mateus";-;-;-;1;-;2;4;4;11
"São Miguel";-;-;-;-;-;2;1;-;3
"São Rafael";-;-;-;-;1;-;2;1;4
"Sapopemba";-;-;-;1;1;4;5;4;15
"Saúde";-;-;-;-;1;3;3;6;13
"Sé";-;-;-;-;-;-;1;2;3
"Socorro";-;-;-;-;-;-;-;4;4
"Tatuapé";-;-;-;-;2;1;2;2;7
"Tremembé";-;-;-;-;1;5;3;5;14
"Tucuruvi";-;-;-;-;-;3;1;3;7
"Vila Andrade";-;-;-;-;-;2;-;1;3
"Vila Curuçá";-;-;-;-;-;1;2;3;6
"Vila Formosa";-;-;-;-;-;3;2;4;9
"Vila Guilherme";-;-;-;-;-;-;3;-;3
"Vila Jacuí";-;-;-;1;-;-;1;3;5
"Vila Leopoldina";-;-;-;-;-;1;2;2;5
"Vila Maria";-;-;-;-;1;3;1;5;10
"Vila Mariana";-;-;-;-;-;1;1;5;7
"Vila Matilde";-;-;-;-;1;1;1;1;4
"Vila Medeiros";-;-;-;1;2;3;-;3;9
"Vila Prudente";1;-;-;-;3;1;2;6;13
"Vila Sônia";-;-;-;-;2;4;3;4;13
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;1;-;1
"Total";3;1;7;18;57;165;200;216;667
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
