Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2018
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;1;1;6;6;14
"Alto de Pinheiros";-;-;-;-;-;1;-;3;4
"Anhanguera";-;-;-;-;-;1;1;1;3
"Aricanduva";-;-;-;-;1;4;1;2;8
"Artur Alvim";-;-;-;-;2;5;1;2;10
"Barra Funda";-;-;-;-;-;1;-;-;1
"Bela Vista";-;-;-;1;1;-;1;-;3
"Belém";-;-;-;-;-;1;-;3;4
"Bom Retiro";-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;1;2;1;-;4
"Brasilândia";-;-;-;-;1;5;5;3;14
"Butantã";-;-;-;-;-;-;4;1;5
"Cachoeirinha";-;-;-;1;-;2;4;3;10
"Cambuci";-;-;-;-;1;-;1;-;2
"Campo Belo";-;-;-;-;-;1;3;4;8
"Campo Grande";-;-;-;1;-;-;2;4;7
"Campo Limpo";-;-;-;-;-;3;1;2;6
"Cangaíba";-;-;-;-;2;2;3;3;10
"Capão Redondo";-;-;-;1;1;4;4;2;12
"Carrão";-;-;-;-;1;2;4;2;9
"Casa Verde";-;-;-;-;-;2;2;2;6
"Cidade Ademar";-;-;-;-;-;3;5;6;14
"Cidade Dutra";-;-;-;1;3;3;5;4;16
"Cidade Líder";-;-;-;-;-;2;2;6;10
"Cidade Tiradentes";-;-;-;-;-;1;2;1;4
"Consolação";-;-;-;-;-;-;1;2;3
"Cursino";-;-;-;-;1;-;1;2;4
"Ermelino Matarazzo";-;-;-;1;1;1;1;1;5
"Freguesia do Ó";-;1;-;-;3;2;1;-;7
"Grajaú";-;-;-;1;3;1;4;3;12
"Guaianases";-;-;-;-;1;1;1;-;3
"Iguatemi";-;-;-;-;-;-;2;1;3
"Ipiranga";-;-;-;-;2;2;3;7;14
"Itaim Bibi";-;-;-;-;-;2;3;6;11
"Itaim Paulista";-;-;-;1;-;3;4;1;9
"Itaquera";-;-;-;-;3;3;4;1;11
"Jabaquara";-;-;-;-;2;3;6;7;18
"Jaçanã";-;-;-;-;2;1;-;4;7
"Jaguara";-;-;-;-;-;-;-;1;1
"Jaguaré";-;-;-;-;-;-;-;2;2
"Jaraguá";-;-;-;-;2;-;2;2;6
"Jardim Ângela";-;-;-;1;3;3;2;-;9
"Jardim Helena";-;-;-;1;1;1;1;-;4
"Jardim Paulista";-;-;-;-;1;1;4;4;10
