Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2024
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;3;3;3;9
"Alto de Pinheiros";-;-;-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;1;2;3
"Aricanduva";-;-;-;1;1;3;4;1;10
"Artur Alvim";-;-;-;-;1;2;3;3;9
"Barra Funda";-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;2;-;2;4;8
"Belém";-;-;-;-;-;1;4;4;9
"Bom Retiro";-;-;-;-;1;-;1;2;4
"Brás";-;-;-;-;-;-;1;1;2
"Brasilândia";-;-;-;1;-;5;5;3;14
"Butantã";-;-;-;-;-;1;1;1;3
"Cachoeirinha";-;-;-;1;2;4;2;5;14
"Cambuci";1;-;-;-;1;1;-;2;5
"Campo Belo";-;-;-;1;-;-;2;2;5
"Campo Grande";-;-;-;-;2;1;4;1;8
"Campo Limpo";-;-;-;1;2;3;5;2;13
"Cangaíba";-;-;-;-;1;1;2;2;6
"Capão Redondo";-;-;-;1;3;6;2;-;12
"Carrão";-;-;-;1;-;3;3;5;12
"Casa Verde";-;-;-;-;-;-;4;1;5
"Cidade Ademar";-;-;-;-;-;1;4;4;9
"Cidade Dutra";-;-;-;-;1;2;5;5;13
"Cidade Líder";-;-;-;-;1;1;4;2;8
"Cidade Tiradentes";-;-;-;1;-;2;3;1;7
"Consolação";-;-;-;-;-;-;3;3;6
"Cursino";-;-;-;-;1;-;5;5;11
"Ermelino Matarazzo";-;1;-;-;-;-;1;4;6
"Freguesia do Ó";-;-;-;1;-;-;1;5;7
"Grajaú";-;-;-;-;3;1;4;4;12
"Guaianases";-;-;-;-;-;1;2;2;5
"Iguatemi";-;-;-;-;1;3;1;-;5
"Ipiranga";-;-;-;-;-;2;4;3;9
"Itaim Bibi";-;-;-;-;-;1;3;2;6
"Itaim Paulista";-;-;-;1;3;2;5;4;15
"Itaquera";-;-;-;1;2;2;5;4;14
"Jabaquara";-;-;-;1;-;1;4;2;8
"Jaçanã";-;-;-;-;1;-;4;3;8
"Jaguara";-;-;-;-;-;-;1;2;3
"Jaguaré";-;-;-;-;-;1;-;-;1
"Jaraguá";-;-;-;-;3;1;6;-;10
"Jardim Ângela";-;-;-;-;1;4;4;2;11
"Jardim Helena";-;-;-;-;-;3;4;4;11
"Jardim Paulista";-;-;-;-;-;1;1;5;7
"Jardim São Luís";-;-;-;-;-;3;2;5;10
"José Bonifácio";-;-;-;-;1;2;3;2;8
"Lajeado";-;-;-;-;-;3;-;2;5
"Lapa";-;-;-;-;-;-;2;5;7
"Liberdade";-;-;-;1;-;1;1;-;3
"Limão";1;-;-;-;-;-;3;2;6
"Mandaqui";-;-;-;1;1;-;6;3;11
"Marsilac";-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;1;-;3;3;7
"Moóca";-;-;-;-;-;-;4;2;6
"Morumbi";-;-;-;-;1;1;-;1;3
"Parelheiros";-;-;-;-;-;1;5;2;8
"Pari";-;-;-;-;-;-;-;1;1
"Parque do Carmo";-;-;-;-;-;-;3;2;5
"Pedreira";-;-;-;-;-;1;-;2;3
"Penha";-;-;-;-;-;-;2;8;10
"Perdizes";-;-;-;-;-;1;-;8;9
"Perus";-;-;-;-;-;1;3;1;5
"Pinheiros";-;-;-;-;-;-;1;2;3
"Pirituba";-;-;-;1;1;1;3;5;11
"Ponte Rasa";-;-;-;-;-;2;1;1;4
"Raposo Tavares";-;-;-;-;1;1;4;1;7
"República";-;-;1;-;3;1;1;1;7
"Rio Pequeno";-;-;-;-;-;1;2;4;7
"Sacomã";-;-;1;-;1;5;1;5;13
"Santa Cecília";-;-;-;-;-;4;-;1;5
"Santana";-;-;-;-;-;1;2;7;10
"Santo Amaro";-;-;-;-;-;-;-;4;4
"São Domingos";-;-;-;-;1;1;2;2;6
"São Lucas";-;-;-;-;1;2;4;3;10
"São Mateus";-;-;-;-;-;4;4;2;10
"São Miguel";-;-;-;-;-;1;-;-;1
"São Rafael";-;-;-;-;1;1;1;6;9
"Sapopemba";-;-;-;1;-;3;3;9;16
"Saúde";-;-;-;-;-;2;4;6;12
"Sé";-;-;-;-;-;-;2;-;2
"Socorro";-;-;-;-;-;-;-;-;-
"Tatuapé";-;-;-;1;-;3;3;2;9
"Tremembé";-;-;-;-;3;4;4;6;17
"Tucuruvi";-;-;-;1;-;-;2;5;8
"Vila Andrade";-;-;-;-;-;-;1;3;4
"Vila Curuçá";-;-;-;1;1;2;2;5;11
"Vila Formosa";-;-;-;-;-;-;-;2;2
