Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2018
"Distrito Admin residência";"<1 Ano";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;-;-;-;-
"Alto de Pinheiros";-;-;-;-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;1;-;-;-;1
"Artur Alvim";-;-;-;-;-;-;-;-;-;-
"Barra Funda";-;-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;-;-;-
"Belém";-;-;-;-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;-;-;-;-;-;-;-
"Butantã";-;-;-;-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;-;-;-;-;-;1;1
"Cambuci";-;-;-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;1;-;-;-;1;-;2
"Campo Grande";-;-;-;-;-;-;-;-;-;-
"Campo Limpo";-;1;-;-;1;-;-;-;-;2
"Cangaíba";-;-;1;-;-;-;-;-;1;2
"Capão Redondo";-;-;-;-;-;-;-;-;-;-
"Carrão";-;-;1;-;1;-;-;-;-;2
"Casa Verde";-;-;-;-;-;-;-;-;-;-
"Cidade Ademar";-;-;-;-;-;-;-;-;-;-
"Cidade Dutra";-;-;-;-;-;-;-;-;1;1
"Cidade Líder";-;-;-;-;-;-;1;-;-;1
"Cidade Tiradentes";-;-;-;-;-;-;-;1;-;1
"Consolação";-;-;-;-;-;1;-;-;-;1
"Cursino";-;-;-;-;-;-;-;-;-;-
"Ermelino Matarazzo";-;-;-;-;-;-;-;-;1;1
"Freguesia do Ó";-;-;-;-;-;-;-;-;-;-
"Grajaú";-;-;-;-;-;1;-;-;-;1
"Guaianases";-;-;-;-;-;-;-;1;-;1
"Iguatemi";1;-;-;-;-;-;-;-;-;1
"Ipiranga";-;-;-;-;-;-;-;-;-;-
"Itaim Bibi";-;-;-;-;-;-;-;-;2;2
"Itaim Paulista";-;-;-;-;-;-;1;1;1;3
"Itaquera";-;-;-;-;-;-;-;-;-;-
"Jabaquara";-;-;-;-;-;-;-;-;2;2
"Jaçanã";-;-;-;-;-;-;-;1;-;1
"Jaguara";-;-;-;-;-;-;-;-;1;1
"Jaguaré";-;-;-;-;-;-;-;-;-;-
"Jaraguá";-;-;-;-;-;-;-;-;1;1
"Jardim Ângela";-;-;-;-;-;-;-;-;-;-
"Jardim Helena";-;-;-;-;-;-;-;-;2;2
"Jardim Paulista";-;-;-;-;-;-;-;-;-;-
"Jardim São Luís";-;-;-;-;-;-;-;-;-;-
"José Bonifácio";-;-;-;-;-;-;-;-;-;-
"Lajeado";-;-;-;-;-;-;-;-;-;-
"Lapa";-;-;-;-;-;-;-;-;1;1
"Liberdade";-;-;-;-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-;-;2;2
"Mandaqui";-;-;-;-;-;-;-;-;-;-
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;-;-;-;1;1
"Morumbi";-;-;-;-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;-;-;-;-;-
"Pari";-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-;-;-;-
"Pedreira";-;-;-;-;-;-;-;-;1;1
"Penha";-;-;-;-;-;-;-;1;1;2
"Perdizes";-;-;-;-;-;-;-;1;-;1
"Perus";-;-;-;-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;-;-;-;-;-
"Pirituba";-;-;-;-;-;-;-;-;3;3
"Ponte Rasa";-;-;-;-;-;-;-;-;-;-
"Raposo Tavares";-;-;-;-;-;-;-;-;-;-
"República";-;-;-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;-;-;-;-
"Sacomã";-;-;-;-;-;-;-;-;-;-
"Santa Cecília";-;-;-;-;-;-;-;-;-;-
"Santana";-;-;-;-;-;-;-;-;2;2
"Santo Amaro";-;-;-;-;-;-;-;-;-;-
"São Domingos";-;-;-;-;-;-;-;-;-;-
"São Lucas";-;-;-;-;-;-;-;-;-;-
"São Mateus";-;-;-;-;-;-;-;1;-;1
"São Miguel";-;-;-;-;-;-;1;1;-;2
"São Rafael";-;-;-;-;-;-;-;-;-;-
"Sapopemba";-;-;-;-;-;-;-;1;-;1
"Saúde";-;-;-;-;-;-;-;1;-;1
"Sé";-;-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;1;-;-;-;1
"Tremembé";-;-;-;1;-;-;-;-;1;2
"Tucuruvi";-;-;-;-;-;-;-;-;1;1
"Vila Andrade";1;-;-;-;-;-;-;-;1;2
"Vila Curuçá";1;-;-;-;-;-;-;-;-;1
"Vila Formosa";-;-;-;-;-;-;-;-;-;-
"Vila Guilherme";-;-;-;-;-;-;-;-;-;-
"Vila Jacuí";-;-;-;-;-;-;-;1;2;3
"Vila Leopoldina";-;-;-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;-;1;-;1
"Vila Mariana";-;-;-;-;-;-;-;-;-;-
"Vila Matilde";-;-;-;-;-;-;-;-;1;1
"Vila Medeiros";-;-;-;-;1;-;-;2;-;3
"Vila Prudente";1;-;-;-;-;-;-;-;-;1
"Vila Sônia";-;-;-;-;-;-;-;1;1;2
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-;1;1
"Total";4;1;2;2;3;4;3;16;32;67
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
