Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2021
"Distrito Admin residência";"<1 Ano";"5-14";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;-;-;-
"Alto de Pinheiros";-;-;-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;-;-;2;2
"Artur Alvim";-;-;-;-;1;-;-;1;2
"Barra Funda";-;-;1;-;-;-;-;-;1
"Bela Vista";-;-;-;-;-;-;-;-;-
"Belém";-;-;-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;1;1
"Brasilândia";1;-;-;-;-;-;-;-;1
"Butantã";-;-;-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;-;-;-;-;1;1
"Cambuci";-;-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;-;-;-;1;1
"Campo Limpo";-;-;-;-;-;-;-;-;-
"Cangaíba";1;-;-;-;-;-;-;-;1
"Capão Redondo";-;-;-;-;-;1;-;-;1
"Carrão";-;-;-;-;-;-;-;1;1
"Casa Verde";-;-;-;-;-;1;-;-;1
"Cidade Ademar";-;-;-;-;-;-;-;1;1
"Cidade Dutra";-;-;-;-;-;-;-;3;3
"Cidade Líder";1;-;-;-;-;-;1;-;2
"Cidade Tiradentes";-;-;-;1;-;-;-;-;1
"Consolação";-;-;-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;-;-;1;1
"Ermelino Matarazzo";-;-;-;-;-;-;-;-;-
"Freguesia do Ó";-;-;-;-;-;-;-;-;-
"Grajaú";-;-;-;-;1;-;-;-;1
"Guaianases";-;-;-;-;-;-;-;-;-
"Iguatemi";-;-;-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;-;-;-;-
"Itaim Bibi";-;-;-;-;-;1;-;-;1
"Itaim Paulista";-;-;-;-;-;-;1;-;1
"Itaquera";-;-;-;-;-;-;1;-;1
"Jabaquara";-;-;-;-;-;-;-;-;-
"Jaçanã";-;-;-;-;-;-;-;1;1
"Jaguara";-;-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-;-
"Jaraguá";-;-;-;-;-;-;-;1;1
"Jardim Ângela";-;-;1;-;-;-;-;-;1
"Jardim Helena";-;-;-;-;-;-;-;-;-
"Jardim Paulista";-;-;-;-;-;-;-;-;-
"Jardim São Luís";-;1;1;-;-;-;1;-;3
"José Bonifácio";-;-;-;-;-;1;-;-;1
"Lajeado";-;-;-;-;-;-;-;-;-
"Lapa";-;-;-;-;-;-;-;2;2
"Liberdade";-;-;-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;1;-;1;2
"Marsilac";-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;1;1
"Moóca";-;-;-;-;-;-;1;1;2
"Morumbi";-;-;-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;-;-;-;-
"Pari";-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-;-;-
"Pedreira";-;-;-;-;-;-;-;-;-
"Penha";-;-;-;-;-;-;-;2;2
"Perdizes";-;-;-;-;-;-;-;1;1
"Perus";-;-;-;-;-;1;-;-;1
"Pinheiros";-;-;-;-;-;-;-;1;1
"Pirituba";-;-;-;-;-;-;-;1;1
"Ponte Rasa";-;-;-;-;-;-;-;-;-
"Raposo Tavares";-;-;-;-;-;-;-;-;-
"República";-;-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;-;1;1
"Sacomã";-;-;-;-;-;-;-;-;-
"Santa Cecília";-;-;-;-;-;-;-;-;-
"Santana";-;-;-;-;-;-;-;-;-
"Santo Amaro";-;-;-;-;-;1;-;2;3
"São Domingos";-;-;-;-;-;-;-;-;-
"São Lucas";-;-;-;-;-;-;-;-;-
"São Mateus";-;-;-;-;1;-;1;-;2
"São Miguel";-;-;-;-;-;-;-;1;1
"São Rafael";-;-;-;-;-;-;1;-;1
"Sapopemba";-;-;1;-;-;-;-;-;1
"Saúde";-;-;-;-;-;-;-;2;2
"Sé";-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;-;-;1;1
"Tremembé";-;-;-;-;-;-;-;-;-
"Tucuruvi";-;-;-;-;-;-;-;-;-
"Vila Andrade";-;-;-;-;-;-;-;1;1
"Vila Curuçá";-;-;-;-;-;-;-;-;-
"Vila Formosa";-;-;-;-;-;-;-;-;-
"Vila Guilherme";-;-;-;-;-;-;-;-;-
"Vila Jacuí";-;-;-;-;-;-;-;1;1
"Vila Leopoldina";-;-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;-;1;1
"Vila Mariana";-;-;-;-;-;-;-;2;2
"Vila Matilde";-;-;-;-;-;-;-;1;1
"Vila Medeiros";-;-;-;-;-;-;-;-;-
"Vila Prudente";-;-;-;-;-;-;-;-;-
"Vila Sônia";-;-;-;-;-;-;-;-;-
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-;-
"Total";3;1;4;1;3;7;7;37;63
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
