Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2023
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;-;-;1;1
"Alto de Pinheiros";-;-;-;-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;1;-;-;-;1
"Aricanduva";-;-;-;-;-;-;-;-;-;-
"Artur Alvim";-;-;-;-;-;-;-;-;-;-
"Barra Funda";-;-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;1;-;1
"Belém";-;-;-;-;-;-;-;-;1;1
"Bom Retiro";-;-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;-;-;-;-;-;1;1
"Butantã";-;-;1;-;-;-;-;-;-;1
"Cachoeirinha";-;-;-;-;-;-;-;-;-;-
"Cambuci";-;-;-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;-;-;-;-;-;-
"Campo Limpo";-;-;-;-;-;-;-;-;-;-
"Cangaíba";-;-;-;-;1;-;-;-;-;1
"Capão Redondo";-;-;-;-;-;-;-;-;-;-
"Carrão";-;-;-;-;-;-;-;-;-;-
"Casa Verde";-;-;-;-;-;-;-;-;1;1
"Cidade Ademar";-;-;-;-;-;-;-;-;-;-
"Cidade Dutra";-;-;-;-;-;-;-;-;-;-
"Cidade Líder";-;-;-;-;-;-;-;-;-;-
"Cidade Tiradentes";-;-;-;-;1;-;-;-;-;1
"Consolação";-;-;-;-;-;-;-;-;-;-
"Cursino";-;1;-;-;-;-;-;1;1;3
"Ermelino Matarazzo";-;-;-;-;-;-;-;-;-;-
"Freguesia do Ó";-;-;-;-;-;-;-;-;2;2
"Grajaú";-;-;-;-;-;-;-;-;-;-
"Guaianases";-;-;-;-;-;-;-;-;-;-
"Iguatemi";1;-;-;-;-;-;-;-;-;1
"Ipiranga";-;-;-;-;-;-;-;1;-;1
"Itaim Bibi";-;-;-;-;-;-;-;-;1;1
"Itaim Paulista";-;-;-;-;-;-;-;-;-;-
"Itaquera";-;-;-;-;-;-;-;-;-;-
"Jabaquara";-;-;-;-;-;-;-;-;1;1
"Jaçanã";-;-;-;-;-;-;-;-;-;-
"Jaguara";-;-;-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-;-;-
"Jaraguá";-;-;-;-;-;-;-;-;-;-
"Jardim Ângela";-;-;-;-;-;-;-;-;1;1
"Jardim Helena";-;-;-;-;1;-;-;-;-;1
"Jardim Paulista";-;-;-;-;-;-;1;-;-;1
"Jardim São Luís";-;-;-;-;-;-;-;1;-;1
"José Bonifácio";-;-;-;-;-;-;-;-;-;-
"Lajeado";-;-;-;-;-;-;-;-;-;-
"Lapa";-;-;-;-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;-;-;-;-;-
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;-;1;1
"Moóca";-;-;-;-;-;-;-;-;1;1
"Morumbi";-;-;-;-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;-;-;-;1;1
"Pari";-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-;-;1;1
"Pedreira";-;-;-;-;-;-;1;-;-;1
"Penha";-;-;-;-;-;-;-;-;-;-
"Perdizes";-;-;-;-;-;-;-;-;-;-
"Perus";-;-;-;-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;-;-;-;-;-
"Pirituba";-;-;-;-;1;-;-;2;2;5
"Ponte Rasa";-;-;-;1;-;-;-;-;-;1
"Raposo Tavares";-;1;-;-;-;-;-;-;-;1
"República";-;-;-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;-;-;-;-
"Sacomã";-;-;-;-;1;1;-;-;-;2
"Santa Cecília";-;-;-;-;-;-;-;-;1;1
"Santana";-;-;-;-;-;-;-;-;-;-
"Santo Amaro";-;-;1;-;-;-;-;-;-;1
"São Domingos";-;-;-;-;-;-;1;-;-;1
"São Lucas";-;-;-;-;-;-;-;-;-;-
"São Mateus";-;-;-;-;-;-;-;-;-;-
"São Miguel";-;-;-;-;-;-;-;-;-;-
"São Rafael";-;-;-;-;-;-;-;-;-;-
"Sapopemba";-;-;-;-;1;-;1;2;1;5
"Saúde";-;-;-;-;-;-;-;-;-;-
"Sé";-;-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;-;-;-;-;-
"Tremembé";-;-;-;-;-;-;-;-;-;-
"Tucuruvi";-;-;-;-;-;-;-;-;-;-
"Vila Andrade";-;-;-;-;-;-;-;-;-;-
"Vila Curuçá";-;-;-;-;-;-;-;-;-;-
"Vila Formosa";-;-;-;-;-;-;-;-;1;1
"Vila Guilherme";-;-;-;-;-;-;-;-;-;-
"Vila Jacuí";-;-;-;-;-;-;-;-;-;-
"Vila Leopoldina";-;-;-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;-;-;-;-
"Vila Mariana";-;-;-;-;-;-;-;-;-;-
"Vila Matilde";-;-;-;-;-;-;-;-;-;-
"Vila Medeiros";-;-;-;-;-;-;-;-;1;1
"Vila Prudente";-;-;-;-;-;-;-;1;-;1
"Vila Sônia";-;-;-;-;-;-;-;-;-;-
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-;-;-
"Total";1;2;2;1;6;2;4;9;20;47
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
