Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I13 Doenc cardiaca e renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2021
"Distrito Admin residência";"15-24";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;2;2
"Alto de Pinheiros";-;-;-;-;-;-;-
"Anhanguera";-;-;1;-;-;-;1
"Aricanduva";-;-;-;-;-;1;1
"Artur Alvim";-;-;-;-;1;4;5
"Barra Funda";-;-;-;-;1;-;1
"Bela Vista";-;-;-;-;-;-;-
"Belém";-;-;-;-;-;1;1
"Bom Retiro";-;1;-;-;-;-;1
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;1;-;1;2;2;6
"Butantã";-;-;-;-;-;2;2
"Cachoeirinha";1;-;-;-;2;-;3
"Cambuci";-;-;-;-;-;1;1
"Campo Belo";-;-;-;-;-;2;2
"Campo Grande";-;-;-;-;2;1;3
"Campo Limpo";-;-;-;-;-;2;2
"Cangaíba";-;-;-;-;1;1;2
"Capão Redondo";-;-;-;1;-;1;2
"Carrão";-;-;-;-;1;3;4
"Casa Verde";-;-;-;-;-;1;1
"Cidade Ademar";-;-;-;1;-;5;6
"Cidade Dutra";-;-;-;2;1;2;5
"Cidade Líder";-;-;-;-;2;2;4
"Cidade Tiradentes";-;-;2;1;3;1;7
"Consolação";-;-;-;-;-;2;2
"Cursino";-;-;-;-;-;1;1
"Ermelino Matarazzo";-;-;-;1;-;-;1
"Freguesia do Ó";-;-;-;1;-;1;2
"Grajaú";-;-;-;1;-;-;1
"Guaianases";-;-;-;2;-;2;4
"Iguatemi";-;-;-;-;-;2;2
"Ipiranga";-;-;-;-;-;2;2
"Itaim Bibi";-;-;-;-;-;1;1
"Itaim Paulista";-;-;-;-;2;1;3
"Itaquera";-;-;-;-;-;2;2
"Jabaquara";-;-;-;-;-;2;2
"Jaçanã";-;-;-;-;1;1;2
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;-;1;1;2;-;4
"Jardim Ângela";-;-;-;1;-;2;3
"Jardim Helena";-;-;-;1;1;1;3
"Jardim Paulista";-;-;-;-;1;1;2
"Jardim São Luís";-;-;1;1;1;1;4
"José Bonifácio";-;-;-;-;-;-;-
"Lajeado";-;-;1;1;1;2;5
"Lapa";-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;1;1
"Limão";-;-;-;1;-;2;3
"Mandaqui";-;-;-;-;1;3;4
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;4;4
"Moóca";-;-;-;-;-;2;2
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;3;3;6
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;1;-;1
"Pedreira";-;-;-;-;-;1;1
"Penha";-;-;-;-;1;-;1
"Perdizes";-;-;-;-;-;3;3
"Perus";-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;1;1
"Pirituba";-;-;-;-;-;4;4
"Ponte Rasa";-;-;1;-;1;1;3
"Raposo Tavares";-;-;-;-;-;3;3
"República";-;-;-;-;-;1;1
"Rio Pequeno";-;-;1;-;1;1;3
"Sacomã";-;-;-;-;1;3;4
"Santa Cecília";-;-;-;-;-;1;1
"Santana";-;-;-;-;-;2;2
"Santo Amaro";-;-;-;-;-;2;2
"São Domingos";-;1;-;-;-;-;1
"São Lucas";-;-;-;-;1;1;2
"São Mateus";-;-;-;-;-;1;1
"São Miguel";-;-;-;-;-;3;3
"São Rafael";-;-;-;-;-;1;1
"Sapopemba";-;-;-;1;-;1;2
"Saúde";-;-;-;1;-;1;2
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-
"Tatuapé";-;-;-;1;-;3;4
"Tremembé";-;-;-;-;3;-;3
"Tucuruvi";-;-;1;-;2;2;5
"Vila Andrade";-;-;-;-;-;1;1
"Vila Curuçá";-;-;-;1;-;-;1
"Vila Formosa";-;-;-;-;1;2;3
"Vila Guilherme";-;-;-;-;1;1;2
"Vila Jacuí";-;-;-;-;-;-;-
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;2;2
"Vila Mariana";-;-;-;-;-;3;3
"Vila Matilde";-;-;-;-;-;3;3
"Vila Medeiros";-;-;-;2;1;2;5
"Vila Prudente";-;-;-;-;-;1;1
"Vila Sônia";-;-;-;-;1;1;2
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;2;2
"Total";1;3;9;23;44;127;207
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
