Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I13 Doenc cardiaca e renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2022
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;2;2;4
"Alto de Pinheiros";-;-;-;-;-;1;1
"Anhanguera";1;-;-;-;-;1;2
"Aricanduva";-;-;1;1;-;-;2
"Artur Alvim";-;-;1;-;-;2;3
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;1;1
"Belém";-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;1;-;-;1
"Brasilândia";-;1;-;1;1;2;5
"Butantã";-;-;1;-;1;-;2
"Cachoeirinha";-;-;-;-;1;3;4
"Cambuci";-;-;-;1;-;1;2
"Campo Belo";-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;-;1;1
"Campo Limpo";-;-;-;1;2;1;4
"Cangaíba";-;-;-;-;1;1;2
"Capão Redondo";-;-;-;1;2;7;10
"Carrão";-;-;-;-;1;3;4
"Casa Verde";-;-;1;1;-;1;3
"Cidade Ademar";1;-;-;1;-;3;5
"Cidade Dutra";-;-;-;-;-;-;-
"Cidade Líder";-;1;-;-;-;1;2
"Cidade Tiradentes";-;-;2;-;-;1;3
"Consolação";-;-;-;-;1;1;2
"Cursino";-;-;-;-;-;4;4
"Ermelino Matarazzo";-;2;-;1;-;1;4
"Freguesia do Ó";-;-;-;1;-;1;2
"Grajaú";-;-;-;1;1;2;4
"Guaianases";-;-;-;-;-;-;-
"Iguatemi";-;-;2;-;2;2;6
"Ipiranga";-;-;-;-;1;1;2
"Itaim Bibi";-;-;-;-;-;4;4
"Itaim Paulista";-;-;1;1;-;-;2
"Itaquera";-;2;-;-;1;3;6
"Jabaquara";-;-;1;-;6;5;12
"Jaçanã";-;-;-;-;-;2;2
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;1;-;-;-;1
"Jaraguá";-;-;-;1;2;2;5
"Jardim Ângela";-;-;1;-;1;1;3
"Jardim Helena";-;1;-;1;-;3;5
"Jardim Paulista";-;-;-;-;-;2;2
"Jardim São Luís";-;1;-;1;3;2;7
"José Bonifácio";-;2;-;-;1;1;4
"Lajeado";-;-;-;1;1;3;5
"Lapa";-;-;-;-;1;-;1
"Liberdade";-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-
"Mandaqui";-;1;-;1;-;-;2
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;1;1
"Moóca";-;-;-;-;1;1;2
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;-;-
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;1;-;1
"Pedreira";-;-;-;-;-;2;2
"Penha";-;-;-;-;1;4;5
"Perdizes";-;-;-;-;-;2;2
"Perus";-;-;-;1;-;2;3
"Pinheiros";-;-;-;-;1;2;3
"Pirituba";-;-;-;-;-;4;4
"Ponte Rasa";-;-;-;1;1;4;6
"Raposo Tavares";-;-;1;-;1;1;3
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;2;1;3
"Sacomã";-;-;-;2;1;1;4
"Santa Cecília";-;-;-;-;-;-;-
"Santana";-;-;-;1;-;-;1
"Santo Amaro";-;-;-;-;-;1;1
"São Domingos";-;-;-;-;1;-;1
"São Lucas";-;-;-;1;-;3;4
"São Mateus";-;-;-;2;-;4;6
"São Miguel";-;-;-;-;1;1;2
"São Rafael";-;-;-;-;3;4;7
"Sapopemba";-;-;-;1;4;-;5
"Saúde";-;-;-;-;-;1;1
"Sé";-;-;-;-;-;1;1
"Socorro";-;-;-;1;1;1;3
"Tatuapé";-;-;-;-;-;3;3
"Tremembé";-;-;-;-;1;1;2
"Tucuruvi";-;-;-;-;-;4;4
"Vila Andrade";-;-;-;-;-;-;-
"Vila Curuçá";-;-;-;1;-;-;1
"Vila Formosa";-;-;-;-;-;3;3
"Vila Guilherme";-;-;1;-;-;1;2
"Vila Jacuí";-;-;1;1;1;1;4
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;1;-;1;2
"Vila Mariana";-;-;1;-;-;-;1
"Vila Matilde";-;-;-;-;-;2;2
"Vila Medeiros";1;1;-;1;2;1;6
"Vila Prudente";-;-;-;-;-;1;1
"Vila Sônia";-;-;-;1;1;2;4
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;1;1
"Total";3;12;16;32;56;134;253
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
