Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I13 Doenc cardiaca e renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2025
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;2;2
"Alto de Pinheiros";-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;1;1
"Artur Alvim";-;-;-;1;1;1;3
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;1;1
"Belém";-;-;-;1;-;1;2
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;-;1;1;3;5
"Butantã";-;-;-;1;-;1;2
"Cachoeirinha";-;-;1;-;-;2;3
"Cambuci";-;-;-;-;-;3;3
"Campo Belo";-;-;-;-;-;3;3
"Campo Grande";-;-;-;-;1;-;1
"Campo Limpo";-;-;-;-;-;-;-
"Cangaíba";-;-;-;-;-;3;3
"Capão Redondo";-;-;-;-;2;1;3
"Carrão";-;-;-;-;-;1;1
"Casa Verde";-;-;-;-;-;2;2
"Cidade Ademar";-;-;-;-;-;2;2
"Cidade Dutra";1;-;-;1;-;3;5
"Cidade Líder";-;-;-;-;-;2;2
"Cidade Tiradentes";-;-;-;-;1;1;2
"Consolação";-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;-;-
"Ermelino Matarazzo";-;-;-;-;-;-;-
"Freguesia do Ó";-;-;-;-;-;3;3
"Grajaú";-;-;-;1;-;1;2
"Guaianases";-;-;-;1;-;1;2
"Iguatemi";-;-;-;1;-;1;2
"Ipiranga";-;-;-;1;-;1;2
"Itaim Bibi";-;-;-;-;-;2;2
"Itaim Paulista";-;1;1;-;2;-;4
"Itaquera";-;-;-;1;-;-;1
"Jabaquara";-;-;-;-;-;2;2
"Jaçanã";-;-;-;-;-;-;-
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;-;-;-;1;1;2
"Jardim Ângela";-;-;-;-;-;1;1
"Jardim Helena";-;-;-;-;-;-;-
"Jardim Paulista";-;-;-;-;-;1;1
"Jardim São Luís";-;-;-;-;-;-;-
"José Bonifácio";-;-;-;-;-;-;-
"Lajeado";-;-;-;-;-;-;-
"Lapa";-;-;-;-;-;2;2
"Liberdade";-;-;-;-;-;1;1
"Limão";-;-;-;-;1;-;1
"Mandaqui";-;-;-;-;-;3;3
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;4;4
"Morumbi";-;-;-;-;-;1;1
"Parelheiros";-;-;-;1;-;2;3
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-
"Pedreira";-;-;-;-;-;-;-
"Penha";-;-;-;-;-;2;2
"Perdizes";-;-;-;-;-;3;3
"Perus";-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;1;1
"Pirituba";-;-;1;-;-;1;2
"Ponte Rasa";-;-;-;-;-;-;-
"Raposo Tavares";-;-;-;-;1;-;1
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;2;2
"Sacomã";-;-;-;-;-;-;-
"Santa Cecília";-;-;-;-;-;1;1
"Santana";-;-;-;-;-;2;2
"Santo Amaro";-;-;-;-;-;2;2
"São Domingos";-;-;-;-;-;-;-
"São Lucas";-;-;-;-;1;6;7
"São Mateus";-;-;-;-;-;-;-
"São Miguel";-;-;-;-;-;2;2
"São Rafael";-;-;-;-;-;-;-
"Sapopemba";-;-;1;-;1;1;3
"Saúde";-;1;-;-;-;2;3
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;1;1
"Tremembé";-;-;-;-;1;4;5
"Tucuruvi";-;-;-;-;-;-;-
"Vila Andrade";-;-;-;-;-;-;-
"Vila Curuçá";-;-;-;-;-;3;3
"Vila Formosa";-;-;-;-;1;2;3
"Vila Guilherme";-;-;-;-;-;-;-
"Vila Jacuí";-;-;-;-;-;1;1
"Vila Leopoldina";-;-;-;-;-;1;1
"Vila Maria";-;-;-;-;1;3;4
"Vila Mariana";-;-;-;-;-;1;1
"Vila Matilde";-;-;-;-;-;1;1
"Vila Medeiros";-;-;1;-;1;-;2
"Vila Prudente";-;-;-;-;-;1;1
"Vila Sônia";-;-;-;-;1;-;1
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;3;3
"Total";1;2;5;11;18;106;143
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
