Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I13 Doenc cardiaca e renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2020
"Distrito Admin residência";"15-24";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;1;3;4
"Alto de Pinheiros";-;-;-;-;-;1;1
"Anhanguera";-;-;-;1;-;-;1
"Aricanduva";-;-;-;-;1;1;2
"Artur Alvim";-;-;-;-;1;1;2
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;1;1
"Belém";-;1;-;-;-;1;2
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;2;2
"Brasilândia";-;1;-;-;2;2;5
"Butantã";-;-;-;-;-;1;1
"Cachoeirinha";-;-;-;1;-;4;5
"Cambuci";-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;-;3;3
"Campo Limpo";-;-;1;-;-;3;4
"Cangaíba";-;-;-;-;1;1;2
"Capão Redondo";-;-;1;1;1;1;4
"Carrão";-;-;-;-;1;2;3
"Casa Verde";-;-;-;-;-;-;-
"Cidade Ademar";-;-;-;-;1;-;1
"Cidade Dutra";-;-;2;-;-;2;4
"Cidade Líder";-;-;-;-;-;-;-
"Cidade Tiradentes";-;-;-;1;2;-;3
"Consolação";-;-;-;-;-;-;-
"Cursino";-;-;-;-;1;2;3
"Ermelino Matarazzo";-;-;1;-;-;2;3
"Freguesia do Ó";-;-;-;1;-;2;3
"Grajaú";-;-;1;1;1;1;4
"Guaianases";-;-;-;-;-;-;-
"Iguatemi";-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;-;-
"Itaim Bibi";-;-;-;-;-;-;-
"Itaim Paulista";-;-;-;1;-;2;3
"Itaquera";-;-;-;-;1;4;5
"Jabaquara";-;-;-;2;-;1;3
"Jaçanã";-;-;-;-;-;1;1
"Jaguara";-;-;-;-;-;1;1
"Jaguaré";-;-;-;-;-;3;3
"Jaraguá";-;1;2;-;-;2;5
"Jardim Ângela";-;1;-;-;-;1;2
"Jardim Helena";-;-;-;1;1;-;2
"Jardim Paulista";-;-;-;-;-;1;1
"Jardim São Luís";-;-;-;1;-;4;5
"José Bonifácio";-;-;-;-;1;-;1
"Lajeado";-;-;-;-;1;1;2
"Lapa";-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;1;1
"Limão";-;-;-;-;-;-;-
"Mandaqui";-;-;-;1;-;2;3
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;2;2
"Morumbi";-;-;-;-;-;2;2
"Parelheiros";-;-;-;1;1;-;2
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-
"Pedreira";-;-;-;1;1;-;2
"Penha";-;-;-;-;-;1;1
"Perdizes";-;-;-;-;-;2;2
"Perus";-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;1;1
"Pirituba";-;-;-;-;-;-;-
"Ponte Rasa";-;-;-;1;-;-;1
"Raposo Tavares";-;-;-;-;1;-;1
"República";-;-;-;-;-;1;1
"Rio Pequeno";-;-;-;-;-;-;-
"Sacomã";-;-;-;1;3;1;5
"Santa Cecília";-;-;-;-;-;-;-
"Santana";-;-;-;-;1;1;2
"Santo Amaro";-;-;-;-;-;-;-
"São Domingos";-;-;-;-;-;1;1
"São Lucas";-;-;-;-;-;2;2
"São Mateus";-;-;-;-;-;1;1
"São Miguel";-;-;1;-;-;1;2
"São Rafael";-;-;1;-;-;-;1
"Sapopemba";-;-;1;1;1;1;4
"Saúde";-;-;-;-;-;1;1
"Sé";-;-;-;-;-;1;1
"Socorro";-;-;-;-;-;1;1
"Tatuapé";-;-;-;-;-;1;1
"Tremembé";-;-;-;-;-;1;1
"Tucuruvi";-;-;-;-;-;1;1
"Vila Andrade";-;-;-;-;-;2;2
"Vila Curuçá";-;-;-;-;2;1;3
"Vila Formosa";1;-;-;-;-;1;2
"Vila Guilherme";-;-;-;-;-;-;-
"Vila Jacuí";-;-;-;-;2;1;3
"Vila Leopoldina";-;-;-;-;-;2;2
"Vila Maria";-;-;-;1;-;-;1
"Vila Mariana";-;-;-;-;-;2;2
"Vila Matilde";-;-;-;-;-;-;-
"Vila Medeiros";-;-;-;-;1;4;5
"Vila Prudente";-;-;-;-;1;-;1
"Vila Sônia";-;-;-;-;1;-;1
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;1;1
"Total";1;4;11;18;32;97;163
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
