Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I13 Doenc cardiaca e renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2019
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;4;4
"Alto de Pinheiros";-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;3;3
"Aricanduva";-;-;1;-;1;2;4
"Artur Alvim";-;-;-;1;-;1;2
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;1;1;-;2
"Belém";-;-;-;-;-;1;1
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;1;3;2;2;8
"Butantã";-;-;1;-;-;1;2
"Cachoeirinha";-;-;2;3;1;1;7
"Cambuci";1;-;-;-;-;1;2
"Campo Belo";-;-;-;-;-;1;1
"Campo Grande";-;-;-;-;-;2;2
"Campo Limpo";-;-;-;1;3;3;7
"Cangaíba";-;-;1;-;-;2;3
"Capão Redondo";-;-;1;2;1;2;6
"Carrão";-;-;-;-;1;3;4
"Casa Verde";-;-;-;-;-;1;1
"Cidade Ademar";-;1;-;-;3;4;8
"Cidade Dutra";-;-;-;-;-;3;3
"Cidade Líder";1;-;-;2;3;3;9
"Cidade Tiradentes";-;1;1;2;1;-;5
"Consolação";-;-;-;-;-;2;2
"Cursino";-;-;-;-;-;-;-
"Ermelino Matarazzo";-;-;1;-;2;-;3
"Freguesia do Ó";-;-;-;-;3;2;5
"Grajaú";-;-;-;2;3;4;9
"Guaianases";-;-;1;-;-;2;3
"Iguatemi";-;-;-;1;-;-;1
"Ipiranga";-;-;-;-;2;5;7
"Itaim Bibi";-;-;-;-;-;1;1
"Itaim Paulista";-;-;1;2;1;2;6
"Itaquera";-;1;1;1;3;-;6
"Jabaquara";-;-;1;2;2;3;8
"Jaçanã";-;-;-;1;-;1;2
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;-;-;2;2;1;5
"Jardim Ângela";-;1;-;3;4;1;9
"Jardim Helena";-;-;1;-;1;2;4
"Jardim Paulista";-;-;-;-;-;2;2
"Jardim São Luís";-;1;1;-;2;1;5
"José Bonifácio";-;-;1;1;2;2;6
"Lajeado";-;-;1;1;3;3;8
"Lapa";-;-;-;-;-;3;3
"Liberdade";-;-;-;1;-;-;1
"Limão";-;1;-;-;-;1;2
"Mandaqui";-;-;-;-;-;4;4
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;3;3
"Moóca";-;-;-;1;1;1;3
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;1;1;-;1;2;5
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;1;-;1;-;-;2
"Pedreira";-;-;-;3;1;-;4
"Penha";-;-;1;1;1;3;6
"Perdizes";-;-;-;-;1;2;3
"Perus";-;-;1;-;-;-;1
"Pinheiros";-;-;-;-;-;3;3
"Pirituba";-;-;2;2;1;5;10
"Ponte Rasa";-;-;-;-;1;3;4
"Raposo Tavares";-;-;1;1;1;4;7
"República";-;-;-;-;-;1;1
"Rio Pequeno";-;-;-;-;-;-;-
"Sacomã";-;-;-;2;-;1;3
"Santa Cecília";-;-;-;1;-;1;2
"Santana";-;-;-;-;2;3;5
"Santo Amaro";-;-;1;-;-;-;1
"São Domingos";-;-;-;2;1;3;6
"São Lucas";-;-;-;-;4;3;7
"São Mateus";-;-;1;3;3;5;12
"São Miguel";-;-;1;-;-;2;3
"São Rafael";-;1;-;1;-;3;5
"Sapopemba";-;-;-;1;2;4;7
"Saúde";-;-;1;1;-;2;4
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;1;-;1
"Tatuapé";-;-;-;-;-;3;3
"Tremembé";-;-;-;-;3;7;10
"Tucuruvi";-;-;1;-;2;3;6
"Vila Andrade";-;-;-;-;1;-;1
"Vila Curuçá";-;-;-;1;1;1;3
"Vila Formosa";-;-;-;-;-;1;1
"Vila Guilherme";-;-;-;-;-;-;-
"Vila Jacuí";-;-;-;-;-;-;-
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;2;-;2;4
"Vila Mariana";-;-;-;-;2;-;2
"Vila Matilde";-;1;-;-;-;2;3
"Vila Medeiros";-;-;-;-;1;2;3
"Vila Prudente";-;-;1;-;1;3;5
"Vila Sônia";-;-;-;-;1;-;1
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;1;1;2
"Total";2;10;29;55;81;161;338
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
