Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I13 Doenc cardiaca e renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2023
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;-;-;4;5
"Alto de Pinheiros";-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;1;1
"Aricanduva";-;-;1;-;1;1;3
"Artur Alvim";-;-;-;2;-;4;6
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;2;2
"Belém";-;-;-;-;-;1;1
"Bom Retiro";-;-;-;1;-;-;1
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;3;2;-;4;9
"Butantã";-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;-;1;-;1
"Cambuci";-;-;-;-;1;-;1
"Campo Belo";-;-;-;-;-;1;1
"Campo Grande";-;-;-;-;-;2;2
"Campo Limpo";-;1;-;-;1;-;2
"Cangaíba";-;-;-;2;1;2;5
"Capão Redondo";-;-;-;-;2;2;4
"Carrão";-;-;-;-;-;-;-
"Casa Verde";-;-;1;-;-;1;2
"Cidade Ademar";-;-;1;2;-;1;4
"Cidade Dutra";-;1;-;-;1;1;3
"Cidade Líder";-;-;-;1;2;2;5
"Cidade Tiradentes";-;-;-;-;2;-;2
"Consolação";-;-;-;-;-;1;1
"Cursino";-;-;-;1;-;-;1
"Ermelino Matarazzo";-;-;-;1;-;-;1
"Freguesia do Ó";-;-;1;1;1;7;10
"Grajaú";1;1;-;1;2;5;10
"Guaianases";-;-;-;-;1;2;3
"Iguatemi";-;1;-;1;-;2;4
"Ipiranga";-;-;-;-;-;2;2
"Itaim Bibi";-;-;1;-;1;2;4
"Itaim Paulista";-;-;-;1;1;1;3
"Itaquera";-;-;-;2;-;4;6
"Jabaquara";-;-;-;-;3;6;9
"Jaçanã";-;-;-;-;1;2;3
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;1;-;1
"Jaraguá";-;-;-;1;1;1;3
"Jardim Ângela";-;2;-;-;-;5;7
"Jardim Helena";-;-;-;-;2;1;3
"Jardim Paulista";-;-;-;-;-;1;1
"Jardim São Luís";-;-;1;-;1;1;3
"José Bonifácio";-;-;-;1;1;-;2
"Lajeado";-;-;1;-;1;6;8
"Lapa";-;-;-;-;2;3;5
"Liberdade";-;-;-;1;-;2;3
"Limão";-;1;-;1;-;3;5
"Mandaqui";-;-;-;-;1;2;3
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;2;2
"Moóca";-;-;-;-;-;2;2
"Morumbi";-;-;-;-;-;2;2
"Parelheiros";-;-;-;1;3;-;4
"Pari";-;-;-;-;-;1;1
"Parque do Carmo";-;-;-;-;1;-;1
"Pedreira";-;-;-;1;-;1;2
"Penha";-;-;1;1;-;1;3
"Perdizes";-;-;-;-;1;1;2
"Perus";-;-;-;2;1;1;4
"Pinheiros";-;-;-;-;-;2;2
"Pirituba";-;-;1;-;2;4;7
"Ponte Rasa";-;-;1;2;-;4;7
"Raposo Tavares";-;-;-;-;2;4;6
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;-;1;-;2;3;6
"Sacomã";-;-;-;-;1;5;6
"Santa Cecília";-;-;1;-;-;-;1
"Santana";-;-;-;-;1;3;4
"Santo Amaro";-;-;-;-;-;2;2
"São Domingos";-;-;-;-;-;1;1
"São Lucas";-;-;-;1;-;2;3
"São Mateus";-;-;-;1;2;1;4
"São Miguel";-;-;-;1;-;5;6
"São Rafael";-;-;2;-;3;2;7
"Sapopemba";-;-;-;-;3;4;7
"Saúde";-;-;-;-;1;6;7
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;1;1;-;2
"Tatuapé";-;-;-;-;-;1;1
"Tremembé";-;-;1;2;1;2;6
"Tucuruvi";-;-;1;-;-;3;4
"Vila Andrade";-;-;-;-;-;1;1
"Vila Curuçá";-;-;-;3;2;1;6
"Vila Formosa";-;1;-;1;-;1;3
"Vila Guilherme";-;-;-;-;1;3;4
"Vila Jacuí";-;-;1;-;2;1;4
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;1;-;1;2
"Vila Mariana";-;-;-;1;-;3;4
"Vila Matilde";-;-;1;-;1;2;4
"Vila Medeiros";-;-;-;1;1;2;4
"Vila Prudente";-;-;-;-;2;3;5
"Vila Sônia";-;-;1;1;1;-;3
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;1;-;1
"Total";1;8;23;43;68;171;314
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
