Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C18 Neopl malig do colon
Período:2023
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;3;6;6;3;19
"Alto de Pinheiros";-;-;-;1;-;1;2;4
"Anhanguera";1;-;-;1;-;1;2;5
"Aricanduva";-;-;1;-;4;2;6;13
"Artur Alvim";-;-;1;-;1;2;5;9
"Barra Funda";-;-;-;-;1;1;-;2
"Bela Vista";-;-;-;1;-;1;3;5
"Belém";-;-;-;-;-;2;4;6
"Bom Retiro";-;-;-;-;1;-;-;1
"Brás";-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;1;5;6;5;17
"Butantã";-;-;-;-;1;2;3;6
"Cachoeirinha";-;-;1;-;5;4;6;16
"Cambuci";-;-;-;-;2;3;2;7
"Campo Belo";-;-;1;-;1;2;7;11
"Campo Grande";-;-;2;3;1;6;5;17
"Campo Limpo";-;-;1;3;6;10;3;23
"Cangaíba";-;1;1;3;2;4;4;15
"Capão Redondo";-;-;2;2;3;6;3;16
"Carrão";-;-;1;1;1;5;10;18
"Casa Verde";-;-;-;-;1;3;4;8
"Cidade Ademar";-;1;3;6;8;6;11;35
"Cidade Dutra";-;-;-;1;5;6;8;20
"Cidade Líder";-;-;-;1;3;4;3;11
"Cidade Tiradentes";-;-;-;2;1;1;-;4
"Consolação";-;-;-;-;-;1;4;5
"Cursino";-;-;-;3;2;7;9;21
"Ermelino Matarazzo";-;-;1;4;3;1;8;17
"Freguesia do Ó";-;-;1;2;1;8;7;19
"Grajaú";-;-;-;2;11;6;14;33
"Guaianases";-;-;1;-;-;3;2;6
"Iguatemi";-;-;1;1;4;1;2;9
"Ipiranga";-;-;-;2;2;3;10;17
"Itaim Bibi";-;-;-;-;-;4;6;10
"Itaim Paulista";-;-;2;-;1;3;1;7
"Itaquera";-;1;-;1;9;3;9;23
"Jabaquara";-;-;-;5;7;7;15;34
"Jaçanã";-;-;-;-;5;4;5;14
"Jaguara";-;-;-;1;-;-;1;2
"Jaguaré";-;-;1;1;3;1;2;8
"Jaraguá";-;1;2;2;5;9;3;22
"Jardim Ângela";-;1;1;5;6;6;4;23
"Jardim Helena";-;-;-;-;4;2;3;9
"Jardim Paulista";-;-;-;-;-;2;5;7
"Jardim São Luís";-;-;-;5;6;5;8;24
"José Bonifácio";-;-;-;2;2;4;4;12
"Lajeado";-;-;1;1;4;1;3;10
"Lapa";-;-;-;1;1;4;7;13
"Liberdade";-;1;-;1;1;4;3;10
"Limão";-;-;2;-;3;4;2;11
"Mandaqui";-;-;-;3;5;4;8;20
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;2;7;9
"Moóca";-;-;-;2;2;3;2;9
"Morumbi";-;-;-;-;4;1;5;10
"Parelheiros";-;-;1;2;3;4;4;14
"Pari";-;-;-;-;-;-;1;1
"Parque do Carmo";-;1;-;1;3;4;1;10
"Pedreira";-;-;1;2;1;1;3;8
"Penha";-;-;-;2;3;6;13;24
"Perdizes";-;-;1;2;3;2;14;22
"Perus";-;-;-;-;1;3;1;5
"Pinheiros";-;-;-;-;-;4;5;9
"Pirituba";-;-;-;4;1;6;4;15
"Ponte Rasa";-;-;1;3;4;4;6;18
"Raposo Tavares";-;-;-;2;1;3;1;7
"República";-;-;-;-;3;1;3;7
"Rio Pequeno";-;-;-;-;2;4;6;12
"Sacomã";-;-;-;1;5;9;9;24
"Santa Cecília";-;-;-;-;2;4;3;9
"Santana";-;-;1;-;3;5;14;23
"Santo Amaro";-;-;-;1;2;2;10;15
"São Domingos";-;-;-;-;2;2;4;8
"São Lucas";-;1;-;3;4;4;13;25
"São Mateus";-;-;1;-;5;4;2;12
"São Miguel";-;-;1;1;3;2;6;13
"São Rafael";-;-;1;-;-;2;3;6
"Sapopemba";-;-;2;3;4;4;5;18
"Saúde";-;1;1;2;4;10;16;34
"Sé";-;-;-;-;-;1;1;2
"Socorro";-;1;-;-;2;1;7;11
"Tatuapé";-;-;-;-;4;3;7;14
"Tremembé";-;-;1;3;7;3;5;19
"Tucuruvi";-;-;1;1;7;10;7;26
"Vila Andrade";-;-;-;1;2;5;12;20
"Vila Curuçá";-;-;1;-;2;3;4;10
"Vila Formosa";-;-;1;-;2;5;7;15
"Vila Guilherme";-;-;-;-;2;6;3;11
"Vila Jacuí";-;-;-;5;3;4;8;20
"Vila Leopoldina";-;-;-;1;-;1;3;5
"Vila Maria";-;-;-;-;1;-;8;9
"Vila Mariana";-;1;-;1;3;3;15;23
"Vila Matilde";-;-;-;1;1;3;6;11
"Vila Medeiros";-;-;1;1;6;9;11;28
"Vila Prudente";-;-;2;-;2;3;9;16
"Vila Sônia";-;1;1;-;2;7;5;16
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;1;-;2;3;3;9
"Total";1;12;48;116;256;347;526;1306
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
