Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C18 Neopl malig do colon
Período:2024
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;1;4;9;14
"Alto de Pinheiros";-;-;-;-;-;1;8;9
"Anhanguera";-;-;-;-;2;6;-;8
"Aricanduva";-;1;1;1;1;2;4;10
"Artur Alvim";-;-;-;3;2;4;3;12
"Barra Funda";-;-;-;-;1;-;2;3
"Bela Vista";-;-;1;1;3;2;4;11
"Belém";-;-;1;1;2;4;2;10
"Bom Retiro";-;-;-;-;2;-;1;3
"Brás";-;-;-;-;1;1;1;3
"Brasilândia";-;-;1;6;2;6;4;19
"Butantã";-;-;-;1;2;3;6;12
"Cachoeirinha";-;-;-;1;3;5;6;15
"Cambuci";-;-;-;-;1;1;3;5
"Campo Belo";-;-;-;-;2;4;7;13
"Campo Grande";-;-;-;2;8;10;3;23
"Campo Limpo";-;-;3;4;3;5;8;23
"Cangaíba";-;-;2;4;2;5;6;19
"Capão Redondo";-;-;2;1;3;4;5;15
"Carrão";-;-;2;-;-;2;14;18
"Casa Verde";-;-;-;4;2;5;6;17
"Cidade Ademar";-;1;-;5;4;10;17;37
"Cidade Dutra";-;-;-;3;8;6;8;25
"Cidade Líder";-;-;3;1;6;5;2;17
"Cidade Tiradentes";-;-;1;1;2;6;4;14
"Consolação";-;-;-;1;1;1;5;8
"Cursino";-;-;-;2;2;5;10;19
"Ermelino Matarazzo";-;-;-;-;1;6;6;13
"Freguesia do Ó";-;-;-;-;2;8;13;23
"Grajaú";-;3;3;3;5;13;7;34
"Guaianases";-;1;-;1;2;1;1;6
"Iguatemi";-;-;2;1;5;2;3;13
"Ipiranga";-;-;1;-;5;4;3;13
"Itaim Bibi";-;-;-;1;2;3;6;12
"Itaim Paulista";-;-;2;2;4;6;8;22
"Itaquera";-;-;-;2;6;4;5;17
"Jabaquara";1;-;1;2;-;6;15;25
"Jaçanã";-;-;-;-;-;3;5;8
"Jaguara";-;-;-;-;-;-;1;1
"Jaguaré";-;1;-;-;-;1;1;3
"Jaraguá";1;-;1;-;5;4;2;13
"Jardim Ângela";-;1;1;3;-;9;8;22
"Jardim Helena";-;-;-;1;1;3;1;6
"Jardim Paulista";-;-;-;-;2;1;5;8
"Jardim São Luís";-;-;-;4;7;4;8;23
"José Bonifácio";-;-;-;1;2;1;5;9
"Lajeado";-;-;1;2;5;3;5;16
"Lapa";-;-;1;1;1;3;7;13
"Liberdade";-;-;2;-;1;1;1;5
"Limão";-;-;-;1;1;3;4;9
"Mandaqui";-;-;1;3;3;6;6;19
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;1;-;4;5
"Moóca";-;-;1;1;1;4;6;13
"Morumbi";-;-;-;-;-;2;6;8
"Parelheiros";-;-;-;1;2;5;1;9
"Pari";-;-;-;-;1;1;1;3
"Parque do Carmo";-;-;-;1;-;1;2;4
"Pedreira";-;-;1;1;5;5;2;14
"Penha";-;-;1;1;3;3;10;18
"Perdizes";-;-;1;-;4;2;13;20
"Perus";-;-;1;-;-;2;3;6
"Pinheiros";-;-;-;-;-;3;3;6
"Pirituba";1;-;2;-;5;9;9;26
"Ponte Rasa";-;-;-;-;3;3;4;10
"Raposo Tavares";-;1;-;1;2;2;1;7
"República";-;-;2;-;1;4;3;10
"Rio Pequeno";-;-;-;-;3;4;10;17
"Sacomã";-;1;1;6;9;14;16;47
"Santa Cecília";-;1;-;2;2;-;11;16
"Santana";-;-;1;-;4;6;13;24
"Santo Amaro";-;-;-;1;4;4;6;15
"São Domingos";-;-;1;-;2;3;5;11
"São Lucas";-;-;3;2;3;10;13;31
"São Mateus";-;-;3;2;5;4;7;21
"São Miguel";-;-;-;3;1;3;4;11
"São Rafael";-;-;-;2;6;4;4;16
"Sapopemba";-;-;1;2;7;11;13;34
"Saúde";-;-;1;-;2;5;8;16
"Sé";-;-;1;-;-;-;-;1
"Socorro";-;-;-;1;1;-;6;8
"Tatuapé";-;-;-;2;4;3;5;14
"Tremembé";-;-;3;2;7;10;4;26
"Tucuruvi";-;-;-;1;2;5;7;15
"Vila Andrade";-;-;-;2;2;4;5;13
"Vila Curuçá";-;-;-;-;2;3;8;13
"Vila Formosa";-;-;-;-;1;2;4;7
"Vila Guilherme";-;-;-;-;5;2;1;8
"Vila Jacuí";-;-;-;2;2;2;3;9
"Vila Leopoldina";-;-;-;-;1;2;4;7
"Vila Maria";-;-;-;-;3;3;6;12
"Vila Mariana";-;-;-;2;-;5;12;19
"Vila Matilde";-;-;-;2;4;4;7;17
"Vila Medeiros";-;-;-;3;3;2;8;16
"Vila Prudente";-;-;-;2;3;5;7;17
"Vila Sônia";-;-;-;-;2;3;7;12
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;2;2;1;3;8
"Total";3;11;57;117;246;372;549;1355
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
