Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C18 Neopl malig do colon
Período:2025
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;2;1;3;5;12
"Alto de Pinheiros";-;-;-;-;1;2;1;4
"Anhanguera";-;-;-;-;1;4;2;7
"Aricanduva";-;-;-;-;-;1;6;7
"Artur Alvim";-;-;-;1;1;5;4;11
"Barra Funda";-;-;-;-;2;1;2;5
"Bela Vista";-;-;-;-;3;-;2;5
"Belém";-;-;-;-;-;1;-;1
"Bom Retiro";-;1;-;-;-;-;1;2
"Brás";-;-;-;1;2;-;-;3
"Brasilândia";-;-;3;2;4;2;6;17
"Butantã";-;-;1;-;1;1;3;6
"Cachoeirinha";-;1;1;2;3;4;5;16
"Cambuci";-;-;-;-;-;2;-;2
"Campo Belo";-;-;1;-;1;-;7;9
"Campo Grande";-;-;-;1;4;4;4;13
"Campo Limpo";-;-;1;2;1;4;5;13
"Cangaíba";-;-;-;1;1;2;3;7
"Capão Redondo";-;-;-;2;4;5;4;15
"Carrão";-;-;-;2;2;1;6;11
"Casa Verde";-;-;-;-;3;2;4;9
"Cidade Ademar";-;1;-;3;4;4;3;15
"Cidade Dutra";-;1;1;2;5;5;4;18
"Cidade Líder";-;-;-;1;-;3;3;7
"Cidade Tiradentes";-;-;1;2;-;1;2;6
"Consolação";-;-;-;-;1;-;3;4
"Cursino";-;-;1;-;-;5;8;14
"Ermelino Matarazzo";-;-;-;2;4;1;-;7
"Freguesia do Ó";-;-;1;-;3;7;3;14
"Grajaú";-;-;-;3;5;6;5;19
"Guaianases";-;-;-;-;1;2;1;4
"Iguatemi";-;-;1;1;1;2;1;6
"Ipiranga";-;-;-;1;1;2;5;9
"Itaim Bibi";-;-;-;2;1;2;5;10
"Itaim Paulista";-;1;1;3;2;6;5;18
"Itaquera";-;-;-;1;5;9;6;21
"Jabaquara";-;-;-;2;7;10;11;30
"Jaçanã";-;-;-;1;2;2;4;9
"Jaguara";-;-;-;-;1;1;1;3
"Jaguaré";-;-;-;-;-;1;3;4
"Jaraguá";-;1;-;-;3;3;4;11
"Jardim Ângela";-;-;1;2;3;6;7;19
"Jardim Helena";-;-;1;1;1;1;2;6
"Jardim Paulista";-;-;-;1;-;2;4;7
"Jardim São Luís";-;-;3;1;6;4;4;18
"José Bonifácio";-;-;1;1;3;3;4;12
"Lajeado";-;-;1;2;1;4;2;10
"Lapa";-;-;-;2;1;2;3;8
"Liberdade";-;-;-;-;2;3;6;11
"Limão";-;1;1;1;1;5;6;15
"Mandaqui";-;-;1;1;1;3;5;11
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;2;3;3;8
"Moóca";-;-;-;-;-;5;4;9
"Morumbi";-;-;-;-;-;2;3;5
"Parelheiros";-;-;2;4;1;2;2;11
"Pari";-;-;-;-;1;1;-;2
"Parque do Carmo";-;-;-;-;-;1;2;3
"Pedreira";-;-;-;-;3;1;1;5
"Penha";-;-;-;-;-;6;8;14
"Perdizes";-;-;1;-;4;2;7;14
"Perus";-;-;-;-;1;3;1;5
"Pinheiros";-;-;-;-;-;1;1;2
"Pirituba";-;-;1;2;4;2;8;17
"Ponte Rasa";-;-;-;1;1;3;7;12
"Raposo Tavares";-;-;-;-;4;3;1;8
"República";-;-;-;1;1;2;-;4
"Rio Pequeno";-;-;-;-;2;4;1;7
"Sacomã";-;-;3;1;7;8;9;28
"Santa Cecília";-;-;-;1;-;3;2;6
"Santana";-;-;-;1;5;3;11;20
"Santo Amaro";-;1;1;2;1;2;4;11
"São Domingos";-;-;-;2;2;3;1;8
"São Lucas";-;-;-;-;1;7;4;12
"São Mateus";-;-;-;-;-;5;1;6
"São Miguel";-;-;-;-;-;3;-;3
"São Rafael";-;-;1;-;1;1;5;8
"Sapopemba";-;-;1;-;5;8;13;27
"Saúde";-;-;-;1;1;3;10;15
"Sé";-;-;-;-;1;2;3;6
"Socorro";-;-;1;-;-;2;2;5
"Tatuapé";-;1;-;-;1;5;5;12
"Tremembé";1;-;2;1;1;8;5;18
"Tucuruvi";-;-;1;-;1;4;10;16
"Vila Andrade";-;1;-;1;1;1;2;6
"Vila Curuçá";-;-;-;-;3;4;3;10
"Vila Formosa";-;-;1;1;2;7;9;20
"Vila Guilherme";-;-;-;-;-;2;5;7
"Vila Jacuí";-;-;1;1;3;-;3;8
"Vila Leopoldina";-;-;-;1;1;3;3;8
"Vila Maria";-;-;-;-;4;1;3;8
"Vila Mariana";-;-;-;2;3;2;8;15
"Vila Matilde";-;-;-;1;1;4;2;8
"Vila Medeiros";-;-;1;1;-;3;8;13
"Vila Prudente";-;-;-;-;2;3;3;8
"Vila Sônia";-;1;1;-;-;-;3;5
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;2;-;4;11;15;11;43
"Total";1;13;41;81;182;302;387;1007
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
