Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C18 Neopl malig do colon
Período:2020
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;4;3;14;21
"Alto de Pinheiros";-;-;-;-;1;-;-;11;12
"Anhanguera";-;-;1;-;-;-;-;-;1
"Aricanduva";-;-;-;-;1;2;2;5;10
"Artur Alvim";-;-;1;-;-;-;2;4;7
"Barra Funda";-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;1;-;1;2;5;9
"Belém";-;-;-;-;1;2;1;4;8
"Bom Retiro";-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;1;1;1;3
"Brasilândia";-;1;-;-;-;9;7;3;20
"Butantã";-;-;-;1;-;2;2;4;9
"Cachoeirinha";-;-;-;1;-;4;3;4;12
"Cambuci";-;-;-;-;-;-;2;2;4
"Campo Belo";-;-;-;-;-;-;2;6;8
"Campo Grande";-;-;1;-;-;4;4;4;13
"Campo Limpo";-;-;-;-;3;4;4;4;15
"Cangaíba";-;-;-;1;1;1;2;5;10
"Capão Redondo";-;-;-;2;-;2;2;5;11
"Carrão";-;-;-;-;1;2;5;7;15
"Casa Verde";-;-;-;1;-;3;3;2;9
"Cidade Ademar";-;-;-;1;4;5;8;7;25
"Cidade Dutra";-;-;-;1;2;3;12;3;21
"Cidade Líder";-;-;-;-;1;-;4;3;8
"Cidade Tiradentes";-;-;1;2;-;3;1;2;9
"Consolação";-;1;-;1;1;2;2;4;11
"Cursino";-;-;-;-;1;1;2;5;9
"Ermelino Matarazzo";-;-;-;-;1;1;3;1;6
"Freguesia do Ó";-;-;-;-;2;3;3;11;19
"Grajaú";1;-;-;1;3;5;8;9;27
"Guaianases";-;-;-;-;-;2;2;1;5
"Iguatemi";-;-;1;-;1;1;2;1;6
"Ipiranga";-;-;-;2;-;4;3;2;11
"Itaim Bibi";-;-;-;-;-;2;1;11;14
"Itaim Paulista";-;-;-;-;2;5;8;4;19
"Itaquera";-;-;-;-;3;5;9;4;21
"Jabaquara";-;-;1;-;1;5;6;14;27
"Jaçanã";-;-;1;-;-;2;1;4;8
"Jaguara";-;-;-;-;-;-;2;-;2
"Jaguaré";-;-;-;-;-;-;2;3;5
"Jaraguá";-;-;1;-;3;5;2;5;16
"Jardim Ângela";-;-;-;1;-;5;5;6;17
"Jardim Helena";-;-;-;-;2;3;2;1;8
"Jardim Paulista";-;-;-;-;1;4;5;6;16
"Jardim São Luís";-;-;-;-;3;4;5;5;17
"José Bonifácio";-;-;-;-;1;2;2;4;9
"Lajeado";-;-;-;-;2;1;4;3;10
"Lapa";-;-;-;-;-;3;3;7;13
"Liberdade";-;-;-;-;1;1;2;1;5
"Limão";-;-;-;-;2;1;7;4;14
"Mandaqui";-;-;-;-;1;9;3;6;19
"Marsilac";-;-;-;-;-;-;-;2;2
"Moema";-;-;-;-;-;3;6;6;15
"Moóca";-;-;-;-;1;1;4;4;10
"Morumbi";-;-;-;-;-;-;1;4;5
"Parelheiros";-;-;-;2;-;2;2;1;7
"Pari";-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;5;3;8
"Pedreira";-;-;-;-;-;4;2;4;10
"Penha";-;-;-;-;1;3;6;10;20
"Perdizes";-;-;-;-;-;2;3;9;14
"Perus";-;-;-;-;-;-;-;1;1
"Pinheiros";-;-;-;-;-;-;1;3;4
"Pirituba";-;-;-;-;1;5;10;8;24
"Ponte Rasa";-;-;1;-;1;3;2;3;10
"Raposo Tavares";-;-;-;-;3;3;2;1;9
"República";-;-;-;-;-;1;5;5;11
"Rio Pequeno";-;-;-;-;-;1;9;6;16
"Sacomã";-;-;-;1;2;1;4;12;20
"Santa Cecília";-;-;-;-;-;2;3;3;8
"Santana";-;-;-;1;2;5;3;12;23
"Santo Amaro";-;-;-;-;1;1;5;9;16
"São Domingos";-;-;-;-;-;-;-;4;4
"São Lucas";-;-;-;-;1;3;4;10;18
"São Mateus";-;-;-;2;-;4;4;2;12
"São Miguel";-;-;-;-;-;2;3;6;11
"São Rafael";-;-;-;-;-;3;2;-;5
"Sapopemba";-;-;-;1;1;6;9;10;27
"Saúde";-;-;-;-;-;3;6;8;17
"Sé";-;-;-;-;-;-;-;2;2
"Socorro";-;-;-;-;1;1;-;5;7
"Tatuapé";-;-;-;1;-;3;1;10;15
"Tremembé";-;-;-;-;1;5;3;8;17
"Tucuruvi";-;2;-;-;-;1;5;8;16
"Vila Andrade";-;-;-;-;-;-;1;5;6
"Vila Curuçá";-;-;-;-;-;1;3;5;9
"Vila Formosa";-;-;-;-;1;2;4;7;14
"Vila Guilherme";-;-;-;-;-;1;1;4;6
"Vila Jacuí";-;-;-;1;1;2;2;4;10
"Vila Leopoldina";-;-;-;1;-;-;2;4;7
"Vila Maria";-;-;-;-;1;3;2;5;11
"Vila Mariana";-;-;-;-;1;3;4;12;20
"Vila Matilde";-;-;1;-;-;5;6;5;17
"Vila Medeiros";-;-;-;2;1;3;6;7;19
"Vila Prudente";-;-;-;1;-;1;4;9;15
"Vila Sônia";-;-;-;-;-;4;6;8;18
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;1;1
"Total";1;4;10;29;67;221;317;482;1131
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
