Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C18 Neopl malig do colon
Período:2021
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;2;3;4;8;18
"Alto de Pinheiros";-;-;-;-;1;2;2;5
"Anhanguera";-;-;-;-;-;2;-;2
"Aricanduva";-;-;1;2;2;5;9;19
"Artur Alvim";-;-;-;2;5;2;6;15
"Barra Funda";-;-;-;-;-;2;2;4
"Bela Vista";-;-;-;-;-;2;7;9
"Belém";-;-;-;1;3;-;4;8
"Bom Retiro";-;-;-;-;-;1;2;3
"Brás";-;-;-;-;-;2;1;3
"Brasilândia";-;-;-;2;3;6;6;17
"Butantã";-;-;-;-;-;1;5;6
"Cachoeirinha";1;-;-;-;3;7;2;13
"Cambuci";-;-;1;-;-;-;3;4
"Campo Belo";-;-;-;1;2;1;7;11
"Campo Grande";-;-;-;-;3;4;9;16
"Campo Limpo";-;-;1;2;6;7;5;21
"Cangaíba";-;-;-;1;5;6;5;17
"Capão Redondo";-;-;-;6;8;3;2;19
"Carrão";-;-;-;-;-;5;5;10
"Casa Verde";-;-;-;-;1;5;6;12
"Cidade Ademar";-;-;2;-;4;4;6;16
"Cidade Dutra";-;-;-;1;8;3;6;18
"Cidade Líder";-;1;-;2;1;1;2;7
"Cidade Tiradentes";-;-;1;2;4;1;4;12
"Consolação";-;-;-;1;1;2;5;9
"Cursino";-;-;-;2;2;5;7;16
"Ermelino Matarazzo";-;1;1;-;1;7;3;13
"Freguesia do Ó";-;-;-;2;5;4;6;17
"Grajaú";-;1;1;8;12;3;12;37
"Guaianases";-;1;-;-;2;4;-;7
"Iguatemi";-;-;-;-;3;4;3;10
"Ipiranga";-;-;1;-;2;5;6;14
"Itaim Bibi";-;-;2;-;1;3;6;12
"Itaim Paulista";-;-;-;2;4;4;5;15
"Itaquera";-;-;-;6;5;5;5;21
"Jabaquara";-;-;-;3;4;4;10;21
"Jaçanã";-;-;-;1;1;4;7;13
"Jaguara";-;-;-;-;1;-;-;1
"Jaguaré";-;-;-;-;-;-;3;3
"Jaraguá";-;1;-;-;3;6;4;14
"Jardim Ângela";-;2;4;1;2;5;4;18
"Jardim Helena";-;-;-;1;2;4;6;13
"Jardim Paulista";-;-;1;-;-;-;10;11
"Jardim São Luís";-;1;1;2;5;1;10;20
"José Bonifácio";-;-;-;-;1;1;1;3
"Lajeado";-;-;-;1;6;3;4;14
"Lapa";-;-;-;1;-;3;11;15
"Liberdade";-;-;-;-;2;2;7;11
"Limão";-;-;1;1;6;2;6;16
"Mandaqui";-;-;2;2;3;6;8;21
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;2;4;5;11
"Moóca";-;-;-;-;5;5;5;15
"Morumbi";-;-;-;1;-;1;5;7
"Parelheiros";-;-;-;3;5;3;-;11
"Pari";-;-;-;1;-;-;1;2
"Parque do Carmo";-;-;-;3;-;1;2;6
"Pedreira";-;-;2;-;1;1;3;7
"Penha";-;-;1;2;5;4;7;19
"Perdizes";-;-;-;-;4;5;4;13
"Perus";-;-;-;1;-;-;2;3
"Pinheiros";-;-;-;1;-;1;11;13
"Pirituba";-;-;2;3;2;8;9;24
"Ponte Rasa";-;-;-;2;5;4;4;15
"Raposo Tavares";-;-;-;3;3;4;1;11
"República";-;-;-;-;1;2;1;4
"Rio Pequeno";-;-;2;1;1;2;5;11
"Sacomã";-;-;-;2;2;4;11;19
"Santa Cecília";-;-;-;-;-;3;5;8
"Santana";-;-;1;1;2;6;14;24
"Santo Amaro";-;-;1;2;3;2;11;19
"São Domingos";-;-;-;-;1;2;5;8
"São Lucas";-;-;-;2;6;3;9;20
"São Mateus";-;-;-;2;5;5;6;18
"São Miguel";-;-;-;-;1;3;4;8
"São Rafael";-;-;1;2;4;4;3;14
"Sapopemba";-;-;2;-;9;6;3;20
"Saúde";-;1;1;1;2;10;10;25
"Sé";-;-;-;-;1;1;-;2
"Socorro";-;-;-;-;1;-;6;7
"Tatuapé";-;-;-;-;2;2;8;12
"Tremembé";-;-;2;2;2;7;7;20
"Tucuruvi";-;1;-;-;4;5;7;17
"Vila Andrade";-;-;-;1;3;2;4;10
"Vila Curuçá";-;-;-;1;6;4;1;12
"Vila Formosa";-;1;-;2;3;2;4;12
"Vila Guilherme";-;-;-;-;-;1;7;8
"Vila Jacuí";-;-;-;1;2;3;4;10
"Vila Leopoldina";-;1;-;-;-;-;2;3
"Vila Maria";-;-;-;2;3;1;1;7
"Vila Mariana";-;-;-;-;4;9;12;25
"Vila Matilde";-;-;-;1;3;7;3;14
"Vila Medeiros";-;-;2;1;5;5;7;20
"Vila Prudente";-;-;-;2;2;4;4;12
"Vila Sônia";-;-;1;1;1;4;2;9
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;1;2;-;3
"Total";1;12;39;105;248;315;488;1208
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
