Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I12 Doenc renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2023
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;2;-;2;4
"Alto de Pinheiros";-;-;-;-;-;-;1;1
"Anhanguera";-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;-;1;1
"Artur Alvim";-;-;-;-;-;-;1;1
"Barra Funda";-;-;-;-;-;-;-;-
"Bela Vista";-;1;-;-;2;-;-;3
"Belém";-;-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;1;1;3;3;8
"Butantã";-;-;-;-;-;-;1;1
"Cachoeirinha";-;-;-;-;-;-;-;-
"Cambuci";-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;-;-;-;-
"Campo Limpo";-;-;-;-;-;-;1;1
"Cangaíba";-;-;-;-;-;-;-;-
"Capão Redondo";-;1;-;1;1;1;3;7
"Carrão";-;-;-;-;-;-;1;1
"Casa Verde";-;-;-;-;-;-;1;1
"Cidade Ademar";-;-;-;-;-;2;1;3
"Cidade Dutra";-;-;-;-;-;2;-;2
"Cidade Líder";-;-;-;-;1;1;-;2
"Cidade Tiradentes";-;-;-;1;1;-;-;2
"Consolação";-;-;-;-;-;-;1;1
"Cursino";-;-;-;1;-;-;1;2
"Ermelino Matarazzo";-;-;-;-;-;-;-;-
"Freguesia do Ó";-;-;-;-;-;1;2;3
"Grajaú";-;-;-;-;-;-;-;-
"Guaianases";-;1;1;-;-;-;1;3
"Iguatemi";-;-;1;-;1;2;1;5
"Ipiranga";-;1;-;-;1;-;3;5
"Itaim Bibi";-;-;-;-;-;-;3;3
"Itaim Paulista";-;-;-;-;-;-;1;1
"Itaquera";-;-;1;-;-;-;4;5
"Jabaquara";-;-;-;-;-;-;3;3
"Jaçanã";-;-;-;-;-;2;-;2
"Jaguara";-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;1;-;1;2
"Jaraguá";-;1;-;2;-;1;-;4
"Jardim Ângela";-;-;-;1;1;2;1;5
"Jardim Helena";-;-;-;-;-;1;1;2
"Jardim Paulista";-;-;-;-;-;1;1;2
"Jardim São Luís";-;-;1;1;2;-;1;5
"José Bonifácio";-;-;-;-;1;-;-;1
"Lajeado";-;-;-;-;2;1;1;4
"Lapa";-;-;-;-;-;-;1;1
"Liberdade";-;-;-;-;-;-;1;1
"Limão";-;-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;-;2;2
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;-;1;1
"Morumbi";-;-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;1;1;3;5
"Pari";-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;1;1;-;2
"Pedreira";-;-;-;-;-;-;-;-
"Penha";-;-;-;-;-;-;2;2
"Perdizes";-;-;-;-;-;-;-;-
"Perus";-;-;-;-;-;1;2;3
"Pinheiros";-;-;-;-;-;-;1;1
"Pirituba";1;-;-;-;1;-;-;2
"Ponte Rasa";-;-;-;1;-;-;1;2
"Raposo Tavares";-;-;-;1;-;-;-;1
"República";-;-;-;-;1;-;-;1
"Rio Pequeno";-;-;-;-;-;-;2;2
"Sacomã";-;-;-;-;1;1;1;3
"Santa Cecília";-;-;-;-;1;-;2;3
"Santana";-;-;-;-;-;-;-;-
"Santo Amaro";-;-;-;-;-;-;1;1
"São Domingos";-;-;-;-;-;-;-;-
"São Lucas";-;-;-;-;-;-;4;4
"São Mateus";-;-;-;-;-;2;3;5
"São Miguel";-;-;-;-;-;-;-;-
"São Rafael";-;-;-;2;-;1;1;4
"Sapopemba";-;-;-;-;-;-;4;4
"Saúde";-;-;-;-;1;-;3;4
"Sé";-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;1;-;1
"Tatuapé";-;-;-;-;-;-;1;1
"Tremembé";-;-;-;-;1;1;-;2
"Tucuruvi";-;-;-;-;-;2;-;2
"Vila Andrade";-;-;-;-;-;1;2;3
"Vila Curuçá";-;-;-;2;-;-;3;5
"Vila Formosa";-;-;-;-;-;-;1;1
"Vila Guilherme";-;-;1;-;-;-;1;2
"Vila Jacuí";-;-;1;-;-;1;1;3
"Vila Leopoldina";-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;3;3
"Vila Mariana";-;-;-;-;-;-;-;-
"Vila Matilde";-;-;-;-;-;-;-;-
"Vila Medeiros";-;-;-;-;-;-;1;1
"Vila Prudente";-;-;-;-;-;1;-;1
"Vila Sônia";-;-;-;-;-;-;-;-
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-
"Total";1;5;6;14;25;34;90;175
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
