Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I12 Doenc renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2025
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;1;1
"Alto de Pinheiros";-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;1;1
"Artur Alvim";-;-;-;-;1;2;3
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;2;2
"Belém";-;-;-;-;-;1;1
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;1;-;-;-;-;1
"Brasilândia";1;-;2;-;-;2;5
"Butantã";-;-;-;-;-;1;1
"Cachoeirinha";-;-;-;-;1;2;3
"Cambuci";-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;-;4;4
"Campo Limpo";-;-;-;1;1;4;6
"Cangaíba";-;-;-;1;1;-;2
"Capão Redondo";-;-;-;-;-;2;2
"Carrão";-;-;-;-;1;-;1
"Casa Verde";-;-;-;-;1;1;2
"Cidade Ademar";-;-;-;-;1;3;4
"Cidade Dutra";-;-;-;-;-;-;-
"Cidade Líder";-;-;-;1;-;1;2
"Cidade Tiradentes";-;-;-;1;1;1;3
"Consolação";-;-;-;-;-;1;1
"Cursino";-;-;-;-;-;2;2
"Ermelino Matarazzo";-;-;-;-;-;1;1
"Freguesia do Ó";-;-;-;1;2;4;7
"Grajaú";-;1;-;-;-;-;1
"Guaianases";-;-;-;-;-;-;-
"Iguatemi";-;-;1;-;-;-;1
"Ipiranga";-;-;-;-;1;2;3
"Itaim Bibi";-;-;-;-;1;-;1
"Itaim Paulista";-;1;-;1;-;-;2
"Itaquera";-;-;-;1;-;1;2
"Jabaquara";-;-;-;-;2;-;2
"Jaçanã";-;-;-;1;-;2;3
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;1;1
"Jaraguá";-;-;-;-;-;-;-
"Jardim Ângela";-;-;-;-;1;1;2
"Jardim Helena";-;-;-;-;1;1;2
"Jardim Paulista";-;-;-;-;-;2;2
"Jardim São Luís";-;1;-;-;2;1;4
"José Bonifácio";-;-;-;-;1;-;1
"Lajeado";-;-;-;1;-;1;2
"Lapa";-;-;-;-;-;1;1
"Liberdade";-;-;-;-;-;2;2
"Limão";-;-;-;-;-;2;2
"Mandaqui";-;-;-;-;-;2;2
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;2;2
"Moóca";-;-;-;-;-;1;1
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;1;1
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;1;-;1
"Pedreira";-;-;-;-;-;-;-
"Penha";-;1;-;-;-;2;3
"Perdizes";-;-;-;-;-;-;-
"Perus";-;-;-;-;1;-;1
"Pinheiros";-;-;-;-;1;1;2
"Pirituba";-;-;-;-;-;2;2
"Ponte Rasa";-;-;-;-;-;1;1
"Raposo Tavares";-;-;-;1;1;-;2
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;1;-;1
"Sacomã";-;-;-;-;2;2;4
"Santa Cecília";-;-;1;-;1;-;2
"Santana";-;-;1;-;-;-;1
"Santo Amaro";-;-;-;-;1;-;1
"São Domingos";-;-;-;-;-;3;3
"São Lucas";-;-;-;-;-;2;2
"São Mateus";-;-;-;1;-;2;3
"São Miguel";-;-;-;-;-;-;-
"São Rafael";-;-;-;1;-;-;1
"Sapopemba";-;-;2;-;-;2;4
"Saúde";-;-;-;-;-;2;2
"Sé";-;1;-;-;-;-;1
"Socorro";-;-;-;-;1;2;3
"Tatuapé";-;-;-;-;-;1;1
"Tremembé";-;-;-;1;-;-;1
"Tucuruvi";-;-;-;-;-;2;2
"Vila Andrade";-;-;1;-;1;-;2
"Vila Curuçá";-;-;1;1;-;1;3
"Vila Formosa";-;-;-;-;-;2;2
"Vila Guilherme";-;-;-;-;-;-;-
"Vila Jacuí";-;-;1;-;-;-;1
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;-
"Vila Mariana";-;-;-;-;-;2;2
"Vila Matilde";-;-;-;-;1;4;5
"Vila Medeiros";-;-;-;-;-;2;2
"Vila Prudente";-;-;-;-;-;-;-
"Vila Sônia";-;-;-;1;-;-;1
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;2;-;2;4;8
"Total";1;6;12;15;33;98;165
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
