Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I12 Doenc renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2024
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;1;1
"Alto de Pinheiros";-;-;-;-;-;1;1
"Anhanguera";-;-;-;1;-;-;1
"Aricanduva";-;-;-;-;2;-;2
"Artur Alvim";-;-;-;-;-;-;-
"Barra Funda";-;-;-;-;1;-;1
"Bela Vista";-;-;-;-;-;-;-
"Belém";-;-;-;-;-;1;1
"Bom Retiro";-;-;-;1;-;-;1
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;1;-;4;-;1;6
"Butantã";-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;1;-;-;1
"Cambuci";-;-;-;-;-;1;1
"Campo Belo";-;-;-;-;-;1;1
"Campo Grande";-;-;-;-;-;-;-
"Campo Limpo";-;-;-;-;-;1;1
"Cangaíba";-;-;-;-;1;2;3
"Capão Redondo";-;-;-;-;1;-;1
"Carrão";-;-;-;-;1;3;4
"Casa Verde";-;-;-;-;-;-;-
"Cidade Ademar";-;-;-;2;1;3;6
"Cidade Dutra";-;-;1;1;-;-;2
"Cidade Líder";-;-;-;-;2;1;3
"Cidade Tiradentes";-;-;1;1;3;-;5
"Consolação";-;-;-;-;-;2;2
"Cursino";-;-;-;-;-;2;2
"Ermelino Matarazzo";-;1;-;-;1;-;2
"Freguesia do Ó";-;-;-;2;1;3;6
"Grajaú";-;-;-;1;1;5;7
"Guaianases";-;-;-;1;-;-;1
"Iguatemi";-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;-;-
"Itaim Bibi";-;-;-;-;1;-;1
"Itaim Paulista";-;-;-;1;2;-;3
"Itaquera";1;-;1;-;-;1;3
"Jabaquara";-;-;-;-;-;2;2
"Jaçanã";-;-;-;-;1;-;1
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;1;-;-;-;1;2
"Jardim Ângela";-;-;-;-;1;1;2
"Jardim Helena";-;-;-;-;1;-;1
"Jardim Paulista";-;-;-;-;-;1;1
"Jardim São Luís";-;1;-;1;-;1;3
"José Bonifácio";-;-;-;-;-;1;1
"Lajeado";-;-;-;-;-;2;2
"Lapa";-;-;-;-;-;1;1
"Liberdade";-;-;-;-;1;-;1
"Limão";-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;2;2
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;2;2
"Moóca";-;-;-;1;-;-;1
"Morumbi";-;-;-;-;-;1;1
"Parelheiros";-;-;-;-;-;-;-
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;1;-;-;-;1;2
"Pedreira";-;-;-;1;-;1;2
"Penha";-;-;-;-;-;-;-
"Perdizes";-;-;-;-;-;1;1
"Perus";-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;-;-
"Pirituba";-;-;-;1;-;-;1
"Ponte Rasa";-;-;-;-;1;3;4
"Raposo Tavares";-;-;-;-;-;1;1
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;3;1;4
"Sacomã";-;-;-;-;-;1;1
"Santa Cecília";-;-;-;-;-;-;-
"Santana";-;-;-;-;-;1;1
"Santo Amaro";-;-;-;-;2;-;2
"São Domingos";-;-;-;-;-;3;3
"São Lucas";-;-;-;-;-;1;1
"São Mateus";-;-;-;-;1;1;2
"São Miguel";-;-;-;-;-;1;1
"São Rafael";-;-;-;-;-;-;-
"Sapopemba";-;-;-;1;3;1;5
"Saúde";-;-;1;-;-;-;1
"Sé";-;-;-;-;-;-;-
"Socorro";-;1;-;-;-;-;1
"Tatuapé";-;-;-;-;1;-;1
"Tremembé";-;-;-;1;-;-;1
"Tucuruvi";-;-;-;-;-;3;3
"Vila Andrade";-;-;-;-;-;-;-
"Vila Curuçá";-;-;-;-;-;2;2
"Vila Formosa";-;-;-;-;-;1;1
"Vila Guilherme";-;-;-;-;-;1;1
"Vila Jacuí";-;-;-;-;-;1;1
"Vila Leopoldina";-;-;-;1;-;1;2
"Vila Maria";-;-;1;-;1;2;4
"Vila Mariana";-;-;-;-;1;-;1
"Vila Matilde";-;-;1;-;1;-;2
"Vila Medeiros";-;-;-;-;-;3;3
"Vila Prudente";-;1;-;-;-;-;1
"Vila Sônia";-;-;-;1;-;-;1
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-
"Total";1;7;6;24;36;75;149
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
