Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I12 Doenc renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2019
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;-;2;-;3
"Alto de Pinheiros";-;-;-;-;-;1;1
"Anhanguera";-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;2;2
"Artur Alvim";-;1;-;-;1;1;3
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;1;1
"Belém";-;-;-;-;-;1;1
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;-;2;-;3;5
"Butantã";-;-;-;-;1;-;1
"Cachoeirinha";-;-;1;1;1;3;6
"Cambuci";-;-;-;-;1;-;1
"Campo Belo";-;-;-;-;1;1;2
"Campo Grande";-;-;-;-;-;2;2
"Campo Limpo";-;1;-;-;-;3;4
"Cangaíba";-;1;-;-;-;2;3
"Capão Redondo";-;-;-;1;2;1;4
"Carrão";-;-;-;-;-;2;2
"Casa Verde";-;-;-;1;-;-;1
"Cidade Ademar";-;-;-;-;-;3;3
"Cidade Dutra";-;-;-;2;-;1;3
"Cidade Líder";-;-;-;-;2;1;3
"Cidade Tiradentes";-;1;-;-;2;-;3
"Consolação";-;-;-;-;-;-;-
"Cursino";-;-;-;-;1;2;3
"Ermelino Matarazzo";-;-;-;-;-;2;2
"Freguesia do Ó";-;-;1;-;-;2;3
"Grajaú";-;-;1;2;3;1;7
"Guaianases";-;1;1;1;-;1;4
"Iguatemi";-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;1;1
"Itaim Bibi";-;-;-;-;1;2;3
"Itaim Paulista";1;-;-;-;1;1;3
"Itaquera";-;-;-;-;2;3;5
"Jabaquara";-;1;-;1;-;1;3
"Jaçanã";-;-;-;-;1;1;2
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;-;2;-;2;1;5
"Jardim Ângela";-;-;-;1;1;-;2
"Jardim Helena";-;-;-;1;-;1;2
"Jardim Paulista";-;-;-;-;-;-;-
"Jardim São Luís";-;-;-;1;-;2;3
"José Bonifácio";-;1;1;-;-;1;3
"Lajeado";-;-;-;1;-;-;1
"Lapa";-;-;-;-;-;2;2
"Liberdade";-;-;-;-;1;2;3
"Limão";-;-;-;-;-;-;-
"Mandaqui";-;-;1;1;-;1;3
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;1;1
"Moóca";-;-;-;1;-;-;1
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;-;-;1;1;1;3
"Pari";-;1;-;-;-;-;1
"Parque do Carmo";-;-;-;-;-;-;-
"Pedreira";-;-;2;-;1;3;6
"Penha";-;-;-;-;1;1;2
"Perdizes";-;-;-;-;-;-;-
"Perus";-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;1;1
"Pirituba";-;-;-;-;2;2;4
"Ponte Rasa";-;-;-;1;1;-;2
"Raposo Tavares";-;-;-;-;2;-;2
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;2;2
"Sacomã";-;-;-;1;1;1;3
"Santa Cecília";-;-;-;1;-;2;3
"Santana";-;-;1;1;-;4;6
"Santo Amaro";-;-;-;-;-;-;-
"São Domingos";-;-;1;-;-;-;1
"São Lucas";-;-;-;-;-;1;1
"São Mateus";-;-;1;-;1;1;3
"São Miguel";-;-;1;-;-;2;3
"São Rafael";-;-;-;1;-;2;3
"Sapopemba";-;-;1;-;-;4;5
"Saúde";-;-;-;-;-;4;4
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;1;-;1
"Tatuapé";-;-;-;-;1;3;4
"Tremembé";-;-;1;2;1;1;5
"Tucuruvi";-;-;-;1;1;1;3
"Vila Andrade";-;-;1;-;-;-;1
"Vila Curuçá";-;-;-;2;1;-;3
"Vila Formosa";-;-;-;1;-;4;5
"Vila Guilherme";-;-;-;-;-;2;2
"Vila Jacuí";-;-;-;-;-;2;2
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;1;1
"Vila Mariana";-;-;-;-;-;-;-
"Vila Matilde";-;-;-;1;1;2;4
"Vila Medeiros";-;-;1;-;1;1;3
"Vila Prudente";-;1;1;1;1;3;7
"Vila Sônia";-;-;-;-;-;2;2
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-
"Total";1;9;20;31;44;109;214
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
