Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I24 Outr doenc isquemicas agudas do coracao
Período:2022
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;-;-
"Alto de Pinheiros";-;-;-;1;-;-;4;5
"Anhanguera";-;-;-;-;1;1;1;3
"Aricanduva";-;-;-;-;-;-;-;-
"Artur Alvim";-;-;-;-;-;-;1;1
"Barra Funda";-;-;1;-;-;-;-;1
"Bela Vista";-;1;-;-;-;1;1;3
"Belém";-;-;-;-;1;-;3;4
"Bom Retiro";-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;-
"Brasilândia";-;1;-;-;1;1;-;3
"Butantã";-;-;-;-;-;2;1;3
"Cachoeirinha";-;-;-;1;1;-;1;3
"Cambuci";-;-;-;-;-;-;1;1
"Campo Belo";-;-;-;-;-;2;2;4
"Campo Grande";-;-;-;-;2;-;3;5
"Campo Limpo";-;-;-;-;1;2;-;3
"Cangaíba";-;-;-;-;1;2;3;6
"Capão Redondo";-;-;-;-;1;1;1;3
"Carrão";-;-;-;-;-;-;1;1
"Casa Verde";-;-;-;2;-;-;-;2
"Cidade Ademar";-;1;-;-;-;1;-;2
"Cidade Dutra";-;-;-;-;1;-;2;3
"Cidade Líder";-;-;-;-;-;-;1;1
"Cidade Tiradentes";-;-;-;1;1;-;1;3
"Consolação";-;-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;1;2;3
"Ermelino Matarazzo";-;-;-;1;1;-;-;2
"Freguesia do Ó";-;-;-;-;-;2;1;3
"Grajaú";2;-;1;1;2;4;2;12
"Guaianases";-;-;-;-;-;-;-;-
"Iguatemi";-;-;-;1;1;-;-;2
"Ipiranga";-;1;-;-;-;-;2;3
"Itaim Bibi";-;-;-;1;1;1;2;5
"Itaim Paulista";-;-;-;-;-;-;4;4
"Itaquera";-;-;-;-;1;-;1;2
"Jabaquara";-;-;-;1;2;2;3;8
"Jaçanã";-;-;-;-;-;-;-;-
"Jaguara";-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;1;1
"Jaraguá";-;-;-;-;1;2;2;5
"Jardim Ângela";1;-;-;1;1;-;-;3
"Jardim Helena";-;-;-;-;1;2;1;4
"Jardim Paulista";-;-;-;-;-;-;2;2
"Jardim São Luís";-;1;-;-;-;-;5;6
"José Bonifácio";-;-;-;-;-;-;-;-
"Lajeado";-;-;-;1;1;-;-;2
"Lapa";-;-;-;-;2;1;2;5
"Liberdade";-;-;-;-;-;-;2;2
"Limão";-;-;-;-;-;1;-;1
"Mandaqui";-;-;-;-;1;1;3;5
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;3;3
"Moóca";-;-;-;-;-;2;2;4
"Morumbi";-;-;-;-;1;-;2;3
"Parelheiros";-;-;-;1;-;2;-;3
"Pari";-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;1;1
"Pedreira";-;-;1;-;1;-;-;2
"Penha";-;-;-;-;-;1;3;4
"Perdizes";-;-;-;-;-;-;3;3
"Perus";-;-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;1;2;3
"Pirituba";1;-;-;-;1;1;3;6
"Ponte Rasa";-;-;-;-;1;-;-;1
"Raposo Tavares";-;-;-;-;-;-;-;-
"República";-;-;-;-;-;-;1;1
"Rio Pequeno";-;-;-;-;-;1;2;3
"Sacomã";-;-;-;-;3;1;3;7
"Santa Cecília";-;-;-;-;1;-;2;3
"Santana";-;-;-;1;-;2;-;3
"Santo Amaro";-;-;-;-;-;2;11;13
"São Domingos";-;-;-;1;1;-;3;5
"São Lucas";-;-;-;-;-;-;2;2
"São Mateus";-;-;-;-;-;1;3;4
"São Miguel";-;-;-;-;-;1;-;1
"São Rafael";-;-;-;-;-;-;-;-
"Sapopemba";-;-;-;-;-;1;1;2
"Saúde";-;-;-;-;-;2;2;4
"Sé";-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;6;6
"Tatuapé";-;-;-;2;1;-;1;4
"Tremembé";-;-;-;-;1;-;3;4
"Tucuruvi";-;-;-;-;-;-;1;1
"Vila Andrade";-;-;-;-;2;1;1;4
"Vila Curuçá";-;-;1;-;-;-;-;1
"Vila Formosa";-;-;-;-;-;-;1;1
"Vila Guilherme";-;-;-;-;-;-;1;1
"Vila Jacuí";-;-;-;-;-;1;2;3
"Vila Leopoldina";-;-;-;-;-;-;1;1
"Vila Maria";-;-;-;-;-;-;-;-
"Vila Mariana";-;-;-;-;-;2;4;6
"Vila Matilde";-;-;-;-;-;1;1;2
"Vila Medeiros";-;-;-;-;-;-;2;2
"Vila Prudente";-;-;-;-;-;-;1;1
"Vila Sônia";-;-;-;-;-;-;3;3
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;1;1;2
"Total";4;5;4;17;39;54;140;263
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
