Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I10 Hipertensao essencial
Lista condens CID10: Doenças hipertensivas
Período:2021
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;2;3;5
"Alto de Pinheiros";-;-;-;-;-;5;5
"Anhanguera";-;1;1;1;1;2;6
"Aricanduva";-;-;2;3;3;8;16
"Artur Alvim";-;-;1;3;3;14;21
"Barra Funda";-;-;-;1;1;1;3
"Bela Vista";-;-;-;-;1;7;8
"Belém";-;-;1;2;2;4;9
"Bom Retiro";-;-;-;-;1;3;4
"Brás";-;-;-;2;-;-;2
"Brasilândia";-;2;6;8;7;24;47
"Butantã";-;-;-;-;-;2;2
"Cachoeirinha";-;1;5;2;13;12;33
"Cambuci";-;-;-;-;-;2;2
"Campo Belo";-;-;-;-;2;6;8
"Campo Grande";-;-;-;1;2;7;10
"Campo Limpo";-;1;1;-;6;13;21
"Cangaíba";-;-;2;9;9;14;34
"Capão Redondo";-;2;6;5;6;15;34
"Carrão";-;-;-;2;2;12;16
"Casa Verde";-;1;2;3;4;8;18
"Cidade Ademar";-;-;4;7;7;18;36
"Cidade Dutra";-;-;2;4;7;16;29
"Cidade Líder";-;1;1;2;6;4;14
"Cidade Tiradentes";-;-;1;8;7;8;24
"Consolação";-;-;-;-;-;1;1
"Cursino";-;1;-;-;4;11;16
"Ermelino Matarazzo";-;-;2;2;2;4;10
"Freguesia do Ó";-;-;-;3;3;15;21
"Grajaú";-;4;3;9;4;17;37
"Guaianases";1;-;-;2;3;10;16
"Iguatemi";-;-;4;1;2;6;13
"Ipiranga";-;-;1;-;4;12;17
"Itaim Bibi";-;-;1;2;-;9;12
"Itaim Paulista";-;3;-;4;9;10;26
"Itaquera";-;-;3;6;4;13;26
"Jabaquara";-;2;-;3;6;16;27
"Jaçanã";-;-;2;2;5;4;13
"Jaguara";-;-;1;1;-;3;5
"Jaguaré";-;-;-;-;4;2;6
"Jaraguá";-;1;1;3;14;6;25
"Jardim Ângela";-;1;5;4;8;15;33
"Jardim Helena";-;-;3;3;1;6;13
"Jardim Paulista";-;-;-;-;-;3;3
"Jardim São Luís";-;1;1;7;8;22;39
"José Bonifácio";1;1;1;1;1;6;11
"Lajeado";-;1;1;7;2;7;18
"Lapa";-;-;-;2;1;9;12
"Liberdade";-;-;-;1;2;8;11
"Limão";-;-;1;4;7;7;19
"Mandaqui";-;1;-;3;2;14;20
"Marsilac";-;-;-;-;2;-;2
"Moema";-;-;-;1;2;1;4
"Moóca";1;-;2;3;2;3;11
"Morumbi";-;-;2;1;1;3;7
"Parelheiros";-;1;3;5;3;6;18
"Pari";-;-;-;1;1;2;4
"Parque do Carmo";-;-;1;-;2;5;8
"Pedreira";-;-;2;3;2;5;12
"Penha";-;-;-;2;4;15;21
"Perdizes";-;-;-;-;-;8;8
"Perus";-;-;2;2;5;8;17
"Pinheiros";-;-;-;2;4;3;9
"Pirituba";1;2;2;9;4;12;30
"Ponte Rasa";-;-;1;2;3;11;17
"Raposo Tavares";-;2;-;1;3;5;11
"República";-;-;-;-;1;2;3
"Rio Pequeno";-;-;1;2;2;8;13
"Sacomã";-;-;3;5;4;17;29
"Santa Cecília";-;1;-;2;1;6;10
"Santana";-;1;-;-;3;15;19
"Santo Amaro";-;-;-;-;5;10;15
"São Domingos";-;-;1;4;4;6;15
"São Lucas";-;-;1;4;8;15;28
"São Mateus";-;-;2;8;2;13;25
"São Miguel";1;-;4;2;3;7;17
"São Rafael";-;-;3;-;4;6;13
"Sapopemba";-;2;1;7;12;19;41
"Saúde";-;-;-;1;1;9;11
"Sé";-;-;-;1;1;-;2
"Socorro";-;-;-;2;-;5;7
"Tatuapé";-;-;-;-;1;7;8
"Tremembé";-;2;3;4;9;13;31
"Tucuruvi";-;1;1;2;3;8;15
"Vila Andrade";-;-;1;1;4;6;12
"Vila Curuçá";-;1;2;4;4;10;21
"Vila Formosa";-;-;1;2;1;14;18
"Vila Guilherme";-;-;2;-;-;1;3
"Vila Jacuí";-;-;1;2;4;11;18
"Vila Leopoldina";-;-;-;-;1;-;1
"Vila Maria";-;-;1;-;-;6;7
"Vila Mariana";-;-;-;2;1;11;14
"Vila Matilde";-;-;1;4;6;6;17
"Vila Medeiros";-;-;1;3;9;15;28
"Vila Prudente";-;-;-;2;5;7;14
"Vila Sônia";-;-;1;-;2;11;14
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;1;1;1;3
"Total";5;38;111;230;328;796;1508
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
