Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C50 Neopl malig da mama
Período:2022
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;2;1;3;10;17
"Alto de Pinheiros";-;-;-;-;2;2;2;6
"Anhanguera";-;-;1;1;2;-;-;4
"Aricanduva";-;1;2;4;1;2;-;10
"Artur Alvim";-;1;2;5;4;1;8;21
"Barra Funda";-;-;-;1;1;1;1;4
"Bela Vista";-;-;1;1;4;1;3;10
"Belém";-;-;2;-;1;1;3;7
"Bom Retiro";-;-;-;-;1;-;1;2
"Brás";-;-;1;-;-;-;-;1
"Brasilândia";-;4;4;8;6;7;5;34
"Butantã";-;-;1;2;-;3;3;9
"Cachoeirinha";-;-;3;5;10;3;3;24
"Cambuci";-;-;-;1;1;2;1;5
"Campo Belo";-;-;-;-;-;1;4;5
"Campo Grande";-;-;2;1;4;5;10;22
"Campo Limpo";-;1;3;5;4;2;3;18
"Cangaíba";-;1;1;1;6;4;3;16
"Capão Redondo";-;2;2;6;10;3;2;25
"Carrão";-;-;-;1;1;3;5;10
"Casa Verde";-;-;-;-;3;4;3;10
"Cidade Ademar";-;-;1;1;1;6;1;10
"Cidade Dutra";-;-;2;3;3;8;5;21
"Cidade Líder";-;1;1;5;2;-;1;10
"Cidade Tiradentes";-;-;3;7;3;4;3;20
"Consolação";-;-;1;-;-;1;2;4
"Cursino";-;1;-;3;4;2;5;15
"Ermelino Matarazzo";-;-;-;1;2;5;-;8
"Freguesia do Ó";-;2;2;5;4;3;6;22
"Grajaú";1;3;7;7;7;4;2;31
"Guaianases";-;1;1;3;3;2;1;11
"Iguatemi";-;-;1;2;2;1;-;6
"Ipiranga";-;-;2;5;4;3;6;20
"Itaim Bibi";-;-;2;1;-;3;4;10
"Itaim Paulista";-;-;4;1;3;1;2;11
"Itaquera";-;3;4;4;6;2;3;22
"Jabaquara";-;2;5;-;5;3;17;32
"Jaçanã";-;-;1;3;4;3;2;13
"Jaguara";-;-;-;1;1;1;2;5
"Jaguaré";-;1;-;-;-;1;5;7
"Jaraguá";-;1;2;5;3;9;6;26
"Jardim Ângela";-;-;7;8;7;1;1;24
"Jardim Helena";-;-;2;3;4;4;4;17
"Jardim Paulista";-;-;-;-;1;4;5;10
"Jardim São Luís";-;2;3;5;6;8;4;28
"José Bonifácio";-;1;1;3;6;-;4;15
"Lajeado";-;2;4;2;3;2;4;17
"Lapa";-;-;-;-;1;3;7;11
"Liberdade";-;-;-;1;2;5;3;11
"Limão";-;1;1;3;3;2;6;16
"Mandaqui";-;1;-;1;2;4;2;10
"Marsilac";-;-;-;1;-;-;-;1
"Moema";-;-;1;-;4;-;5;10
"Moóca";-;-;1;3;1;2;4;11
"Morumbi";-;-;-;-;-;-;1;1
"Parelheiros";-;-;2;3;3;3;-;11
"Pari";-;-;-;1;-;-;-;1
"Parque do Carmo";-;-;1;1;3;5;2;12
"Pedreira";-;1;2;2;4;4;3;16
"Penha";-;1;-;2;1;4;6;14
"Perdizes";-;1;-;1;2;3;7;14
"Perus";-;2;1;2;1;2;-;8
"Pinheiros";-;-;-;2;-;3;3;8
"Pirituba";-;3;5;4;2;4;4;22
"Ponte Rasa";-;-;1;-;2;5;1;9
"Raposo Tavares";-;-;1;2;3;5;4;15
"República";-;-;1;1;1;1;-;4
"Rio Pequeno";-;1;-;2;2;1;5;11
"Sacomã";-;1;3;4;7;4;10;29
"Santa Cecília";-;-;-;1;3;2;2;8
"Santana";-;-;-;1;8;3;13;25
"Santo Amaro";-;-;-;1;1;2;5;9
"São Domingos";-;-;2;2;2;2;1;9
"São Lucas";-;1;-;1;5;-;6;13
"São Mateus";-;-;2;1;3;5;2;13
"São Miguel";-;-;4;5;1;3;5;18
"São Rafael";-;1;3;3;5;1;1;14
"Sapopemba";-;2;1;8;10;5;7;33
"Saúde";-;-;1;-;3;5;11;20
"Sé";-;-;2;-;1;-;-;3
"Socorro";-;-;1;1;-;2;-;4
"Tatuapé";-;-;-;2;3;4;4;13
"Tremembé";-;1;4;4;6;7;4;26
"Tucuruvi";-;-;2;2;2;4;7;17
"Vila Andrade";-;-;1;3;1;3;3;11
"Vila Curuçá";-;1;3;4;4;1;5;18
"Vila Formosa";-;-;2;3;2;3;3;13
"Vila Guilherme";-;-;1;3;2;-;6;12
"Vila Jacuí";-;1;-;4;4;4;2;15
"Vila Leopoldina";-;-;-;2;-;1;1;4
"Vila Maria";-;-;-;5;5;3;7;20
"Vila Mariana";-;-;1;2;1;8;14;26
"Vila Matilde";-;-;2;3;3;3;5;16
"Vila Medeiros";-;-;-;-;1;5;8;14
"Vila Prudente";-;-;-;1;2;-;-;3
"Vila Sônia";-;-;1;-;-;3;7;11
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;2;-;2;1;1;6
"Total";1;49;137;220;270;269;368;1314
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
