Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C50 Neopl malig da mama
Período:2018
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;2;2;3;13;20
"Alto de Pinheiros";-;-;1;-;1;-;1;3
"Anhanguera";-;-;1;1;1;-;-;3
"Aricanduva";-;-;1;3;2;5;3;14
"Artur Alvim";-;-;3;3;1;3;7;17
"Barra Funda";-;-;-;-;-;1;4;5
"Bela Vista";-;-;1;-;1;3;6;11
"Belém";-;-;-;1;4;1;4;10
"Bom Retiro";-;-;-;1;2;2;4;9
"Brás";-;-;-;-;1;-;1;2
"Brasilândia";-;3;1;5;6;3;3;21
"Butantã";-;-;2;1;2;1;5;11
"Cachoeirinha";-;-;1;3;5;4;4;17
"Cambuci";-;-;-;-;-;1;1;2
"Campo Belo";-;-;1;-;2;3;6;12
"Campo Grande";-;-;2;1;4;6;4;17
"Campo Limpo";-;1;4;6;4;6;6;27
"Cangaíba";-;-;2;6;6;6;5;25
"Capão Redondo";-;-;4;9;3;8;3;27
"Carrão";-;-;1;-;1;3;5;10
"Casa Verde";-;-;2;4;7;1;5;19
"Cidade Ademar";-;-;4;6;13;6;6;35
"Cidade Dutra";-;-;5;5;2;4;4;20
"Cidade Líder";-;-;3;7;1;2;3;16
"Cidade Tiradentes";-;-;1;6;5;3;2;17
"Consolação";-;-;-;-;1;3;3;7
"Cursino";-;-;1;3;3;7;8;22
"Ermelino Matarazzo";-;1;1;4;2;3;3;14
"Freguesia do Ó";-;1;3;3;6;4;11;28
"Grajaú";-;1;6;11;5;5;3;31
"Guaianases";-;-;4;4;3;1;-;12
"Iguatemi";-;-;1;2;2;3;-;8
"Ipiranga";-;2;2;1;2;6;4;17
"Itaim Bibi";-;1;2;1;2;5;9;20
"Itaim Paulista";-;-;3;3;5;3;3;17
"Itaquera";-;-;1;4;6;1;4;16
"Jabaquara";1;-;3;7;7;11;7;36
"Jaçanã";-;-;1;1;5;4;4;15
"Jaguara";-;-;-;-;3;-;1;4
"Jaguaré";-;-;1;2;1;2;2;8
"Jaraguá";-;1;4;4;4;6;3;22
"Jardim Ângela";-;-;3;6;3;3;1;16
"Jardim Helena";1;1;2;1;1;1;1;8
"Jardim Paulista";-;-;2;1;2;4;4;13
"Jardim São Luís";-;-;4;10;5;6;4;29
"José Bonifácio";-;-;3;-;3;3;7;16
"Lajeado";-;-;1;3;4;3;1;12
"Lapa";-;-;-;4;1;1;7;13
"Liberdade";-;-;-;2;3;-;2;7
"Limão";-;-;-;5;2;4;6;17
"Mandaqui";-;-;3;3;2;4;3;15
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;1;3;3;5;12
"Moóca";-;-;1;2;3;3;6;15
"Morumbi";-;-;-;3;1;2;2;8
"Parelheiros";-;-;2;1;2;2;-;7
"Pari";-;-;-;-;-;1;1;2
"Parque do Carmo";-;1;1;1;-;4;1;8
"Pedreira";-;1;3;5;4;1;3;17
"Penha";-;2;2;5;7;5;3;24
"Perdizes";-;1;4;4;4;1;8;22
"Perus";-;-;2;1;2;5;-;10
"Pinheiros";-;-;1;1;2;1;7;12
"Pirituba";-;-;-;4;4;5;10;23
"Ponte Rasa";-;1;2;2;2;-;5;12
"Raposo Tavares";-;2;2;-;2;3;5;14
"República";-;-;-;1;2;-;3;6
"Rio Pequeno";-;-;2;2;8;3;3;18
"Sacomã";-;1;1;5;10;4;5;26
"Santa Cecília";-;-;1;4;1;6;7;19
"Santana";-;-;-;2;4;3;10;19
"Santo Amaro";-;-;-;1;5;4;9;19
"São Domingos";-;-;-;1;3;1;1;6
"São Lucas";-;1;1;3;7;5;7;24
"São Mateus";-;2;1;5;5;5;5;23
"São Miguel";-;-;1;7;1;4;4;17
"São Rafael";-;-;2;3;1;4;-;10
"Sapopemba";-;-;4;6;6;7;5;28
"Saúde";-;-;1;4;7;4;8;24
"Sé";-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;1;-;3;4
"Tatuapé";-;1;3;1;3;3;5;16
"Tremembé";-;4;2;7;6;1;8;28
"Tucuruvi";-;-;-;2;7;2;10;21
"Vila Andrade";-;2;1;-;1;2;-;6
"Vila Curuçá";-;-;2;4;5;7;1;19
"Vila Formosa";-;-;3;2;5;3;7;20
"Vila Guilherme";-;-;1;-;4;1;6;12
"Vila Jacuí";-;-;1;4;1;3;-;9
"Vila Leopoldina";-;-;-;-;1;2;2;5
"Vila Maria";-;-;-;1;4;3;2;10
"Vila Mariana";-;1;-;2;6;5;9;23
"Vila Matilde";-;-;1;5;4;-;9;19
"Vila Medeiros";-;-;1;3;5;4;3;16
"Vila Prudente";-;1;1;1;2;3;4;12
"Vila Sônia";-;-;1;3;1;5;4;14
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;1;1
"Total";2;33;142;264;311;298;403;1453
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
