Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C50 Neopl malig da mama
Período:2020
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;1;8;2;9;21
"Alto de Pinheiros";-;-;-;-;1;1;2;4
"Anhanguera";-;1;-;2;1;1;-;5
"Aricanduva";-;-;1;2;2;4;2;11
"Artur Alvim";-;-;4;2;3;2;2;13
"Barra Funda";-;-;-;-;-;1;3;4
"Bela Vista";-;-;3;1;2;5;3;14
"Belém";-;-;-;-;-;-;4;4
"Bom Retiro";-;-;-;-;1;-;2;3
"Brás";-;-;-;2;2;-;1;5
"Brasilândia";1;-;6;8;4;3;3;25
"Butantã";-;-;1;-;1;2;3;7
"Cachoeirinha";-;-;1;7;6;3;2;19
"Cambuci";-;-;-;-;1;2;2;5
"Campo Belo";-;-;-;1;6;2;1;10
"Campo Grande";-;1;-;1;3;9;4;18
"Campo Limpo";-;-;4;6;4;1;2;17
"Cangaíba";-;-;3;1;10;9;3;26
"Capão Redondo";-;1;2;7;8;3;6;27
"Carrão";-;-;1;2;-;6;1;10
"Casa Verde";-;-;1;1;3;2;4;11
"Cidade Ademar";-;2;3;4;5;5;4;23
"Cidade Dutra";-;-;2;5;9;4;7;27
"Cidade Líder";-;-;2;-;2;-;3;7
"Cidade Tiradentes";-;2;1;5;4;5;2;19
"Consolação";-;-;2;-;2;2;4;10
"Cursino";-;-;-;3;7;2;4;16
"Ermelino Matarazzo";-;-;2;1;2;2;4;11
"Freguesia do Ó";-;-;1;4;6;4;6;21
"Grajaú";-;3;4;6;8;10;4;35
"Guaianases";-;-;2;2;3;1;1;9
"Iguatemi";-;-;3;3;1;-;-;7
"Ipiranga";-;-;-;2;-;5;5;12
"Itaim Bibi";-;-;1;-;2;5;7;15
"Itaim Paulista";-;-;2;5;3;2;4;16
"Itaquera";-;1;-;3;-;4;4;12
"Jabaquara";-;-;3;6;4;11;11;35
"Jaçanã";-;-;1;1;5;4;1;12
"Jaguara";-;-;-;1;2;-;1;4
"Jaguaré";-;-;-;-;1;-;-;1
"Jaraguá";-;1;3;3;6;1;3;17
"Jardim Ângela";-;2;6;2;6;4;-;20
"Jardim Helena";1;2;2;3;4;2;-;14
"Jardim Paulista";-;-;-;1;1;2;8;12
"Jardim São Luís";-;-;7;5;7;3;3;25
"José Bonifácio";-;-;-;3;3;1;3;10
"Lajeado";-;-;4;2;3;6;-;15
"Lapa";-;-;1;1;3;3;5;13
"Liberdade";-;-;2;1;1;2;8;14
"Limão";-;-;-;3;3;2;3;11
"Mandaqui";-;1;-;1;3;1;3;9
"Marsilac";-;-;-;-;2;1;-;3
"Moema";-;-;1;1;2;4;8;16
"Moóca";-;-;1;1;1;2;6;11
"Morumbi";-;-;-;-;-;-;2;2
"Parelheiros";-;1;1;3;-;5;2;12
"Pari";-;-;-;-;-;-;2;2
"Parque do Carmo";-;-;1;2;-;2;2;7
"Pedreira";-;-;3;3;1;1;1;9
"Penha";-;-;1;2;5;3;6;17
"Perdizes";-;-;2;1;1;4;9;17
"Perus";-;1;-;1;3;-;1;6
"Pinheiros";-;-;-;1;-;5;8;14
"Pirituba";-;1;2;4;5;5;3;20
"Ponte Rasa";-;-;-;2;4;3;4;13
"Raposo Tavares";-;-;1;3;3;1;2;10
"República";-;1;1;2;2;-;1;7
"Rio Pequeno";-;1;1;4;1;2;4;13
"Sacomã";-;-;4;6;6;6;6;28
"Santa Cecília";-;-;4;1;-;1;2;8
"Santana";-;-;3;2;4;4;6;19
"Santo Amaro";-;1;-;1;1;4;9;16
"São Domingos";-;-;-;3;2;1;3;9
"São Lucas";-;-;1;2;4;1;2;10
"São Mateus";-;-;4;3;4;2;1;14
"São Miguel";-;-;1;-;3;2;2;8
"São Rafael";1;-;1;3;1;-;1;7
"Sapopemba";-;-;5;7;10;5;6;33
"Saúde";-;-;1;6;4;3;16;30
"Sé";-;-;-;-;1;2;-;3
"Socorro";-;-;-;-;1;2;1;4
"Tatuapé";-;-;1;1;3;2;4;11
"Tremembé";-;1;4;7;5;5;3;25
"Tucuruvi";-;1;-;2;3;3;5;14
"Vila Andrade";-;-;1;1;2;4;2;10
"Vila Curuçá";-;3;-;3;4;1;4;15
"Vila Formosa";-;-;-;1;2;4;2;9
"Vila Guilherme";-;1;-;1;-;-;5;7
"Vila Jacuí";-;-;-;2;2;1;2;7
"Vila Leopoldina";-;-;-;1;3;3;-;7
"Vila Maria";-;-;1;3;1;2;5;12
"Vila Mariana";-;-;2;1;4;5;10;22
"Vila Matilde";-;-;-;2;3;3;7;15
"Vila Medeiros";-;-;-;1;2;6;5;14
"Vila Prudente";-;-;2;2;4;2;6;16
"Vila Sônia";-;-;3;1;6;2;3;15
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;1;2;5;-;1;9
"Total";3;29;136;215;292;265;347;1287
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
