Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2024
"Distrito Admin residência";"<1 Ano";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;-;2;5;15;-;22
"Alto de Pinheiros";-;-;-;-;-;-;-;-;10;-;10
"Anhanguera";-;-;-;-;-;1;1;4;4;-;10
"Aricanduva";-;-;-;-;1;2;4;8;10;-;25
"Artur Alvim";-;-;-;-;-;-;5;3;18;-;26
"Barra Funda";-;-;-;-;-;-;1;3;-;-;4
"Bela Vista";-;-;-;-;-;1;3;2;5;-;11
"Belém";-;-;-;-;1;-;1;3;6;-;11
"Bom Retiro";-;-;-;-;-;1;1;2;9;-;13
"Brás";-;-;-;-;1;-;1;5;6;-;13
"Brasilândia";-;-;-;-;-;2;11;21;19;-;53
"Butantã";-;-;-;-;-;-;3;3;12;-;18
"Cachoeirinha";-;-;-;-;2;1;8;7;16;-;34
"Cambuci";-;-;-;-;-;-;1;1;3;-;5
"Campo Belo";-;-;-;-;2;3;-;1;10;-;16
"Campo Grande";-;-;-;1;-;3;5;8;19;-;36
"Campo Limpo";-;-;-;-;5;5;5;10;19;-;44
"Cangaíba";-;-;-;1;-;1;6;12;19;-;39
"Capão Redondo";-;-;3;3;2;6;15;22;33;-;84
"Carrão";-;-;-;-;-;2;5;2;10;-;19
"Casa Verde";-;-;-;-;-;1;6;9;20;-;36
"Cidade Ademar";-;-;-;1;6;5;18;24;29;-;83
"Cidade Dutra";-;-;-;2;1;1;13;9;26;-;52
"Cidade Líder";-;-;-;1;1;2;4;14;10;-;32
"Cidade Tiradentes";-;-;-;-;1;2;6;11;14;-;34
"Consolação";-;-;-;-;-;-;-;1;9;-;10
"Cursino";-;-;-;1;-;3;6;11;20;-;41
"Ermelino Matarazzo";-;-;-;-;-;1;-;6;12;-;19
"Freguesia do Ó";-;-;-;-;1;1;5;16;30;-;53
"Grajaú";-;-;-;2;6;15;22;17;35;-;97
"Guaianases";-;-;-;-;1;4;4;5;5;-;19
"Iguatemi";-;-;-;-;3;1;6;11;7;-;28
"Ipiranga";-;-;-;-;2;-;8;9;14;-;33
"Itaim Bibi";-;-;-;-;1;3;3;6;12;-;25
"Itaim Paulista";-;-;-;2;1;6;8;10;21;-;48
"Itaquera";-;-;-;1;-;1;5;9;20;-;36
"Jabaquara";-;-;2;3;2;2;9;11;46;-;75
"Jaçanã";-;-;-;-;1;1;9;2;10;-;23
"Jaguara";-;-;-;-;-;-;1;1;5;-;7
"Jaguaré";-;-;-;-;1;-;3;3;4;-;11
"Jaraguá";-;-;-;-;-;2;11;15;11;-;39
"Jardim Ângela";-;1;1;-;2;8;22;14;31;-;79
"Jardim Helena";-;-;-;1;-;2;9;5;15;-;32
"Jardim Paulista";-;-;-;-;-;1;2;4;17;-;24
"Jardim São Luís";-;-;3;-;1;8;17;13;25;-;67
"José Bonifácio";-;-;-;4;1;-;2;10;8;-;25
"Lajeado";-;-;-;-;1;4;8;4;11;-;28
"Lapa";-;-;-;-;-;1;-;5;18;-;24
"Liberdade";-;-;-;-;2;2;1;6;5;-;16
"Limão";-;-;-;-;-;2;8;2;11;-;23
"Mandaqui";-;-;-;-;-;1;8;4;13;-;26
"Marsilac";-;-;-;-;-;-;-;1;1;-;2
"Moema";-;-;-;-;-;2;-;4;7;-;13
"Moóca";-;-;-;-;-;-;2;4;14;-;20
"Morumbi";-;-;-;-;1;1;2;-;7;-;11
"Parelheiros";-;-;2;-;-;9;6;11;15;-;43
"Pari";-;-;-;-;-;-;-;1;2;-;3
"Parque do Carmo";-;-;-;1;-;1;1;2;6;-;11
"Pedreira";1;-;2;1;2;2;2;5;15;-;30
"Penha";-;-;-;1;1;1;4;6;26;-;39
"Perdizes";-;-;-;-;-;-;3;5;15;-;23
"Perus";-;-;-;-;-;1;3;7;6;-;17
"Pinheiros";-;-;-;-;-;1;2;-;11;-;14
"Pirituba";-;-;1;1;2;1;7;20;29;-;61
"Ponte Rasa";-;-;-;-;-;-;4;4;8;-;16
"Raposo Tavares";-;-;1;-;2;-;5;5;16;-;29
"República";-;-;-;-;-;3;5;2;6;-;16
"Rio Pequeno";-;-;-;-;1;2;3;8;13;-;27
"Sacomã";-;-;-;2;2;9;15;22;40;-;90
"Santa Cecília";-;-;-;-;-;2;3;3;16;-;24
"Santana";-;-;-;-;-;-;1;7;19;-;27
"Santo Amaro";-;-;-;-;-;-;1;6;5;-;12
"São Domingos";-;-;-;-;1;1;4;5;11;-;22
"São Lucas";-;-;-;-;1;-;3;8;24;-;36
"São Mateus";-;-;-;-;1;1;5;11;19;-;37
"São Miguel";-;-;-;-;-;2;2;7;14;-;25
"São Rafael";-;-;-;1;-;3;8;9;10;-;31
"Sapopemba";-;-;-;-;2;1;10;18;31;-;62
"Saúde";-;-;-;-;1;-;4;2;31;-;38
"Sé";-;-;-;-;1;-;1;1;3;-;6
"Socorro";-;-;-;-;-;-;2;3;5;-;10
"Tatuapé";-;-;-;-;-;1;2;4;10;-;17
"Tremembé";-;-;-;-;4;2;9;18;28;-;61
"Tucuruvi";-;-;-;-;-;1;-;7;15;-;23
"Vila Andrade";-;-;-;-;2;-;4;5;9;-;20
"Vila Curuçá";-;-;-;-;-;4;6;9;17;-;36
"Vila Formosa";-;-;-;-;1;-;4;13;12;-;30
"Vila Guilherme";-;-;-;-;-;-;3;3;10;-;16
"Vila Jacuí";-;-;-;-;1;2;6;9;7;-;25
"Vila Leopoldina";-;-;-;-;-;-;-;-;6;-;6
"Vila Maria";-;-;-;-;-;2;2;8;21;-;33
"Vila Mariana";-;-;-;-;-;1;2;7;24;-;34
"Vila Matilde";-;-;1;-;-;2;3;10;17;-;33
"Vila Medeiros";-;-;-;1;2;-;9;12;17;-;41
"Vila Prudente";-;-;-;1;1;1;3;2;16;-;24
"Vila Sônia";-;-;-;-;-;-;2;8;11;-;21
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;2;2;5;7;10;4;4;34
"Total";1;1;16;34;80;172;472;701;1406;4;2887
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
