Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2022
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;2;2;4;16;-;24
"Alto de Pinheiros";-;-;-;-;-;1;2;10;-;13
"Anhanguera";-;-;-;1;-;1;3;3;-;8
"Aricanduva";-;-;-;-;-;5;5;15;-;25
"Artur Alvim";-;-;-;-;1;6;5;9;-;21
"Barra Funda";-;-;-;-;-;1;1;1;-;3
"Bela Vista";-;-;1;-;2;3;1;10;-;17
"Belém";-;-;-;1;-;1;4;5;-;11
"Bom Retiro";-;-;-;-;-;4;1;6;-;11
"Brás";-;-;-;2;1;2;2;1;-;8
"Brasilândia";-;2;1;3;3;13;16;28;-;66
"Butantã";-;-;-;-;1;-;4;8;-;13
"Cachoeirinha";-;-;-;1;2;4;9;13;-;29
"Cambuci";-;-;-;-;-;3;2;4;-;9
"Campo Belo";-;-;-;-;-;5;5;9;-;19
"Campo Grande";-;-;1;-;2;2;12;13;-;30
"Campo Limpo";-;-;3;3;3;5;7;21;-;42
"Cangaíba";-;-;-;-;2;5;5;12;-;24
"Capão Redondo";1;1;1;5;7;16;12;27;-;70
"Carrão";-;-;-;-;1;4;5;16;-;26
"Casa Verde";-;-;-;-;-;1;6;15;-;22
"Cidade Ademar";-;-;5;3;16;18;21;34;-;97
"Cidade Dutra";-;1;2;3;10;16;18;30;-;80
"Cidade Líder";-;1;-;-;2;8;12;8;-;31
"Cidade Tiradentes";-;-;-;1;6;5;7;13;-;32
"Consolação";-;-;-;1;1;-;1;8;-;11
"Cursino";-;-;1;2;-;7;8;22;-;40
"Ermelino Matarazzo";-;-;-;1;3;-;8;7;-;19
"Freguesia do Ó";-;-;1;-;2;4;7;30;-;44
"Grajaú";-;3;5;5;13;29;29;43;-;127
"Guaianases";-;-;-;-;-;6;5;9;-;20
"Iguatemi";-;-;-;1;1;4;5;7;-;18
"Ipiranga";-;-;1;3;2;10;8;15;-;39
"Itaim Bibi";-;-;-;-;-;1;3;10;-;14
"Itaim Paulista";-;-;-;1;4;9;9;11;-;34
"Itaquera";-;-;-;1;3;4;11;18;-;37
"Jabaquara";-;-;1;6;6;8;11;19;-;51
"Jaçanã";-;-;1;-;2;2;5;12;-;22
"Jaguara";-;-;-;-;-;2;2;1;-;5
"Jaguaré";-;-;-;-;-;1;1;3;-;5
"Jaraguá";-;-;-;1;2;7;13;13;-;36
"Jardim Ângela";1;-;4;5;10;14;21;19;-;74
"Jardim Helena";-;-;-;-;4;4;8;6;-;22
"Jardim Paulista";-;-;-;-;-;-;1;14;-;15
"Jardim São Luís";-;1;4;2;8;10;18;25;-;68
"José Bonifácio";-;-;-;-;3;3;13;14;-;33
"Lajeado";-;-;-;2;1;6;4;10;-;23
"Lapa";-;-;-;-;-;2;1;10;-;13
"Liberdade";-;-;-;1;-;1;2;7;-;11
"Limão";-;-;1;1;-;1;8;12;-;23
"Mandaqui";-;-;-;1;2;5;2;23;-;33
"Marsilac";-;-;1;-;1;-;-;-;-;2
"Moema";-;-;-;-;1;1;4;8;-;14
"Moóca";-;-;-;-;-;3;4;12;-;19
"Morumbi";-;-;-;-;-;2;1;5;-;8
"Parelheiros";-;1;-;1;9;14;19;9;-;53
"Pari";-;-;-;-;1;-;1;2;-;4
"Parque do Carmo";-;-;-;1;-;1;3;7;-;12
"Pedreira";-;1;-;-;2;10;10;15;-;38
"Penha";-;-;-;1;1;3;7;17;-;29
"Perdizes";-;-;-;-;1;1;5;18;-;25
"Perus";-;1;-;1;1;2;7;7;-;19
"Pinheiros";-;-;-;-;-;1;2;6;-;9
"Pirituba";-;-;2;1;3;9;13;24;-;52
"Ponte Rasa";-;-;-;-;1;8;7;9;-;25
"Raposo Tavares";-;-;-;1;1;2;8;8;-;20
"República";-;-;-;1;-;1;1;5;-;8
"Rio Pequeno";-;-;-;1;-;3;7;11;-;22
"Sacomã";-;-;3;3;6;21;14;35;-;82
"Santa Cecília";-;-;-;-;1;-;2;10;-;13
"Santana";-;-;-;-;-;1;5;23;-;29
"Santo Amaro";-;-;-;-;-;3;2;12;1;18
"São Domingos";-;-;-;2;-;2;8;20;-;32
"São Lucas";-;-;1;1;3;6;9;28;-;48
"São Mateus";-;-;-;-;4;7;10;10;-;31
"São Miguel";-;-;-;-;1;7;3;15;-;26
"São Rafael";-;-;-;1;5;7;9;11;-;33
"Sapopemba";-;-;1;1;3;10;25;42;-;82
"Saúde";-;1;-;-;2;2;4;24;-;33
"Sé";-;-;-;-;-;1;1;-;-;2
"Socorro";-;-;-;1;-;2;3;6;-;12
"Tatuapé";-;-;-;-;1;-;5;8;-;14
"Tremembé";1;-;1;1;1;6;11;29;-;50
"Tucuruvi";-;-;-;-;-;2;9;20;-;31
