Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2019
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;1;1;4;4;18;-;28
"Alto de Pinheiros";-;-;-;-;-;-;1;9;-;10
"Anhanguera";-;-;-;-;1;1;4;2;-;8
"Aricanduva";-;-;-;-;1;6;10;19;-;36
"Artur Alvim";-;-;-;-;1;4;6;18;-;29
"Barra Funda";-;-;-;-;-;-;-;1;-;1
"Bela Vista";-;-;1;-;-;4;1;4;-;10
"Belém";-;-;-;-;-;3;5;7;-;15
"Bom Retiro";-;-;-;-;-;-;-;5;-;5
"Brás";-;-;-;1;-;-;3;5;-;9
"Brasilândia";-;-;-;2;6;10;15;37;-;70
"Butantã";-;-;-;1;-;1;2;9;-;13
"Cachoeirinha";-;-;-;1;2;7;14;21;-;45
"Cambuci";-;-;-;2;1;3;2;5;-;13
"Campo Belo";-;-;-;-;-;1;3;21;-;25
"Campo Grande";-;1;-;-;4;3;2;18;-;28
"Campo Limpo";-;1;1;2;2;9;12;19;-;46
"Cangaíba";-;-;1;-;1;8;11;11;-;32
"Capão Redondo";-;1;2;1;3;16;17;27;-;67
"Carrão";-;-;-;-;2;-;5;15;-;22
"Casa Verde";-;-;-;-;-;1;6;23;-;30
"Cidade Ademar";-;-;1;3;8;13;17;37;-;79
"Cidade Dutra";-;-;1;3;8;8;25;36;-;81
"Cidade Líder";-;-;-;-;1;4;9;19;-;33
"Cidade Tiradentes";-;-;-;1;2;8;11;14;-;36
"Consolação";-;-;-;-;-;1;2;8;-;11
"Cursino";-;-;-;1;2;10;8;19;-;40
"Ermelino Matarazzo";-;-;-;1;1;7;7;10;-;26
"Freguesia do Ó";-;-;-;-;3;10;12;29;-;54
"Grajaú";-;1;-;4;19;16;19;35;-;94
"Guaianases";-;-;-;-;2;8;5;10;-;25
"Iguatemi";-;-;-;1;-;8;6;8;-;23
"Ipiranga";-;1;-;-;2;4;5;19;-;31
"Itaim Bibi";-;-;-;1;-;3;4;13;-;21
"Itaim Paulista";-;-;-;-;5;10;12;10;-;37
"Itaquera";-;-;-;-;2;11;15;27;-;55
"Jabaquara";-;1;-;-;7;16;18;43;-;85
"Jaçanã";-;-;-;-;3;6;5;14;-;28
"Jaguara";-;-;-;-;1;-;1;8;-;10
"Jaguaré";-;-;-;-;-;2;-;6;-;8
"Jaraguá";-;-;-;1;6;9;15;20;-;51
"Jardim Ângela";-;-;3;1;8;16;16;32;-;76
"Jardim Helena";-;-;-;-;2;9;9;17;-;37
"Jardim Paulista";-;-;-;-;-;2;2;16;-;20
"Jardim São Luís";1;1;1;2;4;13;7;31;-;60
"José Bonifácio";-;-;-;1;2;7;9;16;-;35
"Lajeado";-;-;-;2;5;4;12;14;-;37
"Lapa";-;-;-;-;1;2;8;12;-;23
"Liberdade";-;-;-;-;1;-;3;10;-;14
"Limão";-;-;-;1;3;4;6;21;-;35
"Mandaqui";-;-;-;1;1;5;7;17;-;31
"Marsilac";-;-;-;-;2;-;-;2;-;4
"Moema";-;-;-;2;-;-;2;7;-;11
"Moóca";-;-;-;-;-;1;2;23;-;26
"Morumbi";-;-;-;-;-;3;1;2;-;6
"Parelheiros";-;-;-;2;7;9;11;17;-;46
"Pari";-;-;-;-;1;1;-;3;-;5
"Parque do Carmo";-;-;-;-;-;2;7;7;-;16
"Pedreira";-;-;-;1;4;7;9;11;-;32
"Penha";-;-;-;-;2;3;9;21;-;35
"Perdizes";-;-;-;1;1;4;4;18;-;28
"Perus";-;-;-;1;2;4;3;7;-;17
"Pinheiros";-;-;-;1;-;3;3;7;-;14
"Pirituba";-;-;-;-;4;6;14;28;-;52
"Ponte Rasa";-;-;-;1;-;6;12;24;-;43
"Raposo Tavares";-;-;-;1;1;5;5;17;-;29
"República";-;-;-;1;1;1;3;8;-;14
"Rio Pequeno";-;-;-;-;1;8;10;12;-;31
