Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2021
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;2;-;3;7;-;12
"Alto de Pinheiros";-;-;-;-;-;-;-;1;-;1
"Anhanguera";-;-;-;1;-;-;1;1;-;3
"Aricanduva";-;-;-;-;-;3;4;4;-;11
"Artur Alvim";-;-;-;1;-;2;2;10;-;15
"Barra Funda";-;-;-;-;-;-;2;2;-;4
"Bela Vista";-;-;1;-;1;1;1;8;-;12
"Belém";-;-;-;-;1;3;-;9;-;13
"Bom Retiro";-;-;1;1;-;1;5;1;-;9
"Brás";-;-;-;-;1;-;1;2;-;4
"Brasilândia";-;-;-;1;3;4;10;6;-;24
"Butantã";-;-;-;-;-;-;1;9;-;10
"Cachoeirinha";-;-;1;2;-;3;9;4;-;19
"Cambuci";-;-;-;-;1;-;-;4;-;5
"Campo Belo";-;-;1;1;2;2;3;9;-;18
"Campo Grande";-;-;-;-;-;2;8;10;-;20
"Campo Limpo";-;2;-;3;8;10;7;11;1;42
"Cangaíba";-;-;-;-;-;5;2;6;-;13
"Capão Redondo";-;1;3;2;7;6;13;16;-;48
"Carrão";-;-;-;-;1;1;5;9;-;16
"Casa Verde";-;-;-;1;-;4;2;9;-;16
"Cidade Ademar";-;-;2;4;4;7;9;22;-;48
"Cidade Dutra";-;2;1;5;5;13;8;11;-;45
"Cidade Líder";-;-;-;-;4;2;5;6;-;17
"Cidade Tiradentes";1;-;-;-;5;7;6;1;-;20
"Consolação";-;-;-;-;1;-;1;11;-;13
"Cursino";-;-;-;1;3;4;7;17;-;32
"Ermelino Matarazzo";-;-;-;1;-;2;2;5;-;10
"Freguesia do Ó";-;1;-;-;-;-;6;10;-;17
"Grajaú";-;1;5;6;17;11;22;24;-;86
"Guaianases";-;-;-;-;-;2;3;2;-;7
"Iguatemi";-;-;1;-;3;7;-;1;-;12
"Ipiranga";-;-;-;2;1;4;1;9;-;17
"Itaim Bibi";-;-;-;1;-;1;2;15;-;19
"Itaim Paulista";-;-;-;1;-;-;4;7;-;12
"Itaquera";-;-;1;-;-;4;6;6;-;17
"Jabaquara";-;-;-;5;6;5;15;19;-;50
"Jaçanã";-;-;-;-;-;4;1;3;-;8
"Jaguara";-;-;-;-;-;-;1;-;-;1
"Jaguaré";-;-;-;-;-;4;1;3;-;8
"Jaraguá";-;-;-;2;-;3;7;6;-;18
"Jardim Ângela";-;2;3;2;15;6;10;5;-;43
"Jardim Helena";-;-;-;-;3;-;1;4;-;8
"Jardim Paulista";-;-;-;-;-;1;2;7;1;11
"Jardim São Luís";-;-;3;3;2;8;6;15;-;37
"José Bonifácio";-;-;-;-;-;2;-;6;-;8
"Lajeado";-;-;-;-;-;3;3;4;-;10
"Lapa";-;-;-;-;2;-;1;12;-;15
"Liberdade";-;-;-;-;1;2;5;3;-;11
"Limão";-;-;-;-;-;1;2;9;-;12
"Mandaqui";-;-;-;-;2;4;3;5;-;14
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;1;3;3;9;-;16
"Moóca";-;-;-;-;-;2;1;8;-;11
"Morumbi";-;-;-;-;1;-;3;5;-;9
"Parelheiros";-;1;-;3;3;8;6;10;-;31
"Pari";-;-;-;1;1;-;-;-;-;2
"Parque do Carmo";-;-;-;1;2;-;1;2;-;6
"Pedreira";-;-;-;1;2;4;9;2;-;18
"Penha";-;-;-;-;-;2;6;13;-;21
"Perdizes";-;-;-;-;1;3;2;7;-;13
"Perus";-;-;-;-;2;1;-;2;-;5
"Pinheiros";-;-;-;1;-;1;1;9;-;12
"Pirituba";-;-;-;-;1;4;6;7;-;18
"Ponte Rasa";-;-;-;1;-;2;2;6;-;11
"Raposo Tavares";-;-;-;-;-;2;2;6;-;10
"República";-;-;-;-;-;-;3;7;-;10
"Rio Pequeno";-;-;-;-;1;1;3;8;-;13
"Sacomã";-;-;-;3;9;7;10;17;-;46
"Santa Cecília";-;-;-;-;-;1;2;11;-;14
"Santana";-;-;-;-;-;4;7;9;-;20
"Santo Amaro";-;-;-;-;-;2;4;12;-;18
"São Domingos";-;-;-;-;-;-;3;5;-;8
"São Lucas";-;-;-;-;1;3;5;19;-;28
"São Mateus";-;-;-;-;1;4;3;9;-;17
"São Miguel";-;-;-;1;1;2;2;4;-;10
"São Rafael";-;-;-;1;1;3;6;5;-;16
"Sapopemba";-;-;-;2;2;6;7;12;-;29
"Saúde";-;-;-;-;-;2;5;18;-;25
"Sé";-;-;-;-;1;-;1;1;-;3
