Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I11 Doenc cardiaca hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2022
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;3;6;12;21
"Alto de Pinheiros";-;-;-;-;-;-;5;5
"Anhanguera";-;-;-;4;2;3;1;10
"Aricanduva";-;-;-;1;3;1;11;16
"Artur Alvim";-;1;-;3;2;-;12;18
"Barra Funda";-;-;-;-;-;-;3;3
"Bela Vista";-;-;-;-;-;1;10;11
"Belém";-;1;-;-;1;1;5;8
"Bom Retiro";-;-;-;-;2;1;3;6
"Brás";-;-;-;1;1;1;2;5
"Brasilândia";-;-;2;9;10;5;16;42
"Butantã";-;-;-;-;-;-;4;4
"Cachoeirinha";-;-;-;2;7;4;15;28
"Cambuci";-;-;-;-;1;2;3;6
"Campo Belo";-;-;-;1;2;1;9;13
"Campo Grande";-;-;-;1;2;3;5;11
"Campo Limpo";1;-;1;3;2;11;13;31
"Cangaíba";-;-;1;-;1;7;16;25
"Capão Redondo";-;-;-;7;7;12;17;43
"Carrão";-;-;1;-;3;4;8;16
"Casa Verde";-;-;-;-;2;6;5;13
"Cidade Ademar";-;-;3;2;5;9;21;40
"Cidade Dutra";-;-;1;1;4;8;15;29
"Cidade Líder";-;-;1;-;4;5;8;18
"Cidade Tiradentes";-;-;-;5;9;8;9;31
"Consolação";-;-;-;-;1;2;4;7
"Cursino";-;-;-;-;3;6;6;15
"Ermelino Matarazzo";-;-;1;4;3;2;7;17
"Freguesia do Ó";-;-;-;1;3;3;17;24
"Grajaú";-;1;1;1;4;5;20;32
"Guaianases";-;-;1;1;2;3;6;13
"Iguatemi";-;1;1;2;3;6;7;20
"Ipiranga";-;-;1;1;1;4;8;15
"Itaim Bibi";-;-;-;-;-;-;9;9
"Itaim Paulista";-;1;1;1;5;9;11;28
"Itaquera";-;-;3;1;1;10;23;38
"Jabaquara";-;-;-;3;4;4;18;29
"Jaçanã";-;-;-;3;5;6;12;26
"Jaguara";-;-;-;-;-;-;7;7
"Jaguaré";-;-;-;-;-;-;3;3
"Jaraguá";-;-;2;4;12;8;13;39
"Jardim Ângela";-;-;1;5;4;12;14;36
"Jardim Helena";-;1;1;1;4;6;9;22
"Jardim Paulista";-;-;-;-;-;-;3;3
"Jardim São Luís";-;-;2;3;7;9;18;39
"José Bonifácio";-;-;-;1;3;6;7;17
"Lajeado";-;1;-;4;5;5;4;19
"Lapa";-;-;-;-;-;-;6;6
"Liberdade";-;-;-;-;1;-;8;9
"Limão";-;-;1;1;2;4;11;19
"Mandaqui";-;-;-;-;4;4;8;16
"Marsilac";-;-;-;1;-;-;-;1
"Moema";-;-;-;-;-;-;1;1
"Moóca";-;-;-;-;2;2;8;12
"Morumbi";-;-;-;2;1;-;1;4
"Parelheiros";-;-;-;1;1;7;7;16
"Pari";-;-;-;-;-;-;1;1
"Parque do Carmo";-;-;1;-;1;1;3;6
"Pedreira";-;-;3;2;4;6;5;20
"Penha";-;-;-;2;4;5;16;27
"Perdizes";-;-;-;-;4;-;7;11
"Perus";-;-;-;1;2;6;4;13
"Pinheiros";-;-;-;-;1;-;1;2
"Pirituba";-;-;-;1;4;8;18;31
"Ponte Rasa";-;-;-;3;4;6;10;23
"Raposo Tavares";-;-;-;-;1;8;8;17
"República";-;-;2;-;-;2;5;9
"Rio Pequeno";-;-;1;2;3;1;5;12
"Sacomã";-;-;-;3;2;2;14;21
"Santa Cecília";-;-;-;-;-;2;5;7
"Santana";-;-;-;-;2;5;10;17
"Santo Amaro";-;-;-;1;-;2;2;5
"São Domingos";-;-;-;2;1;1;7;11
"São Lucas";-;-;-;2;2;7;11;22
"São Mateus";-;-;-;1;7;4;20;32
"São Miguel";-;-;-;1;4;8;16;29
"São Rafael";-;-;-;2;2;1;12;17
"Sapopemba";-;-;2;3;9;12;28;54
"Saúde";-;-;-;1;-;2;6;9
"Sé";-;-;-;1;1;-;1;3
"Socorro";-;-;-;-;-;-;4;4
"Tatuapé";-;-;-;1;-;-;9;10
"Tremembé";-;-;1;5;5;12;15;38
"Tucuruvi";-;-;-;-;3;3;22;28
"Vila Andrade";-;-;-;-;1;3;4;8
"Vila Curuçá";-;-;1;5;6;6;6;24
"Vila Formosa";-;-;-;1;2;4;12;19
"Vila Guilherme";-;-;-;1;3;1;9;14
"Vila Jacuí";-;-;-;1;5;4;9;19
"Vila Leopoldina";-;-;-;1;-;-;5;6
"Vila Maria";-;-;-;-;3;2;8;13
"Vila Mariana";-;-;-;1;-;2;9;12
"Vila Matilde";-;-;-;2;-;3;9;14
"Vila Medeiros";-;-;2;2;2;5;14;25
"Vila Prudente";-;-;-;-;1;4;9;14
"Vila Sônia";-;-;-;-;3;2;9;14
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;1;2;1;4;8
"Total";1;7;39;130;248;363;876;1664
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
