Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I11 Doenc cardiaca hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2025
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;2;1;4;7
"Alto de Pinheiros";-;-;-;1;-;4;5
"Anhanguera";-;-;-;-;1;1;2
"Aricanduva";-;-;-;2;4;12;18
"Artur Alvim";-;-;1;1;3;7;12
"Barra Funda";-;-;-;-;1;-;1
"Bela Vista";-;-;-;-;-;1;1
"Belém";-;-;-;1;3;1;5
"Bom Retiro";-;-;-;-;-;1;1
"Brás";1;-;-;-;-;1;2
"Brasilândia";1;-;2;8;8;10;29
"Butantã";-;-;-;-;-;6;6
"Cachoeirinha";-;-;1;2;3;5;11
"Cambuci";-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;4;4
"Campo Grande";-;1;2;-;2;2;7
"Campo Limpo";-;-;-;2;4;12;18
"Cangaíba";-;-;-;4;1;8;13
"Capão Redondo";-;-;2;2;3;7;14
"Carrão";-;-;1;2;1;4;8
"Casa Verde";-;-;-;-;-;4;4
"Cidade Ademar";-;3;4;6;4;8;25
"Cidade Dutra";-;-;1;1;4;8;14
"Cidade Líder";-;-;-;4;1;6;11
"Cidade Tiradentes";1;1;3;4;2;6;17
"Consolação";-;-;-;-;-;3;3
"Cursino";-;-;-;-;-;4;4
"Ermelino Matarazzo";-;-;-;1;2;8;11
"Freguesia do Ó";-;1;-;1;4;8;14
"Grajaú";-;-;2;6;9;11;28
"Guaianases";1;-;-;1;2;2;6
"Iguatemi";-;-;3;2;4;3;12
"Ipiranga";-;-;-;1;3;3;7
"Itaim Bibi";-;-;-;-;-;13;13
"Itaim Paulista";1;1;2;4;4;4;16
"Itaquera";-;-;2;2;7;7;18
"Jabaquara";-;1;1;1;3;7;13
"Jaçanã";-;-;1;1;3;4;9
"Jaguara";-;-;1;-;1;2;4
"Jaguaré";-;-;-;1;1;3;5
"Jaraguá";-;-;3;2;3;6;14
"Jardim Ângela";1;-;6;5;5;3;20
"Jardim Helena";-;-;1;4;3;6;14
"Jardim Paulista";-;-;-;-;1;1;2
"Jardim São Luís";-;1;3;-;9;9;22
"José Bonifácio";-;-;-;3;3;3;9
"Lajeado";-;-;1;2;9;5;17
"Lapa";-;-;-;-;-;7;7
"Liberdade";-;-;-;-;1;5;6
"Limão";-;1;-;1;1;3;6
"Mandaqui";-;-;-;1;2;4;7
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;3;3
"Moóca";-;-;-;-;2;3;5
"Morumbi";-;-;1;-;-;2;3
"Parelheiros";-;1;2;-;3;4;10
"Pari";-;-;-;-;1;-;1
"Parque do Carmo";-;-;-;-;2;5;7
"Pedreira";1;-;-;3;1;2;7
"Penha";-;1;-;2;4;7;14
"Perdizes";-;-;1;1;-;4;6
"Perus";-;-;1;1;-;3;5
"Pinheiros";-;-;-;1;1;5;7
"Pirituba";-;-;1;2;3;16;22
"Ponte Rasa";-;-;-;1;2;6;9
"Raposo Tavares";-;1;-;1;-;6;8
"República";-;-;-;-;1;3;4
"Rio Pequeno";-;-;-;2;1;2;5
"Sacomã";-;1;2;5;1;7;16
"Santa Cecília";-;-;-;2;-;1;3
"Santana";-;-;-;2;-;5;7
"Santo Amaro";-;-;-;-;1;2;3
"São Domingos";-;-;-;2;2;7;11
"São Lucas";-;1;1;-;5;10;17
"São Mateus";-;1;1;3;1;5;11
"São Miguel";-;-;1;-;2;6;9
"São Rafael";-;1;2;6;3;4;16
"Sapopemba";-;-;1;3;5;18;27
"Saúde";-;-;-;1;2;5;8
"Sé";-;-;-;-;-;1;1
"Socorro";-;-;-;-;-;2;2
"Tatuapé";-;-;-;2;1;5;8
"Tremembé";-;1;1;5;12;7;26
"Tucuruvi";-;-;-;2;-;5;7
"Vila Andrade";-;-;1;1;1;3;6
"Vila Curuçá";-;-;-;1;5;7;13
"Vila Formosa";-;-;1;3;4;6;14
"Vila Guilherme";-;-;-;-;2;4;6
"Vila Jacuí";-;-;2;1;1;2;6
"Vila Leopoldina";-;-;-;-;-;3;3
"Vila Maria";-;-;-;2;2;3;7
"Vila Mariana";-;-;-;-;1;4;5
"Vila Matilde";-;-;-;3;1;5;9
"Vila Medeiros";-;-;3;2;4;6;15
"Vila Prudente";-;-;-;2;-;3;5
"Vila Sônia";-;1;1;-;-;2;4
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;2;3;4;14;23
"Total";7;19;68;146;207;479;926
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
