Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I11 Doenc cardiaca hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2018
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;2;2;6;10
"Alto de Pinheiros";-;-;-;-;-;-;3;3
"Anhanguera";-;-;-;1;1;1;5;8
"Aricanduva";-;-;-;3;3;4;6;16
"Artur Alvim";-;-;-;1;2;5;7;15
"Barra Funda";-;-;-;-;1;-;2;3
"Bela Vista";-;1;-;-;-;2;1;4
"Belém";-;-;-;-;1;2;3;6
"Bom Retiro";-;-;-;-;-;1;3;4
"Brás";-;-;-;3;2;-;-;5
"Brasilândia";-;-;3;3;5;8;11;30
"Butantã";-;-;-;-;-;-;2;2
"Cachoeirinha";1;-;-;1;1;7;7;17
"Cambuci";-;-;-;1;1;1;1;4
"Campo Belo";-;-;-;-;-;1;6;7
"Campo Grande";-;-;-;-;-;2;6;8
"Campo Limpo";-;-;-;3;6;2;13;24
"Cangaíba";-;-;1;-;-;5;6;12
"Capão Redondo";-;-;-;2;5;11;8;26
"Carrão";-;-;1;4;1;1;6;13
"Casa Verde";-;-;-;1;-;2;10;13
"Cidade Ademar";-;-;1;4;11;7;4;27
"Cidade Dutra";-;-;-;1;3;7;8;19
"Cidade Líder";-;-;-;-;5;6;6;17
"Cidade Tiradentes";-;-;2;4;2;8;9;25
"Consolação";-;-;-;-;1;1;1;3
"Cursino";-;-;-;-;1;1;5;7
"Ermelino Matarazzo";-;-;-;2;2;4;5;13
"Freguesia do Ó";-;-;1;2;3;6;7;19
"Grajaú";-;1;2;9;9;7;13;41
"Guaianases";-;-;-;-;6;5;8;19
"Iguatemi";-;-;1;2;1;5;3;12
"Ipiranga";-;-;-;1;4;-;7;12
"Itaim Bibi";-;-;-;-;2;-;9;11
"Itaim Paulista";-;-;2;3;7;11;4;27
"Itaquera";-;-;-;1;4;9;9;23
"Jabaquara";-;-;1;2;2;6;10;21
"Jaçanã";-;-;-;2;3;2;6;13
"Jaguara";-;-;-;-;-;1;1;2
"Jaguaré";-;-;1;-;2;1;1;5
"Jaraguá";-;-;1;1;2;9;11;24
"Jardim Ângela";-;-;2;1;4;6;11;24
"Jardim Helena";-;-;-;2;5;4;8;19
"Jardim Paulista";-;-;-;-;-;-;6;6
"Jardim São Luís";-;-;1;1;8;5;11;26
"José Bonifácio";-;-;2;2;1;7;5;17
"Lajeado";-;-;2;3;4;6;10;25
"Lapa";-;-;-;1;-;1;8;10
"Liberdade";-;-;-;1;-;3;5;9
"Limão";-;-;-;-;2;3;6;11
"Mandaqui";-;-;-;2;4;2;7;15
"Marsilac";-;-;-;-;-;-;1;1
"Moema";-;-;-;-;1;-;5;6
"Moóca";-;-;1;1;-;2;6;10
"Morumbi";-;-;-;-;-;3;-;3
"Parelheiros";-;-;-;-;3;11;4;18
"Pari";-;-;-;-;-;-;1;1
"Parque do Carmo";-;-;-;-;3;-;4;7
"Pedreira";-;-;-;1;4;-;6;11
"Penha";-;-;-;1;1;2;18;22
"Perdizes";-;-;-;-;1;1;7;9
"Perus";-;1;-;1;2;3;2;9
"Pinheiros";-;-;-;-;-;1;3;4
"Pirituba";-;-;2;2;5;9;20;38
"Ponte Rasa";-;-;-;1;2;1;14;18
"Raposo Tavares";-;-;1;2;5;4;5;17
"República";-;-;-;1;2;2;1;6
"Rio Pequeno";-;-;1;2;1;1;9;14
"Sacomã";-;-;2;-;4;3;7;16
"Santa Cecília";-;-;-;-;2;1;5;8
"Santana";-;-;1;1;3;4;12;21
"Santo Amaro";-;-;-;-;1;3;2;6
"São Domingos";-;-;-;-;1;3;7;11
"São Lucas";-;-;-;1;2;4;10;17
"São Mateus";-;-;-;1;2;6;11;20
"São Miguel";-;1;-;3;4;5;6;19
"São Rafael";-;-;-;3;4;5;6;18
"Sapopemba";-;-;-;5;7;5;10;27
"Saúde";-;-;-;1;1;4;5;11
"Sé";-;-;-;-;1;-;1;2
"Socorro";-;-;-;-;1;3;4;8
"Tatuapé";-;-;-;1;-;3;6;10
"Tremembé";-;-;-;4;4;5;14;27
"Tucuruvi";-;-;-;-;2;6;8;16
"Vila Andrade";-;-;1;1;1;1;-;4
"Vila Curuçá";-;-;2;-;8;7;7;24
"Vila Formosa";-;-;-;1;-;1;7;9
"Vila Guilherme";-;-;1;-;1;2;7;11
"Vila Jacuí";-;-;1;-;6;4;9;20
"Vila Leopoldina";-;-;-;-;-;-;7;7
"Vila Maria";-;-;-;2;-;2;8;12
"Vila Mariana";-;-;-;1;1;-;15;17
"Vila Matilde";-;-;1;-;3;2;2;8
"Vila Medeiros";-;-;1;1;-;4;10;16
"Vila Prudente";-;1;1;2;4;3;6;17
"Vila Sônia";-;-;1;-;1;1;3;6
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;1;-;-;-;1
"Total";1;5;41;111;223;317;617;1315
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
