Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I11 Doenc cardiaca hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2024
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;-;-;2;3;6
"Alto de Pinheiros";-;-;-;-;1;-;7;8
"Anhanguera";-;-;-;1;2;1;3;7
"Aricanduva";-;-;-;-;5;7;12;24
"Artur Alvim";-;-;1;-;3;1;7;12
"Barra Funda";-;-;-;-;-;-;-;-
"Bela Vista";-;-;1;-;-;1;3;5
"Belém";-;-;-;-;-;-;1;1
"Bom Retiro";-;-;-;1;1;2;2;6
"Brás";-;-;-;-;-;-;3;3
"Brasilândia";-;-;1;2;5;8;14;30
"Butantã";-;-;-;-;-;2;6;8
"Cachoeirinha";-;-;-;-;4;1;7;12
"Cambuci";-;-;-;1;-;-;1;2
"Campo Belo";-;-;-;1;-;2;5;8
"Campo Grande";-;-;-;-;-;1;2;3
"Campo Limpo";-;-;1;2;11;4;13;31
"Cangaíba";-;-;-;2;1;5;11;19
"Capão Redondo";-;-;-;3;6;5;4;18
"Carrão";-;-;-;-;1;2;7;10
"Casa Verde";-;-;-;1;-;4;7;12
"Cidade Ademar";-;1;-;1;8;4;14;28
"Cidade Dutra";-;1;-;-;5;3;13;22
"Cidade Líder";-;-;-;-;2;2;7;11
"Cidade Tiradentes";-;-;1;2;4;7;10;24
"Consolação";-;-;-;-;-;-;-;-
"Cursino";1;-;-;-;3;3;5;12
"Ermelino Matarazzo";-;-;3;2;2;3;7;17
"Freguesia do Ó";-;1;-;3;3;5;9;21
"Grajaú";-;-;3;5;10;11;8;37
"Guaianases";-;-;-;2;6;2;7;17
"Iguatemi";-;-;1;2;5;4;7;19
"Ipiranga";-;-;1;2;-;-;5;8
"Itaim Bibi";-;-;-;-;-;1;4;5
"Itaim Paulista";-;-;-;4;4;9;7;24
"Itaquera";-;-;-;2;5;6;14;27
"Jabaquara";-;-;2;2;2;5;18;29
"Jaçanã";-;-;-;-;1;3;11;15
"Jaguara";-;-;-;-;-;1;1;2
"Jaguaré";-;-;-;-;-;2;6;8
"Jaraguá";-;1;3;3;3;9;9;28
"Jardim Ângela";-;1;1;4;5;15;11;37
"Jardim Helena";-;-;2;1;6;4;7;20
"Jardim Paulista";-;-;-;-;-;1;5;6
"Jardim São Luís";-;-;5;3;2;8;14;32
"José Bonifácio";-;-;-;-;3;2;4;9
"Lajeado";-;-;1;1;2;3;6;13
"Lapa";-;-;-;1;-;1;8;10
"Liberdade";-;-;-;1;1;-;3;5
"Limão";-;-;-;2;3;7;3;15
"Mandaqui";-;-;-;-;1;1;6;8
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;1;1
"Moóca";-;-;-;1;-;-;3;4
"Morumbi";-;-;-;1;-;1;1;3
"Parelheiros";-;-;1;1;4;9;9;24
"Pari";-;-;-;1;-;-;1;2
"Parque do Carmo";-;-;-;-;2;2;3;7
"Pedreira";-;-;1;2;2;5;4;14
"Penha";-;-;1;2;4;6;9;22
"Perdizes";-;-;-;-;-;-;6;6
"Perus";-;-;-;1;-;5;3;9
"Pinheiros";-;-;-;-;-;1;4;5
"Pirituba";-;1;-;1;7;2;24;35
"Ponte Rasa";-;-;1;1;5;1;8;16
"Raposo Tavares";-;-;1;-;3;1;11;16
"República";-;-;-;-;2;1;1;4
"Rio Pequeno";-;-;-;1;-;1;9;11
"Sacomã";-;-;1;1;4;3;12;21
"Santa Cecília";-;-;-;2;1;1;2;6
"Santana";-;-;-;-;2;2;7;11
"Santo Amaro";-;-;1;-;3;1;4;9
"São Domingos";-;-;-;-;2;-;12;14
"São Lucas";-;1;-;-;4;1;14;20
"São Mateus";-;-;-;2;3;4;16;25
"São Miguel";-;1;-;-;4;6;11;22
"São Rafael";-;-;-;1;3;5;10;19
"Sapopemba";-;1;3;5;7;10;17;43
"Saúde";-;-;-;1;1;2;10;14
"Sé";-;-;-;-;-;2;-;2
"Socorro";-;-;-;-;1;1;7;9
"Tatuapé";-;-;-;-;1;2;7;10
"Tremembé";-;1;-;1;4;6;10;22
"Tucuruvi";-;-;-;-;1;1;9;11
"Vila Andrade";-;-;1;1;1;1;3;7
"Vila Curuçá";-;1;-;1;4;9;17;32
"Vila Formosa";-;-;-;-;-;6;16;22
"Vila Guilherme";-;-;-;-;2;1;1;4
"Vila Jacuí";-;-;-;1;3;5;6;15
"Vila Leopoldina";-;-;-;-;-;1;3;4
"Vila Maria";-;-;-;1;5;4;12;22
"Vila Mariana";-;-;-;-;-;-;7;7
"Vila Matilde";-;-;1;-;2;4;8;15
"Vila Medeiros";-;-;-;1;3;6;7;17
"Vila Prudente";-;-;-;-;-;2;9;11
"Vila Sônia";-;-;1;-;2;4;5;12
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;1;2;3
"Total";1;11;41;87;218;296;688;1342
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
