Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I11 Doenc cardiaca hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2023
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;3;1;6;10
"Alto de Pinheiros";-;-;-;-;-;-;1;1
"Anhanguera";-;-;-;2;2;1;2;7
"Aricanduva";-;-;-;1;3;2;2;8
"Artur Alvim";-;-;-;-;2;3;9;14
"Barra Funda";-;-;-;-;-;-;2;2
"Bela Vista";-;-;1;-;1;-;-;2
"Belém";-;-;-;-;2;1;-;3
"Bom Retiro";-;-;-;1;-;-;3;4
"Brás";-;-;-;-;-;1;1;2
"Brasilândia";-;-;1;3;5;10;9;28
"Butantã";-;-;-;-;-;1;5;6
"Cachoeirinha";-;-;1;-;4;9;4;18
"Cambuci";-;-;-;-;-;1;3;4
"Campo Belo";-;-;-;-;-;-;1;1
"Campo Grande";-;-;-;2;4;3;5;14
"Campo Limpo";-;-;-;-;2;8;7;17
"Cangaíba";-;-;-;-;2;3;9;14
"Capão Redondo";-;1;-;2;2;8;18;31
"Carrão";-;-;-;1;1;2;5;9
"Casa Verde";-;-;-;-;-;3;8;11
"Cidade Ademar";-;-;1;4;6;11;14;36
"Cidade Dutra";-;-;-;3;4;3;6;16
"Cidade Líder";-;-;-;2;1;3;4;10
"Cidade Tiradentes";1;-;2;5;4;12;5;29
"Consolação";-;-;-;-;-;-;4;4
"Cursino";-;-;-;-;3;4;5;12
"Ermelino Matarazzo";-;-;-;-;-;4;2;6
"Freguesia do Ó";-;-;-;1;4;1;10;16
"Grajaú";-;-;3;3;5;8;8;27
"Guaianases";-;-;1;-;2;5;10;18
"Iguatemi";-;-;-;1;5;7;7;20
"Ipiranga";-;-;-;-;-;3;7;10
"Itaim Bibi";-;-;-;-;-;-;7;7
"Itaim Paulista";-;-;-;3;5;11;18;37
"Itaquera";-;1;-;4;7;3;12;27
"Jabaquara";-;-;-;-;4;8;8;20
"Jaçanã";-;-;-;1;1;8;5;15
"Jaguara";-;-;-;-;-;-;2;2
"Jaguaré";-;-;-;-;-;-;1;1
"Jaraguá";-;-;1;3;1;2;17;24
"Jardim Ângela";-;-;-;2;3;7;8;20
"Jardim Helena";-;-;3;1;4;6;7;21
"Jardim Paulista";-;1;-;-;-;1;7;9
"Jardim São Luís";1;-;-;2;5;2;10;20
"José Bonifácio";-;-;-;1;2;4;9;16
"Lajeado";-;-;-;3;3;2;9;17
"Lapa";-;-;1;1;1;1;4;8
"Liberdade";-;-;-;-;-;1;2;3
"Limão";-;-;-;2;2;-;2;6
"Mandaqui";-;-;-;2;3;2;8;15
"Marsilac";-;-;-;-;-;-;2;2
"Moema";-;-;-;-;-;1;5;6
"Moóca";-;-;-;1;3;-;5;9
"Morumbi";-;-;-;-;1;-;1;2
"Parelheiros";1;-;-;3;4;3;4;15
"Pari";-;1;-;-;-;1;2;4
"Parque do Carmo";-;-;-;-;1;1;2;4
"Pedreira";-;-;-;1;1;2;6;10
"Penha";-;-;-;-;2;10;16;28
"Perdizes";-;-;-;-;-;3;7;10
"Perus";-;-;-;-;1;3;6;10
"Pinheiros";-;-;-;-;-;-;3;3
"Pirituba";-;-;-;1;7;6;10;24
"Ponte Rasa";-;-;-;-;-;2;11;13
"Raposo Tavares";-;-;-;-;2;3;7;12
"República";-;-;-;-;-;1;2;3
"Rio Pequeno";-;-;-;1;1;4;7;13
"Sacomã";1;-;-;1;2;3;11;18
"Santa Cecília";-;-;-;-;-;1;7;8
"Santana";-;-;-;-;3;5;9;17
"Santo Amaro";-;-;-;1;2;1;2;6
"São Domingos";-;-;-;1;1;4;9;15
"São Lucas";-;-;1;3;2;6;7;19
"São Mateus";-;1;-;3;1;1;8;14
"São Miguel";-;-;-;1;-;5;4;10
"São Rafael";-;-;2;2;3;7;6;20
"Sapopemba";-;-;-;2;6;8;13;29
"Saúde";-;-;-;1;2;3;6;12
"Sé";-;-;1;-;1;-;1;3
"Socorro";-;-;-;-;-;1;2;3
"Tatuapé";-;-;-;-;-;1;10;11
"Tremembé";-;-;-;6;7;2;9;24
"Tucuruvi";-;-;1;-;1;2;12;16
"Vila Andrade";-;-;2;-;1;3;4;10
"Vila Curuçá";-;-;-;2;1;7;3;13
"Vila Formosa";-;-;-;1;2;4;8;15
"Vila Guilherme";-;-;-;1;-;-;3;4
"Vila Jacuí";-;1;-;2;1;10;2;16
"Vila Leopoldina";-;-;-;-;1;-;3;4
"Vila Maria";-;-;-;1;1;2;9;13
"Vila Mariana";-;-;-;-;1;5;5;11
"Vila Matilde";-;-;-;1;-;4;6;11
"Vila Medeiros";-;-;-;1;3;6;8;18
"Vila Prudente";-;-;1;-;1;2;4;8
"Vila Sônia";-;-;-;-;1;3;7;11
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;1;3;2;2;8
"Total";4;6;23;94;178;314;594;1213
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
