Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I11 Doenc cardiaca hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2020
"Distrito Admin residência";"5-14";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;1;5;6
"Alto de Pinheiros";-;-;-;-;-;1;2;3
"Anhanguera";-;-;-;2;-;1;2;5
"Aricanduva";-;-;-;-;1;2;10;13
"Artur Alvim";-;-;-;-;2;1;12;15
"Barra Funda";-;-;-;-;-;-;2;2
"Bela Vista";-;-;-;-;1;1;2;4
"Belém";-;-;-;-;1;2;2;5
"Bom Retiro";-;-;-;-;1;-;5;6
"Brás";-;-;-;-;1;1;3;5
"Brasilândia";-;-;2;3;6;7;13;31
"Butantã";-;-;-;-;-;2;3;5
"Cachoeirinha";-;-;-;-;4;1;7;12
"Cambuci";-;-;-;-;-;1;1;2
"Campo Belo";-;-;-;-;-;-;4;4
"Campo Grande";-;-;-;-;1;2;8;11
"Campo Limpo";-;-;-;2;-;-;9;11
"Cangaíba";-;-;-;2;1;3;9;15
"Capão Redondo";-;-;1;3;3;7;8;22
"Carrão";-;-;-;-;1;4;12;17
"Casa Verde";-;-;-;-;-;3;6;9
"Cidade Ademar";-;-;-;-;4;2;16;22
"Cidade Dutra";-;-;-;-;5;2;9;16
"Cidade Líder";-;-;1;-;3;-;4;8
"Cidade Tiradentes";-;-;-;1;4;8;10;23
"Consolação";-;-;-;-;1;1;4;6
"Cursino";-;-;-;-;1;-;6;7
"Ermelino Matarazzo";-;-;-;1;1;5;3;10
"Freguesia do Ó";-;-;-;1;2;7;8;18
"Grajaú";-;-;1;1;9;5;12;28
"Guaianases";-;-;-;1;1;3;7;12
"Iguatemi";-;1;1;1;3;1;2;9
"Ipiranga";-;-;-;-;1;2;7;10
"Itaim Bibi";-;-;-;-;1;1;-;2
"Itaim Paulista";-;-;1;1;1;7;7;17
"Itaquera";-;-;1;2;5;7;10;25
"Jabaquara";-;-;-;2;4;4;12;22
"Jaçanã";-;-;1;2;1;1;6;11
"Jaguara";-;-;-;-;-;-;1;1
"Jaguaré";-;-;-;-;-;1;2;3
"Jaraguá";-;-;-;1;4;2;6;13
"Jardim Ângela";-;-;-;2;4;10;10;26
"Jardim Helena";-;-;-;1;8;5;10;24
"Jardim Paulista";-;-;-;-;-;-;5;5
"Jardim São Luís";-;-;2;2;5;8;10;27
"José Bonifácio";-;-;1;-;4;4;3;12
"Lajeado";-;-;1;4;2;6;10;23
"Lapa";-;-;-;-;2;-;5;7
"Liberdade";-;-;-;-;-;3;6;9
"Limão";-;-;-;-;-;-;8;8
"Mandaqui";-;-;-;1;2;1;8;12
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;1;1;3;5
"Moóca";-;-;1;-;1;1;8;11
"Morumbi";-;-;-;-;-;-;1;1
"Parelheiros";-;-;-;2;2;4;2;10
"Pari";-;-;-;-;-;2;-;2
"Parque do Carmo";-;-;-;-;1;-;6;7
"Pedreira";-;-;1;-;2;2;4;9
"Penha";-;-;-;-;4;3;14;21
"Perdizes";-;-;-;-;-;-;7;7
"Perus";-;-;-;1;4;1;-;6
"Pinheiros";-;-;-;-;-;2;2;4
"Pirituba";-;-;-;1;4;3;13;21
"Ponte Rasa";-;-;-;-;1;3;7;11
"Raposo Tavares";-;-;2;1;-;1;5;9
"República";-;-;-;-;-;2;3;5
"Rio Pequeno";-;-;-;-;1;1;9;11
"Sacomã";-;-;-;2;3;-;7;12
"Santa Cecília";1;-;-;-;1;-;4;6
"Santana";-;-;-;-;4;1;11;16
"Santo Amaro";-;-;-;-;-;2;3;5
"São Domingos";-;-;-;3;1;1;4;9
"São Lucas";-;-;-;-;2;2;11;15
"São Mateus";-;-;-;1;3;1;10;15
"São Miguel";-;-;-;1;4;3;10;18
"São Rafael";-;-;-;1;-;2;2;5
"Sapopemba";-;-;-;2;1;7;12;22
"Saúde";-;-;-;1;-;1;7;9
"Sé";-;-;-;-;1;1;1;3
"Socorro";-;-;-;-;-;2;3;5
"Tatuapé";-;-;-;1;1;2;2;6
"Tremembé";-;-;-;-;1;7;12;20
"Tucuruvi";-;-;-;-;1;2;14;17
"Vila Andrade";-;-;-;-;1;1;1;3
"Vila Curuçá";-;-;-;1;6;1;10;18
"Vila Formosa";-;-;1;1;2;3;4;11
"Vila Guilherme";-;-;-;-;-;1;5;6
"Vila Jacuí";-;-;-;3;4;4;6;17
"Vila Leopoldina";-;-;-;-;-;-;6;6
"Vila Maria";-;-;-;3;2;4;11;20
"Vila Mariana";-;-;-;1;1;1;5;8
"Vila Matilde";-;-;-;-;-;2;11;13
"Vila Medeiros";-;-;-;-;3;2;9;14
"Vila Prudente";-;-;-;2;-;3;8;13
"Vila Sônia";-;-;-;-;-;1;2;3
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;1;-;3;4
"Total";1;1;18;64;165;219;610;1078
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
